Test_Length,Threshold,Flip_Count,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
15,5e-09,4,0,0.07029670323658044,1.7472688475677433e-05,0.008390860602164773,0.478279054323392,0.008260154233459716
15,5e-09,5,0,1.926730951533638,0.004159962187848871,0.06304231483885121,3.5934119458145193,0.04728437786007422
15,5e-09,6,0,0.4452202293395959,2.9930197427232582e-05,0.027588678922067185,1.5725546985578296,0.025561485636142356
15,5e-09,7,0,0.4325860930917329,0.0,0.03723874745260811,2.1226086047986623,0.03420571999226518
15,5e-09,8,0,0.4143478312263877,6.267719606679832e-05,0.04388744001099562,2.5015840806267504,0.040008131655738355
15,5e-09,9,0,5.747605983107685,7.657107175846461e-06,0.17449290011431698,9.946095306516067,0.10104065418722019
15,5e-09,10,0,2.2119953385902233,1.1533522617634937e-05,0.11904137465064196,6.785358355086592,0.09211117056246865
15,1e-08,1,0,0.009226670262800291,0.0,0.000613993936602777,0.03499765438635829,0.0006126740893557248
15,1e-08,2,0,0.27980226362193616,4.3811582199696933e-10,0.008337771176832529,0.4752529570794541,0.007759733084223619
15,1e-08,4,0,0.07020514713491262,2.579356394698154e-05,0.008419907789371218,0.4799347439941595,0.008289227121847986
15,1e-08,5,0,1.9038634252886473,0.004126971828727912,0.06258682876911661,3.567449239839647,0.04709608288684297
15,1e-08,6,0,0.817839509549933,3.053520324370112e-09,0.0660543496508036,3.765097930095805,0.05552105721295297
15,1e-08,7,0,6.441556171394545,0.002947589757088555,0.17322461605391826,9.87380311507334,0.0897465915081328
15,1e-08,8,0,4.829487552242659,0.0,0.15646901384570805,8.918733789205358,0.09697357559076258
15,1e-08,9,0,5.791300530140057,0.0,0.175272527611165,9.990534073836404,0.10112468692521737
15,1e-08,10,0,1.8756717868270507,1.1853224295939926e-05,0.09424481339348813,5.371954363428824,0.07500627548920402
15,5e-08,1,0,0.009227352024701901,0.0,0.0006138946899454132,0.034991997326888555,0.0006125747940510795
15,5e-08,4,0,0.0701628846681798,0.0,0.008387084474282509,0.47806381503410295,0.008256217665619126
15,5e-08,5,0,1.9092541043970308,0.004148521479547446,0.06266002703074312,3.5716215407523584,0.047117449439777914
15,5e-08,6,0,0.4454381009651338,0.0,0.027569922647135058,1.5714855908866983,0.025543633950406264
15,5e-08,7,0,8.073408345405552,0.0024572521889168995,0.20567832998482807,11.723664809135201,0.09459631393879064
15,5e-08,8,0,0.4367262510087558,0.0,0.03706251805134229,2.1125635289265103,0.033821915971694594
15,5e-08,9,0,9.176373136053812,0.0,0.24708213870750695,14.083681906327897,0.11684327695211172
15,5e-08,10,0,10.842076158358921,0.009014333207448023,0.28931205575903224,16.49078717826484,0.13605835305036873
