Test_Length,Threshold,Flip_ID,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
15,1e-09,[0],0,0.009226865820524927,0.0,0.0006139846926087809,0.03499712747870051,0.0006126648123379042
15,1e-09,[1],1,0.14328831952404678,0.0,0.008216371797137493,0.46833319243683713,0.007864617182985478
15,1e-09,[3],1,7.4750328427591155,2.3097333146218387e-06,0.19813082561011083,11.293457059776317,0.0942952883134105
15,1e-09,[4],2,0.08640958397074971,0.0,0.005347089125234705,0.30478408013837816,0.0052274387616229046
15,1e-09,[5],1,1.7142613258388528,7.110738809180748e-05,0.06466525270226584,3.6859194040291525,0.049062043755812246
15,1e-09,[6],1,0.580605614607948,1.5240908335467194e-05,0.04140249204899088,2.3599420467924803,0.03720092792768814
15,1e-09,[7],0,0.5769038716925228,3.2898295850870495e-08,0.016408294756066154,0.9352728010957707,0.014220810183576571
15,1e-09,[8],1,1.6793305084321515,4.588797063758761e-07,0.14174655251021265,8.079553493082122,0.10460534130657817
15,1e-09,[10],0,0.2970793097119916,1.685989675582769e-06,0.00851947844729935,0.485610271496063,0.007875268549137004
15,1e-09,[11],1,0.8408643451578485,0.0,0.08091026283954028,4.611884981853796,0.06950954800807008
15,1e-09,[12],0,0.14327582383731932,0.0,0.008162463524069593,0.46526042087196684,0.007810349569123964
15,1e-09,[13],0,6.617542265806671,5.5780980383976285e-06,0.17425590480790812,9.932586574050763,0.08664201215086709
15,1e-09,[14],2,15.834594984741411,0.0054086810546629185,0.40141164414478775,22.8804637162529,0.15160206279912614
15,5e-09,[0],0,0.009228336925817482,0.0,0.0006137251670149113,0.034982334519849945,0.0006124052256815116
15,5e-09,[1],0,0.3117899284896797,0.0,0.022967675041073093,1.3091574773411663,0.021379285624170796
15,5e-09,[3],0,7.254816393116488,0.0,0.1918403605175171,10.934900549498474,0.09165180922143246
15,5e-09,[4],1,0.08641932292424097,0.0,0.005346394783005548,0.30474450263131625,0.005226747211604765
15,5e-09,[5],0,1.801395254033256,7.145748106965565e-06,0.06618513262887508,3.77255255984588,0.04950471583908955
15,5e-09,[6],0,0.6135028879222554,6.270896612327389e-06,0.033458268181809366,1.9071212863631337,0.029611229069119727
15,5e-09,[7],0,0.5769136389154884,0.0,0.0164063752309337,0.935163388163221,0.014218809133178967
15,5e-09,[8],0,11.070545446631739,0.0,0.34516103401125614,19.6741789386416,0.14266074344937607
15,5e-09,[10],0,0.2967742236920388,0.0,0.00851472187878279,0.48533914709061904,0.007871706694752678
15,5e-09,[11],0,1.442940481834443,0.0,0.06585096751855007,3.7535051485573545,0.05197311570753582
15,5e-09,[12],0,0.14326789684704894,0.0,0.008162258393999549,0.46524872845797427,0.0078101554285419095
15,5e-09,[13],2,6.667670697321867,1.0852340116463465e-05,0.17492524081908217,9.970738726687683,0.086660276927506
15,5e-09,[14],0,16.171724152773155,0.0021478459099995195,0.40898841071863995,23.312339410962476,0.15301074507530532
15,1e-08,[0],0,0.00923230449792025,0.0,0.0006134030029469879,0.03496397116797831,0.0006120825682514042
15,1e-08,[1],1,0.14326852085708167,0.0,0.008169026210060014,0.4656344939734208,0.007816963665665755
15,1e-08,[2],2,10.570697310393758,0.0,0.37778949732478645,21.534001347512827,0.17788543838784632
15,1e-08,[3],0,0.39633899564056263,0.0,0.02218946162022871,1.2647993123530363,0.020165815724860314
15,1e-08,[4],0,0.08640866766355407,0.0,0.005347034930044311,0.30478099101252576,0.005227371568900185
15,1e-08,[5],0,2.203255090040371,0.0018140258679415603,0.07304534144224609,4.163584462208027,0.051872352131905775
15,1e-08,[6],0,0.5347279197562045,0.0,0.02657578252942245,1.5148196041770796,0.02298145700267007
15,1e-08,[7],0,0.5769047613521222,0.0,0.016406699278432833,0.9351818588706715,0.014219201361157507
15,1e-08,[8],0,9.671306325659042,1.8314536627942715e-11,0.32954783698820744,18.784226708327825,0.17008053137929213
15,1e-08,[10],0,0.2970124938823156,1.7302216767469268e-06,0.00852325916209529,0.4858257722394316,0.007879358902473488
15,1e-08,[11],0,1.5782957390732788,0.0,0.060748785692006195,3.4626807844443532,0.04771413414584602
15,1e-08,[12],0,0.14327312321505084,0.0,0.0081623936227691,0.46525643649783877,0.0078102834378774855
15,1e-08,[13],0,6.859504459853491,5.53661490010213e-06,0.18156453079625845,10.349178255386732,0.08966921906829417
15,1e-08,[14],0,14.37393457770879,0.00576933920939421,0.3741733598313591,21.327881510387467,0.15100410747520598
15,5e-08,[0],0,0.009230933781892846,0.0,0.0006136624025471602,0.03497875694518813,0.0006123427415429816
15,5e-08,[1],1,0.1432705867367221,0.0,0.008167573407626454,0.4655516842347079,0.007815507284315792
15,5e-08,[3],0,6.689039390685999,0.0,0.17971766856395585,10.243907108145484,0.08959758023640219
15,5e-08,[4],0,0.08643346136773876,0.0,0.005345264467201508,0.30468007463048596,0.0052256262560459454
15,5e-08,[5],0,2.4162459755126413,0.0008414089983852202,0.07736466420262876,4.40978585954984,0.053411755546058926
15,5e-08,[6],0,0.5920897364831188,2.969853928640583e-09,0.03226090745908992,1.8388717251681252,0.02853842538533069
15,5e-08,[7],0,0.5769741639104554,0.0,0.016407125206036665,0.9352061367440898,0.014219177761733093
15,5e-08,[8],0,12.178135358914249,0.0,0.3604117761223283,20.54347123897271,0.16409290564927903
15,5e-08,[10],0,0.29706570213813027,0.0,0.008519149736642615,0.48559153498862906,0.007874992807981762
15,5e-08,[11],0,1.4509357620087768,1.0414169850144626e-05,0.08231997866933187,4.692238784151916,0.06628946857775575
