N_samples,Removed_Feature,Threshold,Flip_ID,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
40,0,5e-09,[0],0,0.2887277914222679,0.0,0.00783586533188823,0.4153008625900762,0.007181569729288517
40,2,5e-09,[10],0,0.00841466246324069,0.0,0.00044925496831894494,0.023810513320904083,0.0004481200106394301
40,3,5e-09,[0],0,0.028979833636801625,0.0,0.0011990045815996663,0.06354724282478232,0.0011909044441993366
40,5,5e-09,[10],0,0.5993337475214122,1.9387573852009036e-07,0.02898638698297169,1.5362785100974996,0.02574637805950597
40,6,5e-09,[12],0,0.1372168635691256,0.0,0.00649326294618588,0.34414293614785163,0.006315178917357223
