Test_Length,Threshold,Flip_ID,Mismatch,Max_Abs_Diff,Median_Diff,Mean_Diff,Sum_Abs_Diff,Geomean_Diff
20,0.001,6,0,2.109416318,0,0.18055898,7.222359219,0.12464898
20,0.001,7,0,5.566409945,1.64E-07,0.249952379,9.998095142,0.138423754
20,0.001,8,0,0.250211641,0,0.033706755,1.348270208,0.032229643
20,0.001,9,0,0.495920325,7.35E-11,0.080689957,3.227598274,0.071952151
20,0.001,10,0,0.384126238,0,0.016544357,0.661774275,0.015085456
20,0.001,11,0,0.931385807,0,0.099260187,3.970407477,0.082222347
20,0.001,12,0,1.001396241,0,0.030792505,1.231700185,0.023290838
20,0.001,13,0,0.366597534,0,0.040359972,1.614398882,0.036869112
20,0.001,14,0,0.974367014,0.014603585,0.114022325,4.560893005,0.097109909
20,0.001,15,0,2.552955438,1.02E-05,0.273529398,10.94117593,0.183923956
20,0.001,16,0,0.569350419,8.30E-07,0.08376381,3.350552411,0.07370215
20,0.001,17,0,4.29720767,0,0.272593982,10.90375927,0.172719589
20,0.001,18,0,1.557154297,3.89E-06,0.133608361,5.344334457,0.109011653
20,0.001,19,0,0.325220809,0.002131807,0.020423142,0.816925681,0.019046988
20,0.1,0,0,0.277501166,0,0.039152666,1.566106655,0.037322492
20,0.1,1,0,10.12446613,0.035750264,0.647158894,25.88635575,0.320128694
20,0.1,2,0,22.64230105,0.053788117,2.200425336,88.01701344,0.879051508
20,0.1,3,0,0.189927695,0,0.028507776,1.140311047,0.027129071
20,0.1,4,0,0.058025807,0,0.006880038,0.275201529,0.006800785
20,0.1,5,0,0.199413777,0,0.028596115,1.143844597,0.027185705
20,0.1,6,0,3.468373891,0,0.215923519,8.63694078,0.135005324
20,0.1,7,0,5.32780952,0,0.25201614,10.08064561,0.139902429
20,0.1,8,0,0.19457581,0,0.03260634,1.304253585,0.031629399
20,0.1,9,0,2.35312897,0.0297334,0.21877792,8.751116815,0.166504406
20,0.1,10,0,0.698880592,0,0.028396927,1.135877089,0.023941646
20,0.1,11,0,1.806651366,0.000225158,0.163006483,6.520259312,0.126150111
20,0.1,12,0,17.79032081,0.001019121,0.608365503,24.33462012,0.177288553
20,0.1,13,0,0.383419618,0,0.042193559,1.687742364,0.038398631
20,0.1,14,0,2.678038158,0,0.171435786,6.85743144,0.127383853
20,0.1,15,0,3.160633297,0.101660809,0.311192294,12.44769175,0.228024673
20,0.1,16,0,0.64353001,0.003583405,0.091136816,3.645472623,0.079584963
20,0.1,17,0,10.58713706,0,0.721655816,28.86623264,0.292753386
20,0.1,18,0,2.1771663,0.044771581,0.247384784,9.895391355,0.197658425
20,0.1,19,0,0.281189609,0,0.018504477,0.740179086,0.017109425
20,1,0,0,1.037583264,0.008568643,0.123118201,4.924728039,0.107298017
20,1,1,0,156.3218864,0,15.64124434,625.6497736,2.881059126
20,1,2,0,93.52544524,0.012788165,4.800230268,192.0092107,1.030454372
20,1,3,0,4.199363554,0,0.486168682,19.44674727,0.295514995
20,1,4,0,3.032047598,0.029179746,0.181205489,7.248219575,0.132093112
20,1,5,0,3.670986696,0.001050583,0.151171338,6.04685354,0.094784273
20,1,6,0,7.406819775,0.000728755,0.849728708,33.98914832,0.495075816
20,1,7,0,24.23411898,0.131164955,1.785910584,71.43642336,0.760379525
20,1,8,0,1.861898882,0.020920011,0.255780569,10.23122278,0.204373808
20,1,10,0,2.610734565,0,0.141365941,5.654637621,0.099483426
20,1,11,0,17.64111742,0.001489537,1.193714682,47.74858728,0.553762299
20,1,12,0,2.396240764,0,0.170497721,6.819908821,0.12224239
20,1,13,0,24.14748564,0.021055683,1.677790296,67.11161182,0.585981149
20,1,14,0,7.564656958,0.077468549,0.613650931,24.54603726,0.371205477
20,1,15,0,16.24362346,1.10E-05,0.954852422,38.19409688,0.425467844
20,1,16,0,6.648449103,6.76E-12,0.730769089,29.23076355,0.457078879
20,1,17,0,41.31021986,0.045343954,4.945985006,197.8394003,1.079466811
20,1,18,0,5.961597632,0.011122423,0.837200958,33.4880383,0.49034215
20,1,19,0,0.793546811,0.010077271,0.075696915,3.027876586,0.064166383
