Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Greater,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
analcatdata_boxing2.csv,132,3,0.638095238,0.716666667,0.70952381,0.632320754,0.590326205,0.606063701,0.564814815,0.666666667,0.652777778,0.670482971,0.626785338,0.629344545,Decreased,Decreased,Increased,Increased,2,4,2,8,2,6,FALSE,2,4,2,3,5,0
analcatdata_challenger.csv,138,2,0.929292929,0.933333333,0.933333333,0.295232811,0.224140884,0.267544034,0.932539683,0.94047619,0.94047619,0.296573702,0.23025398,0.250592402,Same,Same,Increased,Increased,0,0,9,9,1,8,FALSE,0,0,9,4,5,0
analcatdata_chlamydia.csv,100,3,0.6578125,0.8484375,0.8265625,0.544635754,0.372359488,0.379261732,0.65625,0.7875,0.8,0.566906646,0.43779289,0.403577242,Decreased,Increased,Increased,Decreased,0,4,4,8,4,4,FALSE,2,2,4,5,3,0
analcatdata_creditscore.csv,100,6,0.798214286,0.903571429,0.839285714,0.426426909,0.286567724,1.303940892,0.714285714,0.814285714,0.792857143,0.522369231,0.401269097,1.915400637,Decreased,Decreased,Increased,Increased,1,6,0,7,1,6,FALSE,2,4,1,1,6,0
analcatdata_lawsuit.csv,264,4,0.867298578,0.96787783,0.956292786,0.220214369,0.076680247,0.097142646,0.823899371,0.939203354,0.947589099,0.253408956,0.110172082,0.114411566,Decreased,Increased,Increased,Increased,2,4,3,9,4,5,FALSE,3,1,5,5,4,0
analcatdata_michiganacc.csv,108,3,0.656976744,0.707364341,0.647286822,0.626016259,0.586548626,0.625058403,0.575757576,0.651515152,0.613636364,0.649419755,0.606206273,0.640947431,Decreased,Decreased,Increased,Increased,1,5,0,6,1,5,FALSE,2,4,0,1,5,0
analcatdata_neavote.csv,100,2,0.7575,0.92625,0.70375,0.402392076,0.250426559,6.191545117,0.76,0.945,0.71,0.36514243,0.222568002,4.767584501,Decreased,Decreased,Increased,Increased,0,3,7,10,1,9,FALSE,0,3,7,3,7,0
analcatdata_reviewer.csv,274,1,0.579908676,0.614481409,0.602739726,0.681470598,0.660476846,0.683732578,0.592207792,0.605194805,0.58961039,0.684818966,0.6695476,0.691801931,Decreased,Decreased,Increased,Increased,1,4,2,7,2,5,FALSE,1,4,2,2,5,0
analcatdata_seropositive.csv,132,3,0.797619048,0.93452381,0.885714286,0.361639205,0.231102061,0.326112894,0.75,0.916666667,0.842592593,0.416166177,0.275769208,0.358822803,Decreased,Decreased,Increased,Increased,1,6,1,8,2,6,FALSE,0,6,2,3,5,0
analcatdata_wildcat.csv,163,5,0.755555556,0.764957265,0.752136752,0.526984705,0.475812753,0.518686712,0.717171717,0.747474747,0.723905724,0.546774464,0.490427875,0.54946409,Decreased,Decreased,Increased,Increased,4,5,0,9,3,6,FALSE,2,5,2,0,9,0
