Dataset & S2_Train_Acc & S2_Test_Acc & S3_Start_Train_Acc & S3_Start_Test_Acc & S3_Train_Acc & S3_Test_Acc & G_Init Train & G_Init Test & TrainDiff & TestDiff
KMNIST & 99.98 & 96.83 & 99.17 & 96.14 & 99.97 & 96.77 & -0.810 & -0.698 & -0.011 & -0.068 \\
Food101 & 88.95 & 60.18 & 82.05 & 59.98 & 92.80 & 62.62 & -6.901 & -0.192 & 3.848 & 2.448 \\
SVHN & 97.32 & 92.81 & 97.21 & 93.08 & 96.79 & 93.03 & -0.106 & 0.278 & -0.526 & 0.227 \\
USPS & 99.33 & 97.69 & 98.59 & 97.16 & 99.53 & 97.86 & -0.738 & -0.528 & 0.200 & 0.169 \\
office31 & 96.22 & 58.47 & 85.89 & 62.17 & 76.17 & 62.77 & -10.328 & 3.694 & -20.053 & 4.298 \\
CIFAR10 & 95.52 & 77.43 & 95.67 & 78.65 & 93.49 & 77.62 & 0.150 & 1.220 & -2.033 & 0.194 \\
FashionMNIST & 93.96 & 90.48 & 93.92 & 90.43 & 93.95 & 90.47 & -0.038 & -0.048 & -0.008 & -0.008 \\
Caltech101 & 96.42 & 65.52 & 88.58 & 73.05 & 98.43 & 69.63 & -7.832 & 7.536 & 2.017 & 4.113 \\
