Dataset,Sample_Size,Runs,Method,Time
CIFAR10,1000,Run1,RAF,29.40083885192871
CIFAR10,2000,Run1,RAF,56.40616273880005
CIFAR10,3000,Run1,RAF,116.9271948337555
CIFAR10,4000,Run1,RAF,155.14909887313843
CIFAR10,5000,Run1,RAF,199.56172060966492
CIFAR10,6000,Run1,RAF,247.52618217468262
CIFAR10,7000,Run1,RAF,302.6316785812378
CIFAR10,8000,Run1,RAF,681.1261651515961
CIFAR10,9000,Run1,RAF,808.4093074798584
CIFAR10,10000,Run1,RAF,902.6740472316742
CIFAR10,1000,Run2,RAF,30.68504762649536
CIFAR10,2000,Run2,RAF,57.09860610961914
CIFAR10,3000,Run2,RAF,116.45667552947998
CIFAR10,4000,Run2,RAF,155.2055869102478
CIFAR10,5000,Run2,RAF,215.96754121780396
CIFAR10,6000,Run2,RAF,631.3471548557281
CIFAR10,7000,Run2,RAF,733.4039268493652
CIFAR10,8000,Run2,RAF,855.6496384143829
CIFAR10,9000,Run2,RAF,993.5421433448792
CIFAR10,10000,Run2,RAF,2710.258120775223
CIFAR10,1000,Run3,RAF,30.234797954559326
CIFAR10,2000,Run3,RAF,56.03112578392029
CIFAR10,3000,Run3,RAF,112.13424706459045
CIFAR10,4000,Run3,RAF,148.28536128997803
CIFAR10,5000,Run3,RAF,190.2741551399231
CIFAR10,6000,Run3,RAF,252.1730453968048
CIFAR10,7000,Run3,RAF,652.377667427063
CIFAR10,8000,Run3,RAF,766.1714775562286
CIFAR10,9000,Run3,RAF,780.665139913559
CIFAR10,10000,Run3,RAF,884.8503713607788
CIFAR10,1000,Run4,RAF,31.064139366149902
CIFAR10,2000,Run4,RAF,60.63701605796814
CIFAR10,3000,Run4,RAF,125.0019109249115
CIFAR10,4000,Run4,RAF,407.01036858558655
CIFAR10,5000,Run4,RAF,573.4739670753479
CIFAR10,6000,Run4,RAF,697.0562543869019
CIFAR10,7000,Run4,RAF,1466.44859957695
CIFAR10,8000,Run4,RAF,941.7840955257416
CIFAR10,9000,Run4,RAF,1147.5297787189484
CIFAR10,10000,Run4,RAF,1304.2228803634644
CIFAR10,1000,Run5,RAF,30.39262890815735
CIFAR10,2000,Run5,RAF,56.1867413520813
CIFAR10,3000,Run5,RAF,113.36834001541138
CIFAR10,4000,Run5,RAF,153.6689863204956
CIFAR10,5000,Run5,RAF,196.84227657318115
CIFAR10,6000,Run5,RAF,242.89415764808655
CIFAR10,7000,Run5,RAF,282.6110472679138
CIFAR10,8000,Run5,RAF,335.7275815010071
CIFAR10,9000,Run5,RAF,906.7036838531494
CIFAR10,10000,Run5,RAF,1070.2549395561218
