Dataset,Sample_Size,Runs,Method,Time
CIFAR10,1000,Run1,RAF,5
CIFAR10,2000,Run1,RAF,6
CIFAR10,3000,Run1,RAF,54
CIFAR10,4000,Run1,RAF,78
CIFAR10,5000,Run1,RAF,120
CIFAR10,6000,Run1,RAF,169
CIFAR10,7000,Run1,RAF,512
CIFAR10,8000,Run1,RAF,621
CIFAR10,9000,Run1,RAF,3372
CIFAR10,10000,Run1,RAF,1095
CIFAR10,12500,Run1,RAF,2611
CIFAR10,15000,Run1,RAF,3133
CIFAR10,17500,Run1,RAF,3316
CIFAR10,20000,Run1,RAF,4856
CIFAR10,1000,Run2,RAF,5
CIFAR10,2000,Run2,RAF,8
CIFAR10,3000,Run2,RAF,133
CIFAR10,4000,Run2,RAF,232
CIFAR10,5000,Run2,RAF,313
CIFAR10,6000,Run2,RAF,414
CIFAR10,7000,Run2,RAF,522
CIFAR10,8000,Run2,RAF,707
CIFAR10,9000,Run2,RAF,1184
CIFAR10,10000,Run2,RAF,1628
CIFAR10,12500,Run2,RAF,5393
CIFAR10,15000,Run2,RAF,4286
CIFAR10,17500,Run2,RAF,5850
CIFAR10,20000,Run2,RAF,3820
CIFAR10,1000,Run3,RAF,5
CIFAR10,2000,Run3,RAF,6
CIFAR10,3000,Run3,RAF,52
CIFAR10,4000,Run3,RAF,84
CIFAR10,5000,Run3,RAF,350
CIFAR10,6000,Run3,RAF,494
CIFAR10,7000,Run3,RAF,637
CIFAR10,8000,Run3,RAF,2533
CIFAR10,9000,Run3,RAF,1065
CIFAR10,10000,Run3,RAF,1208
CIFAR10,12500,Run3,RAF,2112
CIFAR10,15000,Run3,RAF,4540
CIFAR10,17500,Run3,RAF,8837
CIFAR10,20000,Run3,RAF,9160
CIFAR10,1000,Run4,RAF,9
CIFAR10,2000,Run4,RAF,6
CIFAR10,3000,Run4,RAF,52
CIFAR10,4000,Run4,RAF,89
CIFAR10,5000,Run4,RAF,1085
CIFAR10,6000,Run4,RAF,454
CIFAR10,7000,Run4,RAF,1792
CIFAR10,8000,Run4,RAF,2301
CIFAR10,9000,Run4,RAF,3318
CIFAR10,10000,Run4,RAF,1410
CIFAR10,12500,Run4,RAF,5060
CIFAR10,15000,Run4,RAF,3545
CIFAR10,17500,Run4,RAF,2762
CIFAR10,1000,Run5,RAF,5
CIFAR10,2000,Run5,RAF,6
CIFAR10,3000,Run5,RAF,53
CIFAR10,4000,Run5,RAF,138
CIFAR10,5000,Run5,RAF,233
CIFAR10,6000,Run5,RAF,449
CIFAR10,7000,Run5,RAF,609
CIFAR10,8000,Run5,RAF,2696
CIFAR10,9000,Run5,RAF,5311
CIFAR10,10000,Run5,RAF,7690
CIFAR10,12500,Run5,RAF,9159
CIFAR10,15000,Run5,RAF,8823
CIFAR10,17500,Run5,RAF,10800
CIFAR10,20000,Run5,RAF,7150
