RunID,W2_offset_sum,b2_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,GlobalMisclassified
1,0.0008284487785855106,0.0,0.0008284487785855106,1000,1,91.536,2
1,0.0008284487785855106,0.0,0.0008284487785855106,2000,1,91.536,2
1,0.0008284487785855106,0.0,0.0008284487785855106,3000,1,91.536,2
1,0.00025297847896086354,0.0,0.00025297847896086354,4000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,5000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,6000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,7000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,8000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,9000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,10000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,12500,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,15000,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,17500,1,91.542,1
1,0.00025297847896086354,0.0,0.00025297847896086354,20000,1,91.542,1
2,0.002235428869104049,0.0,0.002235428869104049,1000,1,91.348,7
2,0.0010181528999458926,0.0,0.0010181528999458926,2000,1,91.346,4
2,0.0003555623542287774,0.0,0.0003555623542287774,3000,1,91.348,2
2,0.0003555623542287774,0.0,0.0003555623542287774,4000,1,91.348,2
2,0.0003555623542287774,0.0,0.0003555623542287774,5000,1,91.348,2
2,0.0003555623542287774,0.0,0.0003555623542287774,6000,1,91.348,2
2,0.0003555623542287774,0.0,0.0003555623542287774,7000,1,91.348,2
2,0.0003555623542287774,0.0,0.0003555623542287774,8000,1,91.348,2
2,0.0001957583982224731,0.0,0.0001957583982224731,9000,1,91.34,2
2,0.0001957583982224731,0.0,0.0001957583982224731,10000,1,91.34,2
2,2.726260166355058e-05,0.0,2.726260166355058e-05,12500,1,91.342,1
3,0.0001623380381654296,0.0,0.0001623380381654296,1000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,2000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,3000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,4000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,5000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,6000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,7000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,8000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,9000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,10000,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,12500,1,87.77000000000001,1
3,0.0001623380381654296,0.0,0.0001623380381654296,15000,1,87.77000000000001,1
4,0.0009181714980929898,0.0,0.0009181714980929896,1000,1,90.86999999999999,5
4,0.0009181714980929894,0.0,0.0009181714980929894,2000,1,90.866,3
4,0.000588429388753261,0.0,0.000588429388753261,3000,1,90.862,2
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,4000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,5000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,6000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,7000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,8000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,9000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,10000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,12500,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,15000,1,90.864,1
4,1.0153848055284133e-05,0.0,1.0153848055284133e-05,17500,1,90.864,1
5,0.007409708903630572,0.0,0.007409708903630572,1000,1,90.98,16
5,0.007409708903630572,0.0,0.007409708903630572,2000,1,90.98,16
5,0.0013259720864562373,0.0,0.0013259720864562373,3000,1,90.97800000000001,2
5,0.0013259720864562373,0.0,0.0013259720864562373,4000,1,90.97800000000001,2
5,0.0003736840388595833,0.0,0.0003736840388595833,5000,1,90.98,1
5,0.0003736840388595833,0.0,0.0003736840388595833,6000,1,90.98,1
5,0.0003736840388595833,0.0,0.0003736840388595833,7000,1,90.98,1
5,0.0003736840388595833,0.0,0.0003736840388595833,8000,1,90.98,1
5,0.0003736840388595833,0.0,0.0003736840388595833,9000,1,90.98,1
5,0.0003736840388595833,0.0,0.0003736840388595833,10000,1,90.98,1
