Dataset,Sample_Size,Runs,Method,Time
CIFAR10,100,Run1,RAF,5.27534461
CIFAR10,200,Run1,RAF,11.57128096
CIFAR10,300,Run1,RAF,17.08513594
CIFAR10,400,Run1,RAF,13.53862357
CIFAR10,500,Run1,RAF,16.49658918
CIFAR10,600,Run1,RAF,20.72122574
CIFAR10,700,Run1,RAF,27.13422513
CIFAR10,800,Run1,RAF,24.68733215
CIFAR10,900,Run1,RAF,27.68838382
CIFAR10,1000,Run1,RAF,30.74426079
CIFAR10,100,Run3,RAF,5.120518446
CIFAR10,200,Run3,RAF,11.12758255
CIFAR10,300,Run3,RAF,12.02566481
CIFAR10,400,Run3,RAF,15.53250599
CIFAR10,500,Run3,RAF,16.73353934
CIFAR10,600,Run3,RAF,21.06360769
CIFAR10,700,Run3,RAF,26.0364151
CIFAR10,800,Run3,RAF,26.75652242
CIFAR10,900,Run3,RAF,29.62029624
CIFAR10,1000,Run3,RAF,33.14643717
CIFAR10,100,Run4,RAF,5.065238714
CIFAR10,200,Run4,RAF,11.62167597
CIFAR10,300,Run4,RAF,12.57740927
CIFAR10,400,Run4,RAF,12.99227738
CIFAR10,500,Run4,RAF,15.96795917
CIFAR10,600,Run4,RAF,18.44713783
CIFAR10,700,Run4,RAF,22.00956178
CIFAR10,800,Run4,RAF,24.78940821
CIFAR10,900,Run4,RAF,28.89933014
CIFAR10,1000,Run4,RAF,30.21620154
