Dataset,Sample_Size,Runs,Method,Time
MNIST,5000,Run3,RAF,221.2096242904663
MNIST,6000,Run3,RAF,272.0541524887085
MNIST,7000,Run3,RAF,1036.011134147644
MNIST,8000,Run3,RAF,2022.0987961292267
MNIST,9000,Run3,RAF,1289.2454869747162
MNIST,10000,Run3,RAF,2478.8862302303314
MNIST,12500,Run3,RAF,2200.1261813640594
MNIST,15000,Run3,RAF,3788.2148954868317
MNIST,17500,Run3,RAF,1813.8416752815247
MNIST,20000,Run3,RAF,2063.4851262569427
MNIST,1000,Run4,RAF,16.729984760284424
MNIST,2000,Run4,RAF,30.08596706390381
MNIST,3000,Run4,RAF,79.39067006111145
MNIST,4000,Run4,RAF,119.8401210308075
MNIST,5000,Run4,RAF,153.51910161972046
MNIST,6000,Run4,RAF,236.87515878677368
MNIST,7000,Run4,RAF,369.81785559654236
MNIST,8000,Run4,RAF,1792.3460137844086
MNIST,9000,Run4,RAF,1621.2643055915833
MNIST,10000,Run4,RAF,572.6422276496887
MNIST,12500,Run4,RAF,1911.767704486847
MNIST,15000,Run4,RAF,1006.244797706604
MNIST,17500,Run4,RAF,1318.857591867447
MNIST,20000,Run4,RAF,1542.814335823059
MNIST,1000,Run5,RAF,62.918644428253174
MNIST,2000,Run5,RAF,66.9007260799408
MNIST,3000,Run5,RAF,136.01173448562622
MNIST,4000,Run5,RAF,239.06387972831726
MNIST,5000,Run5,RAF,315.5391585826874
MNIST,6000,Run5,RAF,387.2921419143677
MNIST,7000,Run5,RAF,966.3317346572876
MNIST,8000,Run5,RAF,606.0795843601227
MNIST,9000,Run5,RAF,2096.105067253113
MNIST,10000,Run5,RAF,767.3165435791016
MNIST,12500,Run5,RAF,841.8072395324707
MNIST,15000,Run5,RAF,5658.034784555435
MNIST,17500,Run5,RAF,2183.8751401901245
MNIST,20000,Run5,RAF,1269.3163857460022
