Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
USPS,1,./checkpoints_SAP/USPS_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.002500796,99.98285322,0.033595947,99.03978052,0.139479481,96.51220727,0.002663879,99.96570645,0.033170712,99.17695473,0.140182091,96.56203288,0.001090916,99.98285322,0.03475572,99.10836763,0.130841944,97.20976582,3635.839298
USPS,2,./checkpoints_SAP/USPS_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.006924315,99.86282579,0.037314049,98.97119342,0.162979572,96.46238166,0.007138099,99.86282579,0.037873622,98.97119342,0.163002434,96.46238166,0.006234746,99.82853224,0.023800087,99.38271605,0.17041194,96.56203288,3637.109938
USPS,3,./checkpoints_SAP/USPS_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.00350063,99.91426612,0.024489538,99.24554184,0.135578283,96.81116094,0.003426396,99.93141289,0.02417642,99.24554184,0.135611232,96.81116094,0.001038544,99.96570645,0.027802805,99.45130316,0.113253773,97.25959143,3636.482438
Food101,1,./checkpoints_SAP/Food101_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.837470844,72.65,1.38780685,57.53333333,1.169185313,62.88,0.837448575,72.66666667,1.387779943,57.53333333,1.169155944,62.88,0.429010676,86.06666667,1.341853205,60,1.096082837,66.32,171.9826012
Food101,2,./checkpoints_SAP/Food101_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.627405786,79.1,1.370646691,57.93333333,1.079404659,64.96,0.627403682,79.1,1.370644753,57.93333333,1.079401586,64.96,0.431705806,85.56666667,1.249637473,63.26666667,1.057544334,68.64,102.7492044
Food101,3,./checkpoints_SAP/Food101_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.607016822,79.63333333,1.151313254,60.73333333,0.939027227,68.24,0.60705138,79.65,1.151390724,60.66666667,0.939077728,68.28,0.367803962,89.03333333,1.252833922,64.33333333,0.982903921,71.04,127.6621103
office31,1,./checkpoints_SAP/office31_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.015100908,99.55629506,0.969236987,78.66666667,1.043709621,74.60035524,0.015065532,99.61175818,0.969238954,78.66666667,1.043611858,74.60035524,0.009108248,99.77814753,0.948819839,78.44444444,1.002255284,76.37655417,741.0948493
office31,2,./checkpoints_SAP/office31_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.011496743,99.94453688,0.994297619,72.88888889,0.925272486,76.02131439,0.013026762,99.88907377,1.028069464,72.44444444,0.93621771,75.6660746,0.002359944,100,1.029933229,77.11111111,1.004808558,77.26465364,3716.436554
office31,3,./checkpoints_SAP/office31_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.088024218,98.61342207,1.023547088,73.33333333,0.961493136,73.88987567,0.088169262,98.55795896,1.024523159,73.33333333,0.961451447,73.71225577,0.049164041,99.22351636,1.033501763,77.33333333,0.959280834,79.57371226,3708.99275
EMNIST,1,./checkpoints_SAP/EMNIST_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.111042716,95.91646635,0.156345794,94.47115385,0.161969614,94.42788462,0.111037383,95.91846955,0.156338539,94.47115385,0.161963136,94.42788462,0.085904913,96.66165865,0.153008866,94.81570513,0.160552003,94.49038462,309.6079566
