Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
FashionMNIST,1,./checkpoints_SAP/FashionMNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.139400444,94.925,0.206435584,92.80833333,0.217092312,92.19,0.153610067,94.45,0.220258572,92.34166667,0.233007862,91.7,0.082108321,97.11666667,0.213989776,92.675,0.230439258,92.64,3644.296357
FashionMNIST,2,./checkpoints_SAP/FashionMNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.092964698,96.83333333,0.198557257,93.375,0.213432885,92.63,0.097323003,96.72291667,0.201211474,93.175,0.216327175,92.59,0.078007949,97.11458333,0.229255776,92.73333333,0.252394733,91.92,3643.231577
FashionMNIST,3,./checkpoints_SAP/FashionMNIST_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.109578171,96.07083333,0.194524208,93.19166667,0.208548955,92.53,0.109623469,96.05416667,0.195158859,93.15833333,0.20911956,92.5,0.063552091,97.72916667,0.231222817,92.85833333,0.239734335,92.59,3648.376091
USPS,1,./checkpoints_SAP/USPS_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.002500819,99.98285322,0.03359685,99.03978052,0.139476396,96.51220727,0.003095261,99.94855967,0.032877105,99.17695473,0.142279771,96.56203288,0.003985095,99.91426612,0.037034898,99.17695473,0.132868075,96.96063777,3636.484844
USPS,2,./checkpoints_SAP/USPS_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.006924399,99.86282579,0.037314062,98.97119342,0.162980911,96.46238166,0.019064399,99.65706447,0.049298788,99.03978052,0.173501939,96.26307922,0.001517926,99.98285322,0.02242682,99.38271605,0.128754687,97.1101146,3641.856738
USPS,3,./checkpoints_SAP/USPS_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.0035004,99.91426612,0.024491423,99.24554184,0.135579692,96.81116094,0.058047606,99.51989026,0.084444693,98.42249657,0.181877072,96.51220727,0.00087665,99.98285322,0.025159291,99.38271605,0.117414271,97.50871948,3639.047247
Food101,1,./checkpoints_SAP/Food101_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.839111811,72.65,1.389165998,57.66666667,1.170558516,62.88,0.84114911,72.61666667,1.391208292,57.4,1.17312248,62.88,0.084274009,97.48333333,1.376816103,65.93333333,1.135944324,70.16,3626.754564
Food101,2,./checkpoints_SAP/Food101_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.627560693,79.15,1.370376609,57.8,1.079391716,64.96,0.62964552,79.2,1.37212472,57.86666667,1.081561554,65,0.398483382,87.31666667,1.410095882,61.4,1.15360143,67.28,3626.630266
Food101,3,./checkpoints_SAP/Food101_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.606874193,79.71666667,1.150739225,60.6,0.939055788,68.2,0.610619269,79.61666667,1.158197155,60.33333333,0.947093599,68,0.570867873,80.98333333,1.277453692,58.73333333,1.080535394,65.36,3624.909294
Caltech101,1,./checkpoints_SAP/Caltech101_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.014399509,99.88474837,0.456462588,89.46963874,0.433011177,89.8109728,0.04844093,99.38532463,0.507746382,88.93159108,0.48060943,88.88888889,0.012286237,99.92316558,0.47819185,89.23904689,0.436628203,89.58045182,3688.164223
Caltech101,3,./checkpoints_SAP/Caltech101_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.01043628,99.82712255,0.447465632,89.70023059,0.461274125,89.90318119,0.053900577,99.36611602,0.498201426,89.08531899,0.507304811,89.62655602,0.008234059,99.92316558,0.487441998,88.70099923,0.489849954,89.11940987,3695.802695
Caltech101,4,./checkpoints_SAP/Caltech101_CO/Run4_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.041956751,99.44295044,0.473396013,89.31591084,0.476522948,88.61226372,0.082489158,99.11640415,0.514438364,88.93159108,0.511132852,88.38174274,0.029622581,99.71187092,0.463118033,89.31591084,0.44710534,89.71876441,3676.753646
EMNIST,1,./checkpoints_SAP/EMNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.111043618,95.91846955,0.156345236,94.47115385,0.161969398,94.42788462,0.111069053,95.91947115,0.15637158,94.46714744,0.161997685,94.43269231,0.087009708,96.67768429,0.144916972,94.89182692,0.151506305,94.90865385,238.8406482
EMNIST,2,./checkpoints_SAP/EMNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.101081613,96.17387821,0.152736593,94.74358974,0.155803807,94.63461538,0.101243786,96.16887019,0.152887976,94.75160256,0.155838408,94.62980769,0.077551838,96.89603365,0.158033139,94.70352564,0.161293567,94.50480769,570.0768826
EMNIST,5,./checkpoints_SAP/EMNIST_CO/Run5_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.090849926,96.37219551,0.155218295,94.51522436,0.159342053,94.49519231,0.090846573,96.37419872,0.155215521,94.51522436,0.159338259,94.49519231,0.078015998,96.97516026,0.156280717,94.69551282,0.16054118,94.76442308,141.009711
SVHN,1,./checkpoints_SAP/SVHN_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.13025095,96.44398942,0.227379656,93.55675381,0.232619003,93.45036878,0.130238479,96.44228308,0.227366254,93.54992833,0.232607319,93.45036878,0.131461026,96.23581606,0.234527102,93.25643301,0.209501812,93.99585126,3192.986505
SVHN,2,./checkpoints_SAP/SVHN_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.132973647,96.20510195,0.23275779,93.37246604,0.206730654,94.03810695,0.13297523,96.20168928,0.23276026,93.37246604,0.206734843,94.03810695,0.116644246,96.62315502,0.229733582,93.48849908,0.202418741,94.20712969,898.3344171
SVHN,3,./checkpoints_SAP/SVHN_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.117005261,96.71359099,0.218393047,93.98675858,0.20652776,94.28395821,0.117042699,96.70847197,0.218437263,93.98675858,0.206572888,94.27627535,0.114908197,96.69823394,0.232737491,93.68643779,0.209192827,94.09956976,1045.711544
office31,1,./checkpoints_SAP/office31_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.015100921,99.55629506,0.969236971,78.66666667,1.043709804,74.60035524,0.016172034,99.44536883,0.976125751,78.22222222,1.046093958,74.06749556,0.024207329,99.44536883,0.973157154,77.55555556,0.985556201,75.84369449,3755.38574
office31,2,./checkpoints_SAP/office31_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.01149674,99.94453688,0.994297541,72.88888889,0.925272549,76.02131439,0.011697347,99.88907377,0.990481182,72.66666667,0.924823217,76.19893428,0.027455424,99.55629506,0.986281878,75.55555556,1.026651953,75.31083481,3756.373857
office31,3,./checkpoints_SAP/office31_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.088024291,98.61342207,1.023547342,73.33333333,0.961493245,73.88987567,0.094199418,98.50249584,1.041258973,73.33333333,0.982219207,73.71225577,0.04763983,99.16805324,1.014814873,75.55555556,1.042865753,73.71225577,3755.569868
CIFAR10,1,./checkpoints_SAP/CIFAR10_CO/Run1_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.3724056595802307,87.4725,0.4847072896003723,83.93,0.5001704458713532,83.81,0.40085624632835387,86.38,0.5121580304861069,82.88,0.5186735020637512,82.73,0.34557155957221986,88.015,0.44901085228919985,84.69,0.4647138383865356,84.11,3635.87114405632
CIFAR10,2,./checkpoints_SAP/CIFAR10_CO/Run2_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.35352975153923033,87.7675,0.46884054498672484,84.02,0.46391053552627565,83.97,0.3829915192127228,87.0775,0.4911548705101013,83.5,0.4956577442646027,83.53,0.3422277084350586,88.125,0.4535046661376953,85.09,0.46298100156784056,84.56,3639.8323125839233
CIFAR10,3,./checkpoints_SAP/CIFAR10_CO/Run3_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.3658134491920471,87.495,0.4523523458480835,84.61,0.4622781268119812,84.45,0.39321690402030945,86.72,0.5024828565597534,83.06,0.5008184645652771,83.56,0.30733901500701905,89.505,0.4131015111923218,86.16,0.426000447177887,85.46,3636.0228486061096
MNIST,1,./checkpoints_SAP/MNIST_CO/Run1_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.026275988759472967,99.19791666666667,0.05054606499771277,98.59166666666667,0.04600572193078697,98.48,0.03006936621107161,99.03125,0.05477386707067489,98.44166666666666,0.04816106090918183,98.46,0.023669248540264864,99.28958333333334,0.05351185946663221,98.41666666666667,0.05166918025501072,98.41,1567.712429523468
MNIST,2,./checkpoints_SAP/MNIST_CO/Run2_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.02259232235016922,99.41041666666666,0.07680735075722138,98.10833333333333,0.06866147742532194,98.2,0.03002496976653735,99.1375,0.08647747697432837,97.81666666666666,0.07707147442102433,97.95,0.018887039276460807,99.51458333333333,0.07572039628525574,97.94166666666666,0.06867306432910264,98.22,228.4930911064148
MNIST,3,./checkpoints_SAP/MNIST_CO/Run3_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.02018205136929949,99.37083333333334,0.05547365168047448,98.48333333333333,0.04975676261022454,98.65,0.031261184910312295,98.95208333333333,0.06733630470434825,98.125,0.06453747264547273,98.22,0.01897974321184059,99.40833333333333,0.060782773340741794,98.40833333333333,0.0583560945217032,98.33,781.6021311283112
KMNIST,1,./checkpoints_SAP/KMNIST_CO/Run1_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.0007435461323717997,99.98125,0.03148156739282422,99.35,0.12632308083964744,97.43,0.026931475770349305,98.96666666666667,0.05903249538441499,98.25,0.1421352249622345,96.78,0.0015521619270706046,99.94583333333334,0.033687480502257436,99.29166666666667,0.11763003209233285,97.25,3635.0375316143036
KMNIST,2,./checkpoints_SAP/KMNIST_CO/Run2_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.0027967655156874876,99.91458333333334,0.028386523904123655,99.33333333333333,0.10547360893152655,97.71,0.019607730631561328,99.325,0.05073905530308063,98.575,0.17319547876119615,95.94,1.4996486590992693e-05,100.0,0.018816485217174585,99.53333333333333,0.10177977920924314,98.18,3637.5730872154236
KMNIST,3,./checkpoints_SAP/KMNIST_CO/Run3_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,5.286752509126321e-06,100.0,0.021746024785634897,99.575,0.10698768185300286,98.0,0.030568729400634764,98.69791666666667,0.061562898293137554,98.13333333333334,0.1498967779075727,96.83,6.174110297801387e-06,100.0,0.0227510797109256,99.48333333333333,0.12100605628881604,97.92,3636.934936761856
FashionMNIST,1,./checkpoints_SAP/FashionMNIST_CO/Run1_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.13940436219175656,94.925,0.20643933339913687,92.80833333333334,0.2170944971203804,92.19,0.16079514962434768,94.42291666666667,0.23154910719394683,92.05,0.24373044711351394,91.5,0.10246139971415202,96.37083333333334,0.20253651003042858,92.75833333333334,0.21362329595088958,92.44,3635.2879214286804
FashionMNIST,2,./checkpoints_SAP/FashionMNIST_CO/Run2_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.09296689820289612,96.83333333333333,0.1985623602469762,93.375,0.21344027532339097,92.63,0.10768673358360926,96.35833333333333,0.20890205097198486,92.875,0.22297154366970062,92.46,0.041587302960455416,98.5375,0.23163641428947448,93.20833333333333,0.23973584024906158,93.01,3636.7875487804413
FashionMNIST,3,./checkpoints_SAP/FashionMNIST_CO/Run3_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.10958072622617086,96.06875,0.19452900020281474,93.19166666666666,0.20855084728598594,92.53,0.12131420454382896,95.63541666666667,0.20922326588630677,92.6,0.22287490448355674,92.03,0.0824338420977195,97.03125,0.20377599040667216,92.76666666666667,0.2173125384569168,92.6,3635.475037574768
USPS,1,./checkpoints_SAP/USPS_CO/Run1_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.002500796712940081,99.98285322359396,0.03359594658293106,99.039780521262,0.1394794813000449,96.51220727453911,0.11806977002668119,98.91975308641975,0.15659021145685872,97.25651577503429,0.24969047839569106,95.21674140508222,0.0008027441062862616,99.98285322359396,0.027697810759149562,99.24554183813443,0.14648300919201046,96.96063776781266,3637.365039587021
USPS,2,./checkpoints_SAP/USPS_CO/Run2_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.006924315951847624,99.86282578875172,0.03731404906518844,98.97119341563786,0.16297957239979735,96.46238166417538,0.17321477554462575,97.7880658436214,0.20205700428152282,96.84499314128944,0.326824809522491,93.67214748380668,0.0015550064704562899,99.98285322359396,0.0235704327228451,99.38271604938272,0.1340145957259453,96.96063776781266,3637.4556057453156
USPS,3,./checkpoints_SAP/USPS_CO/Run3_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.003500629982763575,99.91426611796982,0.024489537677350768,99.24554183813443,0.13557828278812117,96.81116093672148,0.11990020222788159,98.09670781893004,0.16287583985528173,96.09053497942386,0.25254354990116684,94.02092675635276,0.0009823545348118775,99.98285322359396,0.019410218586774726,99.45130315500685,0.13578207780271545,97.20976581963129,3637.109086751938
Food101,1,./checkpoints_SAP/Food101_CO/Run1_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.8374708372751872,72.65,1.3878068504333496,57.53333333333333,1.1691853134155274,62.88,0.86530615234375,71.66666666666667,1.4085739159584045,56.93333333333333,1.2016732444763183,61.48,0.4486559050877889,85.43333333333334,1.3467834825515748,60.13333333333333,1.0694458448410034,67.96,3637.7391080856323
Food101,2,./checkpoints_SAP/Food101_CO/Run2_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.6274057761828105,79.1,1.3706466910044353,57.93333333333333,1.079404659461975,64.96,0.6506442861557007,78.58333333333333,1.3855141096115113,57.53333333333333,1.097868586730957,64.6,0.43921574274698894,85.88333333333334,1.2662661428451538,61.13333333333333,1.0514874759674073,68.52,3638.328350543976
Food101,3,./checkpoints_SAP/Food101_CO/Run3_checkpoint_CMC_Correct_10.pth,SAP,CMC,Correct,t,10,0.6070168232917785,79.63333333333334,1.1513132543563842,60.733333333333334,0.9390272270202636,68.24,0.623645567893982,79.03333333333333,1.1691310629844665,60.06666666666667,0.9585063255310059,67.56,0.4882816894849141,84.65,1.1922371498743694,61.93333333333333,0.9920215923309326,67.08,3635.770071744919
