Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
FashionMNIST,MisCls_Any,4,0,0.000432514,0,0.000432514,1000,1,96.33125,92.85833333,2
FashionMNIST,MisCls_Any,5,0,0.002854588,0,0.002854588,1000,1,95.01458333,92.68333333,2
Food101,MisCls_Any,1,0,0.002270812,0,0.002270812,1000,1,81.38333333,63.6,1
Food101,MisCls_Any,2,0,0.002802597,0,0.002802597,1000,1,96.5,68.73333333,1
Food101,MisCls_Any,3,0,0.000671984,0,0.000671984,1000,1,65.53333333,53.8,1
Food101,MisCls_Any,4,0,0,0.00283128,0.00283128,1000,1,86.25,65.53333333,2
Food101,MisCls_Any,5,0,0.001609763,0,0.001609763,1000,1,78.4,59.6,2
KMNIST,MisCls_Any,1,0,0.026255279,0,0.026255279,1000,1,99.90833333,99.125,1
KMNIST,MisCls_Any,2,0,0.526791881,0,0.526791881,1000,1,99.92916667,99.25833333,4
KMNIST,MisCls_Any,3,0,0.413675465,0,0.413675465,1000,1,99.95416667,99.30833333,2
KMNIST,MisCls_Any,4,0,0.098923344,0,0.098923344,1000,1,99.96041667,99.125,1
KMNIST,MisCls_Any,5,0,3.316556524,0,3.316556524,1000,1,99.99583333,99.41666667,2
MNIST,MisCls_Any,1,0,0.003801117,0,0.003801117,1000,1,97.6,97.10833333,5
MNIST,MisCls_Any,2,0,0.015003241,0,0.015003241,1000,1,98.075,97.78333333,10
MNIST,MisCls_Any,3,0,0.002006625,0,0.002006625,1000,1,98.37291667,98.04166667,2
MNIST,MisCls_Any,4,0,0.000246522,0,0.000246522,1000,1,98.27291667,97.51666667,1
MNIST,MisCls_Any,5,0,0.007537477,0,0.007537477,1000,1,97.91875,97.61666667,7
office31,MisCls_Any,1,0,0.170411223,0,0.170411223,1000,1,98.77981143,75.55555556,1
office31,MisCls_Any,2,0,0.201262707,0,0.201262707,1000,1,95.4520244,72.22222222,1
office31,MisCls_Any,3,0,0.000521449,0,0.000521449,1000,1,99.22351636,74.66666667,1
office31,MisCls_Any,4,0,0.078452544,0,0.078452544,1000,1,99.72268441,76.22222222,1
office31,MisCls_Any,5,0,0.897479638,0,0.897479638,1000,1,99.77814753,73.55555556,1
SVHN,MisCls_Any,1,0,0,0.006635079,0.006635079,1000,1,96.62827404,93.50215002,1
SVHN,MisCls_Any,2,0,0,0.049434848,0.049434848,1000,1,96.48323522,93.80929629,15
SVHN,MisCls_Any,3,0,0,0.064489134,0.064489134,1000,1,96.45081478,93.74786704,16
SVHN,MisCls_Any,4,0,2.72E-10,0.138890305,0.138890304,1000,1,95.49867759,93.25643301,30
SVHN,MisCls_Any,5,0,0,0.000180806,0.000180806,1000,1,96.47299718,93.67278684,1
USPS,MisCls_Any,1,0,0.092046559,0,0.092046559,1000,1,99.84567901,98.97119342,2
USPS,MisCls_Any,2,0,0.972132943,0,0.972132943,1000,1,99.96570645,99.38271605,1
USPS,MisCls_Any,3,0,0.644640846,0,0.644640846,1000,1,99.84567901,99.17695473,10
USPS,MisCls_Any,4,0,0.446389912,0,0.446389912,1000,1,99.96570645,99.24554184,2
USPS,MisCls_Any,5,0,0.095425481,0,0.095425481,1000,1,99.55418381,98.69684499,2
SVHN,MisCls_Any,2,0,5.514898449,2.874275359,8.389173808,1000,9,96.27506185,93.61135759,786
USPS,MisCls_Any,1,0,1.341281726,0,1.341281726,1000,9,98.98834019,97.66803841,54
USPS,MisCls_Any,2,0,1.397056474,0,1.397056474,1000,9,99.43415638,98.90260631,34
USPS,MisCls_Any,4,0,1.361346859,0,1.361346859,1000,9,99.29698217,98.01097394,41
Caltech101,MisCls_Any,1,0,25.88605847,0,25.88605847,1000,10,98.54014599,87.31744812,69
Caltech101,MisCls_Any,2,0,62.24512899,0,62.24512899,1000,10,95.7741068,84.39661799,211
Caltech101,MisCls_Any,3,0,3.684884965,0,3.684884965,1000,10,99.48136765,89.31591084,26
Caltech101,MisCls_Any,4,0,28.93484789,0,28.93484789,1000,10,98.65539762,87.85549577,66
Caltech101,MisCls_Any,5,0,43.33299071,0,43.33299071,1000,10,99.44295044,90.69946195,29
CIFAR10,MisCls_Any,2,0,0.117172925,0.412244503,0.529417403,1000,10,97.5825,92.08,134
FashionMNIST,MisCls_Any,1,0,0.103243375,4.04E-08,0.103228026,1000,10,95.99166667,92.65,241
FashionMNIST,MisCls_Any,2,0,0.242505423,0,0.242504732,1000,10,95.48333333,92.35833333,251
FashionMNIST,MisCls_Any,3,0,0.126589862,0,0.126589862,1000,10,94.9125,92.7,135
FashionMNIST,MisCls_Any,4,0,0.541531454,0,0.541531454,1000,10,96.01666667,92.54166667,349
FashionMNIST,MisCls_Any,5,0,0.479470454,0,0.479469576,1000,10,95.3,92.975,508
Food101,MisCls_Any,1,0,0.047432867,0.058839257,0.106272125,1000,10,81.33333333,63.66666667,26
KMNIST,MisCls_Any,1,0,2.970695939,0,2.970695936,1000,10,99.02083333,98.225,432
KMNIST,MisCls_Any,2,0,5.924093385,0,5.924093385,1000,10,98.83125,97.91666667,538
KMNIST,MisCls_Any,3,0,5.262754489,0,5.262754489,1000,10,99.09583333,98.46666667,426
KMNIST,MisCls_Any,4,0,3.207525973,0,3.207525972,1000,10,98.47916667,97.84166667,713
KMNIST,MisCls_Any,5,0,5.604904663,0,5.604904662,1000,10,99.23541667,98.46666667,367
MNIST,MisCls_Any,1,0,0.085766379,0,0.085766379,1000,10,97.62083333,97.19166667,160
MNIST,MisCls_Any,2,0,0.076823489,0,0.076823489,1000,10,98.07291667,97.78333333,49
MNIST,MisCls_Any,3,0,0.231057864,0,0.231057863,1000,10,98.275,97.86666667,128
