Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
MisCls_Correct,2,1,5.601575526980667,0.0,5.601575526980667,1000,1,99.9725,85.56,11
MisCls_Any,2,3,5.375456803687128,0.0,5.375456803687128,1000,1,99.98,85.7,8
MisCls_Correct,2,5,5.601575526980667,0.0,5.601575526980667,1000,1,99.9725,85.56,11
MisCls_Any,2,7,5.369282698762391,0.0,5.369282698762391,1000,1,99.9825,85.71,7
MisCls_Correct,2,9,6.165919404363635,0.0,6.165919404363635,1000,1,99.63250000000001,85.16,147
MisCls_Any,2,11,5.9277486579507555,0.0,5.9277486579507555,1000,1,99.94,86.16,24
MisCls_Correct,2,13,5.1981818820248185,0.0,5.1981818820248185,1000,1,99.995,85.83,2
MisCls_Any,2,15,5.799038675294873,0.0,5.799038675294873,1000,1,99.7575,85.28,97
MisCls_Correct,2,17,5.8828378546986295,0.0,5.8828378546986295,1000,1,99.925,85.34,30
MisCls_Any,2,19,5.753754935224679,0.0,5.753754935224679,1000,1,99.99749999999999,85.8,1
