Run,Phase,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
2,Train,1,1.9669509006384462,31.0075,-,-
2,Train,2,1.402501484837395,48.485,-,-
2,Train,3,1.1257979767010236,59.3875,-,-
2,Train,4,0.9231755990570727,66.9475,-,-
2,Train,5,0.780714346577946,72.2675,-,-
2,Train,6,0.649418685002068,77.2975,-,-
2,Train,7,0.5476343719342265,80.9225,-,-
2,Train,8,0.4579203075494248,84.01,-,-
2,Train,9,0.405612272385972,85.7925,-,-
2,Train,10,0.35030983488399764,87.82,-,-
2,Train,11,0.3115713664898857,89.155,-,-
2,Train,12,0.28018368502108815,90.295,-,-
2,Train,13,0.2656145838026802,90.8025,-,-
2,Train,14,0.2372305967127934,91.7225,-,-
2,Train,15,0.21971578252153656,92.295,-,-
2,Train,16,0.21257960072721535,92.61,-,-
2,Train,17,0.2005407342705102,92.9775,-,-
2,Train,18,0.1921033631212795,93.475,-,-
2,Train,19,0.1870639628400437,93.525,-,-
2,Train,20,0.1787475036760679,93.7925,-,-
2,Train,21,0.1864447268529441,93.575,-,-
2,Train,22,0.16803624380986912,94.2375,-,-
2,Train,23,0.17340366777996666,94.02,-,-
2,Train,24,0.16882214669031076,94.2475,-,-
2,Train,25,0.16856003194428482,94.235,-,-
2,Train,26,0.16101298979914988,94.4875,0.8169681483268738,77.54
2,Train,27,0.16627589728052433,94.2625,0.9981776947021485,72.02
2,Train,28,0.15943119898676492,94.5825,0.8914954124450684,75.18
2,Train,29,0.15855139253524164,94.465,0.992481353187561,74.1
2,Train,30,0.15887721417287287,94.4975,0.8325239250183105,76.38
2,Train,31,0.15074948602305432,94.8875,0.8937072914123535,75.42
2,Train,32,0.1570189238165895,94.6375,0.7834846621513367,78.29
2,Train,33,0.1627340071236554,94.48,0.833351836490631,76.34
2,Train,34,0.15019104331017682,94.99,0.8032809587478638,77.47
2,Train,35,0.14489707548302203,95.1625,0.8640234884262085,76.54
2,Train,36,0.1550385057807159,94.7825,0.823636065864563,76.48
2,Train,37,0.1541414921775984,94.675,0.711115879535675,79.7
2,Train,38,0.1546103166886412,94.8525,0.8293946949005127,76.5
2,Train,39,0.15487913992077398,94.71,0.7626191848754883,77.37
2,Train,40,0.14413457155560913,95.1625,0.8202286023139954,77.48
2,Train,41,0.15047463870491273,94.9375,0.7725771956443787,78.41
2,Train,42,0.15128095965749158,94.8775,0.7657622165679931,79.29
2,Train,43,0.14692295825305268,95.0075,0.8424868244171143,76.87
2,Train,44,0.15443416741995003,94.71,0.8154527817726135,76.88
2,Train,45,0.14627179277305025,95.035,0.8953704404830932,74.3
2,Train,46,0.13090958380803894,95.585,0.8941195779800415,75.03
2,Train,47,0.15763913196163437,94.6575,0.7146196033477783,79.83
2,Train,48,0.13768210802405786,95.345,0.8629548452377319,76.24
2,Train,49,0.14276065373906313,95.255,0.8701042044639588,76.11
2,Train,50,0.14391475674895624,95.03,1.0452550590515137,72.62
2,Train,51,0.1489114264151254,95.0175,0.7913781667709351,78.02
2,Train,52,0.13409512209149596,95.4325,0.7834470640182495,78.27
2,Train,53,0.1472036981830201,95.1125,0.769329673576355,79.09
2,Train,54,0.13693165529174164,95.465,0.8183354968070984,77.88
2,Train,55,0.1541823214663865,94.7575,0.7592884212017059,79.02
2,Train,56,0.13470141087381984,95.43,0.7839120706558228,77.55
2,Train,57,0.1495867950347856,94.8275,0.7715115827560425,78.49
2,Train,58,0.13740283920884894,95.4025,0.7423439725875854,79.03
2,Train,59,0.1424049463646766,95.1975,0.8672478492736816,76.59
2,Train,60,0.13501473160359426,95.495,0.8335079837799072,76.56
2,Train,61,0.14905817266375113,94.8625,0.7288342964172363,78.5
2,Train,62,0.13097086977868225,95.59,0.6897868026733398,80.16
2,Train,63,0.153829991960297,94.7075,0.8280982202529907,76.64
2,Train,64,0.1367352691154701,95.355,0.9794391981124878,74.7
2,Train,65,0.13878500076552358,95.3625,0.8260074369430542,77.12
2,Train,66,0.14266241896457185,95.07,0.9314938785552979,76.15
2,Train,67,0.13904815582564464,95.365,0.7299187309265137,78.9
2,Train,68,0.14481415196110647,95.055,0.73817631149292,78.38
2,Train,69,0.138009961587362,95.2875,0.7768795928955078,78.94
2,Train,70,0.13277210739140693,95.5825,0.7898201471328735,77.9
