Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
FashionMNIST,2,./checkpoints/FashionMNIST_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.033920489,99.28125,0.159626616,94.41666667,0.181968234,93.72,0.033927325,99.28333333,0.159626078,94.41666667,0.18196793,93.72,0.020106529,99.6875,0.164833147,94.50833333,0.180639521,94.07,2519.814679
FashionMNIST,3,./checkpoints/FashionMNIST_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.077234071,97.83125,0.163530402,94.21666667,0.176386515,93.63,0.077200401,97.825,0.163453087,94.225,0.176334583,93.6,0.045369557,99.00833333,0.15665459,94.375,0.172706217,93.99,3104.242864
FashionMNIST,5,./checkpoints/FashionMNIST_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.03768110331396262,99.2875,0.15273706390460332,94.575,0.17678317949771882,94.04,0.03766108501454194,99.28958333333334,0.15271989818414053,94.58333333333333,0.17676056815981864,94.05,0.02619699659695228,99.54791666666667,0.15650978628794351,94.56666666666666,0.18163857820034027,93.97,2130.7833795547485
FashionMNIST,6,./checkpoints/FashionMNIST_CO/Run6_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.07318201080461344,98.00208333333333,0.16156089532375337,93.95833333333333,0.17462258113622667,93.65,0.07318228846788406,98.00208333333333,0.1615580496986707,93.95833333333333,0.1746193237900734,93.65,0.05719034018615882,98.57083333333334,0.16316892063617705,94.025,0.1841991690993309,93.34,2369.929904937744
Food101,1,./checkpoints/Food101_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.268076074,94.2,0.855948202,71.8,0.617915331,80.12,0.268126571,94.18333333,0.855999178,71.8,0.617953688,80.16,0.144061638,97.2,0.857829395,72.2,0.615512886,80.48,148.3601205
Food101,2,./checkpoints/Food101_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.252019007,95.2,1.192064964,60.2,0.995018465,67.08,0.251844955,95.21666667,1.191908116,60.26666667,0.994882884,67.12,0.185636012,96.45,1.227624601,60.33333333,1.010658683,68,83.9572196
Food101,3,./checkpoints/Food101_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.768376228,75.43333333,1.221998664,59.4,1.070342523,63.24,0.76836186,75.43333333,1.222014888,59.46666667,1.070298569,63.32,0.538926164,88.28333333,1.22299606,62.66666667,1.017622475,68.48,129.1546972
Food101,4,./checkpoints/Food101_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.12855370112260184,97.51666666666667,0.9519226040840149,68.46666666666667,0.7630282531738282,75.28,0.1285512030919393,97.53333333333333,0.9518981102307638,68.46666666666667,0.7630020812988281,75.28,0.09742134280999501,98.21666666666667,0.9418929150899251,68.53333333333333,0.7707740798950196,75.76,584.5297458171844
Food101,5,./checkpoints/Food101_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.38741121300061543,90.3,1.1687599598566691,61.46666666666667,1.0448665969848632,65.52,0.38746822261810304,90.26666666666667,1.1688362204233804,61.46666666666667,1.0449283023834228,65.52,0.29296361740430193,93.41666666666667,1.1786604229609172,61.13333333333333,0.9716031436920166,67.64,1295.492362499237
office31,1,./checkpoints/office31_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.061024372,98.44703272,0.83165328,77.11111111,0.877060551,76.90941385,0.060403397,98.44703272,0.830037992,77.11111111,0.875251968,76.73179396,0.03531915,98.89073766,0.822024266,77.55555556,0.859239441,76.19893428,3759.743364
