Test_Length,Threshold,Flip_ID,Mismatch,Max_Abs_Diff,Median_Diff,Mean_Diff,Sum_Abs_Diff,Geomean_Diff
30,1e-09,0,1,0.00922757343827441,0.0,0.0006140473835570109,0.03500070086274962,0.0006127272740039658
30,1e-09,3,1,0.35725285202406576,0.0,0.024273268675526333,1.383576314505001,0.021947223688660866
30,1e-09,4,0,0.5324566737120876,1.0229563271924073e-10,0.01746269839087501,0.9953738082798756,0.015515603462339378
30,1e-09,5,0,0.3641211244330096,4.3481935081799026e-05,0.030292895735522574,1.7266950569247868,0.028432134858361602
30,1e-09,7,0,0.5767625214374024,2.0418562187536443e-09,0.016402147409753157,0.9349224023559299,0.014215556223907244
30,1e-09,10,2,0.2976717908950469,0.0,0.008529914948503765,0.4862051520647146,0.007883398129880703
30,1e-09,12,2,0.458899892230057,0.0008660462173339712,0.035273352035221806,2.010581066007643,0.03307380264705895
30,1e-09,15,0,1.2654636380055722,0.0,0.05117262048331465,2.916839367548935,0.038940916500980194
30,1e-09,17,3,0.2194363836766531,0.0,0.011758578374639332,0.6702389673544419,0.01128157083417225
30,1e-09,18,0,6.9356864992997265,4.290414741115868e-11,0.17283497662959318,9.851593667886812,0.07890226240956144
30,1e-09,19,0,0.037740904886521605,0.0,0.0016999822451280661,0.09689898797229977,0.0016789468167526245
30,1e-09,22,0,4.067804011808798,0.010566282706906526,0.1511249026545222,8.614119451307765,0.09983241118576247
30,1e-09,23,0,0.3567439792127765,0.0,0.013522263336967481,0.7707690102071464,0.012583093368410125
30,1e-09,25,1,0.6169587673293164,0.0051831041097490805,0.04139431321549719,2.3594758532833398,0.036467366028418935
30,1e-09,27,3,0.7564549461417377,0.0005116553038309317,0.04808520921121032,2.740856925038988,0.04286203102805031
30,1e-09,29,1,0.3586021899302446,4.560575641178364e-05,0.024056824472059157,1.371238994907372,0.022733623408864645
30,5e-09,0,0,0.009228767374853586,0.0,0.0006135624912215751,0.03497306199962978,0.0006122426115429125
30,5e-09,3,0,0.35918531628813816,5.136616944317692e-11,0.024109841553338025,1.3742609685402674,0.021716176216578953
30,5e-09,4,0,1.1204138911929695,5.249087488262825e-10,0.030021602863044533,1.7112313631935383,0.02348419907060273
30,5e-09,5,0,0.8510943966491303,4.138491766261479e-05,0.045147821463682,2.573425823429874,0.03837640661222563
30,5e-09,7,0,0.5769764310525961,2.678819156836624e-09,0.01640906445002891,0.935316673651648,0.01422113959629856
30,5e-09,10,0,0.29716361670281227,3.0752943842307334e-06,0.008520322981117944,0.48565840992372283,0.007875833506585161
30,5e-09,15,0,0.056838188523375695,8.717873846211946e-06,0.0029734981106450723,0.16948939230676913,0.002933407302520674
30,5e-09,17,0,0.17801748261366987,0.0,0.010941020665190994,0.6236381779158866,0.010578277380502987
30,5e-09,18,0,6.997721459179122,0.0,0.17407911182180485,9.922509373842876,0.07914654689271017
30,5e-09,19,0,0.03772906464485854,0.0,0.0017003866803704233,0.09692204078111413,0.0016793640761434414
30,5e-09,23,0,0.3430577276055868,0.0,0.013201341452386413,0.7524764627860255,0.012324526229724464
30,5e-09,25,0,0.6116435512854326,0.00562158749355676,0.031996999822744586,1.8238289898964415,0.028762138251772873
30,5e-09,29,0,0.35832922191637573,1.5329729068249506e-09,0.02427698380995914,1.383788077167671,0.022964722257522663
30,1e-08,0,0,0.009229274756388782,0.0,0.0006135294276023144,0.03497117737333192,0.0006122094784934973
30,1e-08,3,0,0.3565631052748314,1.1571086647895514e-10,0.02412963602873487,1.3753892536378878,0.02179669052477684
30,1e-08,4,0,0.3071432218539158,0.0,0.013344721412878428,0.7606491205340704,0.012524470663354714
30,1e-08,5,0,0.3920544727020819,6.081389542517503e-05,0.0262789877474114,1.4979023016024497,0.02450905374151713
30,1e-08,7,0,0.5769267268213367,3.5911967674861525e-10,0.01640590841988629,0.9351367799335184,0.014218291639321201
30,1e-08,10,0,0.2966826378632663,1.585994949505622e-05,0.008519445334493154,0.4856083840661098,0.007876835075078858
30,1e-08,15,0,1.8442202962228493,0.0,0.04715177468550618,2.6876511570738524,0.032585334117969156
30,1e-08,17,0,0.20867306409188185,0.0,0.011437111573113327,0.6519153596674596,0.010993311854479604
30,1e-08,18,0,6.970196065619955,1.3636627306043058e-05,0.17387181531704574,9.910693473071607,0.07952055284870374
30,1e-08,19,0,0.03773279640131436,0.0,0.0017005808896134917,0.09693311070796903,0.0016795536870635175
30,1e-08,23,0,0.34929619484197566,7.910853775324675e-05,0.01336404475314343,0.7617505509291755,0.01245885004759284
30,1e-08,25,0,0.5095956328734672,0.004289718152612268,0.027423278732596434,1.5631268877579967,0.02529616475583274
30,1e-08,29,0,0.3824084509417473,1.541677910409471e-05,0.023805184970873996,1.3568955433398178,0.022344309296060016
30,5e-08,0,0,0.009229275289722293,0.0,0.0006133851942138533,0.034962956070189635,0.0006120653887575767
30,5e-08,4,0,1.1461939920343596,3.579644321317463e-08,0.030503230009461105,1.738684110539283,0.023735293844642236
30,5e-08,5,0,0.3339489240834966,0.0,0.037268113091286935,2.124282446203355,0.034401194631457965
30,5e-08,7,0,0.5771447854857555,7.521922801230304e-11,0.016413572664754152,0.9355736418909867,0.014224543828335934
30,5e-08,10,0,0.29715298635587073,1.9569326058407848e-08,0.008522276208968874,0.48576974391122585,0.00787778019836427
30,5e-08,15,0,3.4472301952985527,0.0,0.08929821862266951,5.089998461492162,0.051247533945108836
30,5e-08,17,0,0.15198795981108573,1.1596627156257004e-09,0.010334533375787588,0.5890684024198926,0.010035628846095213
