Dataset,Run,Train Loss,Train Acc,Val Acc,Test Acc,Method
GiveMeSomeCredit,1,0.23692591,0.93051040,0.93050647,0.93053132,Train
GiveMeSomeCredit,1,0.23554268,0.93054706,,0.93057287,F_A1
GiveMeSomeCredit,1,0.19528930,0.93406862,0.93528718,0.93240207,RAF_A1
GiveMeSomeCredit,1,0.66171062,0.90551710,,0.90350878,F_A10
GiveMeSomeCredit,1,0.20840017,0.93041253,0.93064505,0.93048972,RAF_A10
GiveMeSomeCredit,1,0.61667365,0.93043703,,0.93040657,F_C1
GiveMeSomeCredit,1,0.20919637,0.93016803,0.93016005,0.92994928,RAF_C1
GiveMeSomeCredit,1,0.66171062,0.90551710,,0.90350878,F_C10
GiveMeSomeCredit,1,0.20840017,0.93041253,0.93064505,0.93048972,RAF_C10
GiveMeSomeCredit,1,0.68569362,0.90918541,,0.90558743,F_C30
GiveMeSomeCredit,1,0.21864745,0.93063265,0.93092221,0.93069762,RAF_C30
GiveMeSomeCredit,1,0.66432732,0.89284927,,0.89033008,F_A20
GiveMeSomeCredit,1,0.20839483,0.93044925,0.93071431,0.93048972,RAF_A20
GiveMeSomeCredit,1,0.66660601,0.87889755,,0.87773341,F_A30
GiveMeSomeCredit,1,0.20831922,0.93044925,0.93078363,0.93053132,RAF_A30
GiveMeSomeCredit,2,0.24625185,0.93076718,0.93029863,0.93061447,Train
GiveMeSomeCredit,2,0.24221143,0.93080384,,0.93061447,F_A1
GiveMeSomeCredit,2,0.19665460,0.93382406,0.92919004,0.93323356,RAF_A1
GiveMeSomeCredit,2,0.66313070,0.90995574,,0.90995258,F_A10
GiveMeSomeCredit,2,0.20585652,0.93076718,0.93029863,0.93065602,RAF_A10
GiveMeSomeCredit,2,0.64708823,0.92799151,,0.92807847,F_C1
GiveMeSomeCredit,2,0.20616084,0.93076718,0.93022931,0.93065602,RAF_C1
GiveMeSomeCredit,2,0.66152138,0.91447997,,0.91469193,F_C10
GiveMeSomeCredit,2,0.20687686,0.93076718,0.93029863,0.93065602,RAF_C10
GiveMeSomeCredit,2,0.68601143,0.90935659,,0.91082567,F_C20
GiveMeSomeCredit,2,0.20729661,0.93086499,0.93029863,0.93069762,RAF_C20
GiveMeSomeCredit,2,0.68654650,0.90220344,,0.90355033,F_C30
GiveMeSomeCredit,2,0.20771194,0.93088943,0.93016005,0.93065602,RAF_C30
GiveMeSomeCredit,2,0.66853559,0.89266586,,0.89199299,F_A20
GiveMeSomeCredit,2,0.20587270,0.93076718,0.93029863,0.93065602,RAF_A20
GiveMeSomeCredit,2,0.67115194,0.87975347,,0.88031095,F_A30
GiveMeSomeCredit,2,0.20584543,0.93076718,0.93029863,0.93065602,RAF_A30
bank-marketing,0,0.28622937,0.88302648,0.88297087,0.88300341,Train
bank-marketing,0,0.27167648,0.88387221,,0.88344574,F_A1
bank-marketing,0,0.20299612,0.91399390,0.90471804,0.89660513,RAF_A1
bank-marketing,0,0.27103969,0.88732028,,0.88720560,F_A10
bank-marketing,0,0.19655663,0.92345977,0.90582383,0.89892733,RAF_A10
bank-marketing,0,0.27167648,0.88387221,,0.88344574,F_C1
bank-marketing,0,0.20299612,0.91399390,0.90471804,0.89660513,RAF_C1
bank-marketing,0,0.66346365,0.86510313,,0.86320913,F_C10
bank-marketing,0,0.24874653,0.88299394,0.88297087,0.88300341,RAF_C10
bank-marketing,0,0.66451281,0.86012620,,0.85823292,F_C20
bank-marketing,0,0.24869394,0.88296139,0.88297087,0.88289285,RAF_C20
bank-marketing,0,0.66595703,0.85199404,,0.85104501,F_C30
bank-marketing,0,0.24873643,0.88296139,0.88297087,0.88289285,RAF_C30
bank-marketing,0,0.27380523,0.88985753,,0.88875371,F_A20
bank-marketing,0,0.19110541,0.92163813,0.90379655,0.89815325,RAF_A20
bank-marketing,0,0.66868460,0.82941902,,0.82472628,F_A30
bank-marketing,0,0.24868366,0.88296139,0.88297087,0.88289285,RAF_A30
bank-marketing,1,0.29061520,0.88302648,0.88297087,0.88300341,Train
bank-marketing,1,0.28197211,0.88361198,,0.88366693,F_A1
bank-marketing,1,0.21525510,0.90885437,0.89992630,0.89936966,RAF_A1
bank-marketing,1,0.28481722,0.88605165,,0.88687384,F_A10
bank-marketing,1,0.19798774,0.91861296,0.89918911,0.89903796,RAF_A10
bank-marketing,1,0.28197211,0.88361198,,0.88366693,F_C1
bank-marketing,1,0.21525510,0.90885437,0.89992630,0.89936966,RAF_C1
bank-marketing,1,0.68464351,0.86207795,,0.86132920,F_C10
bank-marketing,1,0.20078738,0.91968644,0.90250647,0.89848500,RAF_C10
bank-marketing,1,0.68454206,0.86305380,,0.86265618,F_C20
bank-marketing,1,0.20381868,0.91601068,0.90176928,0.89948028,RAF_C20
bank-marketing,1,0.68508345,0.85628784,,0.85580009,F_C30
bank-marketing,1,0.21365760,0.90911454,0.90084779,0.89649451,RAF_C30
bank-marketing,1,0.68499905,0.84708214,,0.84595817,F_A20
bank-marketing,1,0.19056542,0.92372000,0.90158498,0.89970142,RAF_A20
bank-marketing,1,0.68558156,0.83159846,,0.83014488,F_A30
bank-marketing,1,0.19636723,0.91568536,0.89826763,0.89737916,RAF_A30
bank-marketing,2,0.28811967,0.88302648,0.88297087,0.88300341,Train
bank-marketing,2,0.27659923,0.88315660,,0.88300341,F_A1
bank-marketing,2,0.20709281,0.91422158,0.89882052,0.90124959,RAF_A1
bank-marketing,2,0.27368733,0.88644201,,0.88598919,F_A10
bank-marketing,2,0.19553190,0.92010927,0.89218575,0.89914852,RAF_A10
bank-marketing,2,0.62735498,0.88318914,,0.88311404,F_C1
bank-marketing,2,0.20718071,0.91409147,0.89421302,0.89903796,RAF_C1
bank-marketing,2,0.68182099,0.86477780,,0.86431491,F_C10
bank-marketing,2,0.20768166,0.91334331,0.89052707,0.89848500,RAF_C10
bank-marketing,2,0.67831224,0.86139482,,0.86110806,F_C20
bank-marketing,2,0.20367347,0.90823627,0.88149649,0.88875371,RAF_C20
bank-marketing,2,0.67849213,0.85365295,,0.85480481,F_C30
bank-marketing,2,0.20828705,0.91389632,0.89642465,0.90191311,RAF_C30
bank-marketing,2,0.27786031,0.89047557,,0.88963842,F_A20
bank-marketing,2,0.23750946,0.89811981,0.89163285,0.90025437,RAF_A20
bank-marketing,2,0.60443527,0.89021534,,0.89063364,F_A30
bank-marketing,2,0.20895962,0.91532755,0.89697754,0.90091783,RAF_A30
Adult,0,0.31241754,0.85313821,,0.84389168,B0
Adult,1,0.31420445,0.85326827,,0.84256494,B0
Adult,2,0.39219695,0.85544717,,0.84654504,B0
higgs,0,0.51120484,0.74719900,,0.69699132,B0
higgs,1,0.51926470,0.74301440,,0.68118304,B0
higgs,2,0.49952337,0.75925785,,0.69500256,B0
GiveMeSomeCredit,0,0.68960816,0.93051040,,0.93048972,B0
GiveMeSomeCredit,1,0.69109339,0.93051040,,0.93057287,B0
GiveMeSomeCredit,2,0.68991846,0.93076718,,0.93040657,B0
bank-marketing,0,0.69282597,0.88302648,,0.88211876,B0
bank-marketing,1,0.69188398,0.88302648,,0.88278228,B0
bank-marketing,2,0.69196534,0.88302648,,0.88245052,B0
