Dataset,Run,Train Loss,Train Acc,Test Acc,Method
GiveMeSomeCredit,0,0.17886354,0.94040430,0.93040657,F_A10
GiveMeSomeCredit,0,0.18200471,0.93913633,0.93360770,RAF_A10
GiveMeSomeCredit,0,0.17719294,0.94080967,0.93082231,B0
GiveMeSomeCredit,0,0.18424973,0.93983269,0.93273467,RAB0
GiveMeSomeCredit,1,0.18561785,0.93836719,0.93202794,Train
GiveMeSomeCredit,1,0.18444353,0.93776441,0.93190324,F_C1
GiveMeSomeCredit,1,0.18654905,0.93766046,0.93244368,RAF_C1
GiveMeSomeCredit,1,0.23374037,0.93097752,0.92624927,F_C10
GiveMeSomeCredit,1,0.16788213,0.94547629,0.92953354,RAF_C10
GiveMeSomeCredit,1,0.18399662,0.93833601,0.93190324,F_A1
GiveMeSomeCredit,1,0.18563581,0.93785793,0.93194479,RAF_A1
GiveMeSomeCredit,1,0.18930838,0.93628854,0.92920095,F_A10
GiveMeSomeCredit,1,0.16511357,0.94699371,0.92678970,RAF_A10
GiveMeSomeCredit,1,0.18398090,0.93836719,0.93202794,B0
GiveMeSomeCredit,1,0.18561865,0.93798262,0.93177849,RAB0
GiveMeSomeCredit,2,0.18331005,0.93763965,0.93194479,Train
GiveMeSomeCredit,2,0.18425702,0.93762928,0.93202794,F_C1
GiveMeSomeCredit,2,0.19411004,0.93646520,0.93024027,RAF_C1
GiveMeSomeCredit,2,0.18425702,0.93762928,0.93202794,F_A1
GiveMeSomeCredit,2,0.19411004,0.93646520,0.93024027,RAF_A1
GiveMeSomeCredit,2,0.18477210,0.93799305,0.93015712,F_A10
GiveMeSomeCredit,2,0.17690727,0.94142288,0.92890996,RAF_A10
GiveMeSomeCredit,2,0.18422592,0.93763965,0.93198639,B0
GiveMeSomeCredit,2,0.19436266,0.93642366,0.93011558,RAB0
GiveMeSomeCredit,3,0.17529090,0.94247258,0.93182009,Train
GiveMeSomeCredit,3,0.17470793,0.94249338,0.93169534,F_C1
GiveMeSomeCredit,3,0.27221188,0.93665230,0.93302572,RAF_C1
GiveMeSomeCredit,3,0.19560829,0.94117343,0.93015712,F_C10
GiveMeSomeCredit,3,0.17422354,0.94314814,0.93024027,RAF_C10
GiveMeSomeCredit,3,0.17470793,0.94249338,0.93169534,F_A1
