Dataset,Shape,Train Size,Validation Size,Test Size,Hidden Layers,Nodes per Layer,Hidden Sizes,Activation,Learning Rate,Train Accuracy,Train F1 Score,Val Accuracy,Val F1 Score,Test Accuracy,Test F1 Score
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],relu,0.01,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],relu,0.05,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],relu,0.1,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],sigmoid,0.01,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],sigmoid,0.05,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],sigmoid,0.1,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],tanh,0.01,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],tanh,0.05,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,3,[3],tanh,0.1,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,4,[4],relu,0.01,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,4,[4],relu,0.05,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
colleges_usnews.csv,1276x22,823,100,353,1,4,[4],relu,0.1,0.47144592952612396,0.0,0.47,0.0,0.4702549575070821,0.0
