Run,Phase,TrainingType,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
1,Train,AWP,1,3.5905907973190025,22.685363042643104,3.4111681961261886,23.136049192928517
1,Train,AWP,2,3.3674992959192194,27.890895121014214,3.2687161525884654,31.12990007686395
1,Train,AWP,3,3.2649584533246747,30.752977333845564,3.140408943654206,32.28285933897002
1,Train,AWP,4,3.1254240237862057,32.904341144832884,3.0327369956031935,33.43581860107609
1,Train,AWP,5,3.003076925599502,35.17095658855167,2.9205451500956414,37.663335895465025
1,Train,AWP,6,2.793302609876621,38.7245485977718,2.634602565933978,41.58339738662567
1,Train,AWP,7,2.599606832112271,41.625048021513635,2.4622823354558334,44.811683320522675
1,Train,AWP,8,2.4211737956006103,45.10180560891279,2.2980653567097904,48.65488086087625
1,Train,AWP,9,2.2054838593020762,50.0,2.0927493207551806,53.26671790930054
1,Train,AWP,10,1.9833919833774216,54.590856703803304,1.8402318294739193,57.87855495772483
1,Train,AWP,11,1.7895923534785312,58.06761429120246,1.675381288081293,61.49116064565719
1,Train,AWP,12,1.5969713962882575,62.485593545908564,1.5040829751603333,66.3335895465027
1,Train,AWP,13,1.4142853379980918,66.46177487514406,1.3497114342785541,70.40737893927748
1,Train,AWP,14,1.2631687342754903,70.41874759892431,1.185689346044454,73.48193697156034
1,Train,AWP,15,1.1044520984398076,73.85708797541298,1.1017155062685005,75.71099154496541
1,Train,AWP,16,0.9948693104316851,76.62312716096811,1.0814783099428862,77.40199846272098
1,Train,AWP,17,0.8606911923256388,79.8501728774491,1.0195555671831904,79.7847809377402
1,Train,AWP,18,0.7650898098945618,82.59700345754898,0.9148230896281976,80.16910069177555
1,Train,AWP,19,0.6713568842484176,84.63311563580484,0.848666907914504,82.782475019216
1,Train,AWP,20,0.5938531915468672,86.41951594314253,0.8859849948776767,82.32129131437355
1,Train,AWP,21,0.5181443843007819,88.12908182865924,0.9142044277304782,83.858570330515
1,Train,AWP,22,0.46763269182728845,89.74260468689972,0.9263813308712888,84.39661798616449
1,Train,AWP,23,0.40431705958272784,91.1256242796773,0.7618979938574519,84.31975403535742
1,Train,AWP,24,0.36161586706258037,92.12447176334999,0.6329151507435534,86.39508070714835
1,Train,AWP,25,0.31954167636991276,93.29619669611986,0.6392808621613271,87.00999231360493
1,Train,AWP,26,0.2911752264923845,94.04533230887438,5.027802308919703,80.8608762490392
1,Train,AWP,27,0.2985662507590341,93.89166346523243,0.5734706684133807,87.39431206764027
1,Train,AWP,28,0.2553650350567022,94.9289281598156,0.5921347896288579,87.39431206764027
1,Train,AWP,29,0.2996651593115798,93.93008067614291,0.8796463737480462,85.08839354342813
1,Train,AWP,30,0.23471388371627025,95.54360353438341,0.5257999349061935,87.39431206764027
1,Train,AWP,31,0.18620686831832664,96.60007683442183,0.5026050850027438,88.47040737893927
1,Train,AWP,32,0.16039179660882685,96.94583173261621,0.47578438074198437,87.93235972328978
1,Train,AWP,33,0.140337302926585,97.25316941990012,0.46910321373466707,87.3174481168332
1,Train,AWP,34,0.1254814546441008,97.52208989627353,0.4567098560972822,88.08608762490393
1,Train,AWP,35,0.11071411540811779,97.96388782174414,0.45133709057673044,88.93159108378171
