Dataset,Retrain,Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
MNIST,Y,21,./checkpoints/MNIST/Run2_checkpoint_21.pth,0.006664485,99.87916667,0.063764273,98.48333333,0.055747356,0.9855,604.4681342
MNIST,Y,22,./checkpoints/MNIST/Run2_checkpoint_22.pth,0.007157942,99.88333333,0.064436143,98.4,0.056553367,0.9849,604.4763236
MNIST,Y,23,./checkpoints/MNIST/Run2_checkpoint_23.pth,0.009337564,99.81875,0.065060409,98.46666667,0.057775586,0.9852,604.4987109
MNIST,Y,24,./checkpoints/MNIST/Run2_checkpoint_24.pth,0.006324003,99.9,0.065901258,98.50833333,0.05862364,0.985,604.3923571
MNIST,Y,25,./checkpoints/MNIST/Run2_checkpoint_25.pth,0.005695786,99.88333333,0.068709237,98.44166667,0.060750519,0.9852,604.4551539
MNIST,Y,26,./checkpoints/MNIST/Run2_checkpoint_26.pth,0.008260073,99.76666667,0.068074907,98.375,0.061762407,0.9836,604.4408252
MNIST,Y,27,./checkpoints/MNIST/Run2_checkpoint_27.pth,0.015067209,99.59375,0.058049503,98.38333333,0.050956337,0.9847,604.3710184
MNIST,Y,28,./checkpoints/MNIST/Run2_checkpoint_28.pth,0.022887276,99.275,0.055921724,98.40833333,0.045137569,0.9859,604.4655108
MNIST,Y,29,./checkpoints/MNIST/Run2_checkpoint_29.pth,0.028401065,99.1125,0.059370299,98.34166667,0.050969622,0.9844,604.4354293
MNIST,Y,30,./checkpoints/MNIST/Run2_checkpoint_30.pth,0.032572095,98.9625,0.056903295,98.28333333,0.057901212,0.9825,604.5045078
MNIST,Y,Ensemble,,,,,,,98.62,
MNIST,N,-1,./checkpoints/MNIST/Run2_full_checkpoint.pth,0.063198177,98.0875,0.073068193,97.79166667,0.065687956,97.9,-1
MNIST,N,-1,./checkpoints/MNIST/Run2_full_checkpoint.pth,0.063198177,98.0875,0.073068193,97.79166667,0.065687956,97.9,-1
MNIST,N,1,./checkpoints/MNIST/Run2_checkpoint_1.pth,0.069419104,97.90833333,0.080392589,97.54166667,0.071368932,97.81,604.3675556
