N,Layer1_Size,Layer2_Size,Fraction,Solutions,Avg time
25,2,2,10,No,0.5179420709609985
25,2,2,4,No,0.6957813978195191
25,2,2,2,No,0.5586385488510132
25,2,2,1,No,0.6399702548980712
25,3,1,10,No,0.5937407493591309
25,3,1,4,No,0.6805973291397095
25,3,1,2,No,0.622028112411499
25,3,1,1,No,0.6661935091018677
25,3,2,10,No,0.6559133768081665
25,3,2,4,No,0.6830701351165771
25,3,2,2,No,0.5775364398956299
25,3,2,1,No,0.4698530673980713
25,3,3,10,No,0.6876500844955444
25,3,3,4,No,0.41913399696350095
25,3,3,2,No,0.4962190866470337
25,3,3,1,No,0.5771614789962769
25,4,1,10,No,0.5805537939071655
25,4,1,4,No,0.6532643795013428
25,4,1,2,No,0.45954504013061526
25,4,1,1,No,0.6239419937133789
25,4,2,10,No,0.5800241708755494
25,4,2,4,No,0.724410104751587
25,4,2,2,No,0.6292440891265869
25,4,2,1,No,0.6168128252029419
25,4,3,10,No,0.6082883834838867
25,4,3,4,No,0.7603718042373657
25,4,3,2,No,0.5869115114212036
25,4,3,1,No,0.7058577537536621
25,4,4,10,No,0.5789330005645752
25,4,4,4,No,0.7021506547927856
25,4,4,2,No,0.6356210708618164
25,4,4,1,No,0.5989597320556641
30,1,1,10,No,0.6809913873672485
30,1,1,4,No,0.7901822090148926
30,1,1,2,No,0.660594129562378
30,1,1,1,No,0.7747732400894165
30,2,1,10,No,0.6524404048919678
30,2,1,4,No,0.6555858135223389
30,2,1,2,No,0.6808720827102661
30,2,1,1,No,0.7103130102157593
30,2,2,10,No,0.8126693487167358
30,2,2,4,No,0.7408518552780151
30,2,2,2,No,0.697641110420227
30,2,2,1,No,0.7797388792037964
30,3,1,10,No,0.7171234846115112
30,3,1,4,No,0.8097742795944214
30,3,1,2,No,0.6768075942993164
30,3,1,1,No,0.829791784286499
30,3,2,10,No,0.674049711227417
30,3,2,4,No,0.750679874420166
30,3,2,2,No,0.8130042552947998
30,3,2,1,No,0.7341078042984008
30,3,3,10,No,0.8017607450485229
30,3,3,4,No,0.7283187627792358
30,3,3,2,No,0.7190478801727295
30,3,3,1,No,0.7462341547012329
30,4,1,10,No,0.7618140459060669
30,4,1,4,No,0.9041274070739747
30,4,1,2,No,0.7125858783721923
30,4,1,1,No,0.7662325859069824
30,4,2,10,No,0.6798938751220703
30,4,2,4,No,0.7658821821212769
30,4,2,2,No,0.7728799819946289
30,4,2,1,No,0.7038321733474732
30,4,3,10,No,0.653964614868164
30,4,3,4,No,0.7995689630508422
30,4,3,2,No,0.725410771369934
30,4,3,1,No,0.9208518505096436
30,4,4,10,No,0.678829550743103
30,4,4,4,No,0.6773153066635131
30,4,4,2,No,0.7281262159347535
30,4,4,1,No,0.7569013118743897
