Phase,Epoch,Loss,Accuracy
Train,1,1.2164,57.70
Train,2,0.4861,84.92
Train,3,0.4353,86.68
Train,4,0.4220,87.04
Train,5,0.4072,87.39
Train,6,0.4017,87.71
Train,7,0.3942,88.04
Train,8,0.3984,87.68
Train,9,0.3927,88.03
Train,10,0.3934,87.92
Train,11,0.3900,88.01
Train,12,0.3901,88.08
Train,13,0.3909,87.95
Train,14,0.3884,87.98
Train,15,0.3901,88.10
Train,16,0.3856,88.15
Train,17,0.3863,88.14
Train,18,0.3854,88.08
Train,19,0.3815,88.26
Train,20,0.3827,88.16
Train,21,0.3865,88.09
Train,22,0.3811,88.26
Train,23,0.3822,88.26
Train,24,0.3773,88.40
Train,25,0.3791,88.51
Train,26,0.3751,88.60
Train,27,0.3751,88.59
Train,28,0.3742,88.63
Train,29,0.3713,88.66
Train,30,0.3712,88.83
Train,31,0.3701,88.68
Train,32,0.3694,88.70
Train,33,0.3620,89.05
Train,34,0.3619,89.11
Train,35,0.3593,89.11
Train,36,0.3564,89.24
Train,37,0.3585,89.05
Train,38,0.3506,89.38
Train,39,0.3531,89.27
Train,40,0.3528,89.37
Train,41,0.3465,89.58
Train,42,0.3519,89.39
Train,43,0.3506,89.38
Train,44,0.3509,89.42
Train,45,0.3469,89.54
Train,46,0.3429,89.69
Train,47,0.3464,89.61
Train,48,0.3455,89.54
Train,49,0.3482,89.50
Train,50,0.3431,89.71
Train,51,0.3437,89.64
Train,52,0.3411,89.78
Train,53,0.3394,89.79
Train,54,0.3427,89.63
Train,55,0.3388,89.73
Train,56,0.3388,89.74
Train,57,0.3374,89.77
Train,58,0.3390,89.74
Train,59,0.3366,89.80
Train,60,0.3351,90.02
Train,61,0.3394,89.73
Train,62,0.3359,89.94
Train,63,0.3341,89.87
Train,64,0.3316,90.06
Train,65,0.3356,89.87
Train,66,0.3351,89.89
Train,67,0.3297,90.02
Train,68,0.3313,90.03
Train,69,0.3300,90.06
Train,70,0.3264,90.23
Train,71,0.3275,90.17
Train,72,0.3280,90.00
Train,73,0.3258,90.20
Train,74,0.3270,90.11
Train,75,0.3255,90.22
Train,76,0.3240,90.20
Train,77,0.3240,90.21
Train,78,0.3220,90.30
Train,79,0.3198,90.34
Train,80,0.3198,90.41
Train,81,0.3190,90.47
Train,82,0.3205,90.36
Train,83,0.3154,90.60
Train,84,0.3121,90.60
Train,85,0.3166,90.48
Train,86,0.3140,90.62
Train,87,0.3106,90.63
Train,88,0.3114,90.59
Train,89,0.3082,90.82
Train,90,0.3130,90.64
Train,91,0.3119,90.62
Train,92,0.3056,90.91
Train,93,0.3037,90.99
Train,94,0.3073,90.74
Train,95,0.3024,90.99
Train,96,0.3038,90.89
Train,97,0.3021,90.97
Train,98,0.2996,91.14
Train,99,0.2998,91.06
Train,100,0.2991,91.02
Train,101,0.2965,91.07
Train,102,0.2943,91.17
Train,103,0.2948,91.21
Train,104,0.2944,91.12
Train,105,0.2896,91.44
Train,106,0.2929,91.25
Train,107,0.2884,91.37
Train,108,0.2873,91.37
Train,109,0.2868,91.43
Train,110,0.2867,91.51
Train,111,0.2864,91.51
Train,112,0.2815,91.67
Train,113,0.2821,91.63
Train,114,0.2780,91.71
Train,115,0.2795,91.62
Train,116,0.2752,91.84
Train,117,0.2763,91.75
Train,118,0.2764,91.77
Train,119,0.2750,91.80
Train,120,0.2698,91.99
Train,121,0.2681,91.98
Train,122,0.2679,92.07
Train,123,0.2675,91.96
Train,124,0.2655,92.29
Train,125,0.2666,92.09
Train,126,0.2622,92.23
Train,127,0.2618,92.34
Train,128,0.2604,92.28
Train,129,0.2582,92.41
Train,130,0.2592,92.36
Train,131,0.2557,92.53
Train,132,0.2556,92.50
Train,133,0.2534,92.56
Train,134,0.2490,92.78
Train,135,0.2515,92.62
Train,136,0.2471,92.72
Train,137,0.2474,92.74
Train,138,0.2426,92.88
Train,139,0.2431,92.88
Train,140,0.2420,92.92
Train,141,0.2416,92.90
Train,142,0.2392,92.93
Train,143,0.2363,93.14
Train,144,0.2347,93.07
Train,145,0.2348,93.07
Train,146,0.2315,93.21
Train,147,0.2314,93.25
Train,148,0.2274,93.35
Train,149,0.2276,93.40
Train,150,0.2237,93.49
Train,151,0.2235,93.53
Train,152,0.2217,93.61
Train,153,0.2179,93.73
Train,154,0.2171,93.70
Train,155,0.2166,93.74
Train,156,0.2145,93.81
Train,157,0.2135,93.83
Train,158,0.2103,93.92
Train,159,0.2073,94.02
Train,160,0.2068,94.04
Train,161,0.2041,94.07
Train,162,0.2029,94.21
Train,163,0.2002,94.27
Train,164,0.1992,94.29
Train,165,0.1974,94.36
Train,166,0.1933,94.55
Train,167,0.1924,94.49
Train,168,0.1882,94.64
Train,169,0.1876,94.67
Train,170,0.1855,94.72
Train,171,0.1814,94.76
Train,172,0.1813,94.85
Train,173,0.1775,94.94
Train,174,0.1732,95.17
Train,175,0.1725,95.10
Train,176,0.1693,95.24
Train,177,0.1662,95.35
Train,178,0.1638,95.41
Train,179,0.1608,95.56
