Phase,Epoch,Loss,Accuracy
Train,1,1.4759,55.72
Train,2,0.3417,89.18
Train,3,0.2476,91.92
Train,4,0.2034,93.19
Train,5,0.1772,93.93
Train,6,0.1552,94.59
Train,7,0.1406,94.96
Train,8,0.1270,95.35
Train,9,0.1157,95.74
Train,10,0.1044,96.06
Train,11,0.0939,96.38
Train,12,0.0871,96.56
Train,13,0.0803,96.79
Train,14,0.0729,97.00
Train,15,0.0709,97.08
Train,16,0.0664,97.21
Train,17,0.0620,97.37
Train,18,0.0588,97.49
Train,19,0.0570,97.57
Train,20,0.0562,97.61
Train,21,0.0513,97.78
Train,22,0.0503,97.83
Train,23,0.0462,98.00
Train,24,0.0448,98.08
Train,25,0.0483,97.97
Train,26,0.0446,98.07
Train,27,0.0425,98.17
Train,28,0.0404,98.25
Train,29,0.0394,98.28
Train,30,0.0382,98.37
Train,31,0.0369,98.38
Train,32,0.0378,98.37
Train,33,0.0360,98.48
Train,34,0.0324,98.62
Train,35,0.0325,98.65
Train,36,0.0339,98.60
Train,37,0.0305,98.71
Train,38,0.0320,98.69
Train,39,0.0349,98.61
Train,40,0.0265,98.92
Train,41,0.0281,98.86
Train,42,0.0279,98.89
Train,43,0.0266,99.00
Train,44,0.0232,99.09
Train,45,0.0252,99.02
Train,46,0.0242,99.05
Train,47,0.0214,99.17
Train,48,0.0201,99.22
Train,49,0.0223,99.15
Train,50,0.0204,99.23
Train,51,0.0199,99.25
Train,52,0.0190,99.33
Train,53,0.0174,99.33
Train,54,0.0188,99.29
Train,55,0.0183,99.35
Train,56,0.0175,99.38
Train,57,0.0177,99.40
Train,58,0.0158,99.44
Train,59,0.0140,99.50
Train,60,0.0112,99.60
Train,61,0.0160,99.45
Train,62,0.0100,99.64
Train,63,0.0105,99.63
Train,64,0.0165,99.43
Train,65,0.0067,99.78
Train,66,0.0140,99.55
Train,67,0.0123,99.61
Train,68,0.0110,99.64
Train,69,0.0083,99.72
Train,70,0.0092,99.70
Train,71,0.0088,99.68
Train,72,0.0107,99.65
Train,73,0.0067,99.79
Train,74,0.0090,99.72
Train,75,0.0103,99.68
Train_Test,-1,280.91615986084264,92.69
