Phase,Epoch,Loss,Accuracy
Train,1,0.4368,85.23
Train,2,0.1525,95.42
Train,3,0.1287,96.05
Train,4,0.1234,96.29
Train,5,0.1126,96.57
Train,6,0.1076,96.74
Train,7,0.1032,96.78
Train,8,0.1015,96.95
Train,9,0.0977,97.04
Train,10,0.0974,97.02
Train,11,0.0961,97.06
Train,12,0.0949,97.11
Train,13,0.0937,97.13
Train,14,0.0911,97.22
Train,15,0.0935,97.20
Train,16,0.0899,97.22
Train,17,0.0886,97.27
Train,18,0.0883,97.36
Train,19,0.0898,97.24
Train,20,0.0866,97.39
Train,21,0.0903,97.27
Train,22,0.0848,97.41
Train,23,0.0825,97.45
Train,24,0.0844,97.42
Train,25,0.0839,97.46
Train,26,0.0838,97.42
Train,27,0.0833,97.53
Train,28,0.0849,97.46
Train,29,0.0817,97.53
Train,30,0.0809,97.53
Train,31,0.0819,97.48
Train,32,0.0847,97.44
Train,33,0.0819,97.46
Train,34,0.0798,97.58
Train,35,0.0823,97.53
Train,36,0.0820,97.55
Train,37,0.0825,97.53
Train,38,0.0787,97.56
Train,39,0.0775,97.59
Train,40,0.0803,97.58
Train,41,0.0789,97.64
Train,42,0.0810,97.56
Train,43,0.0792,97.54
Train,44,0.0782,97.57
Train,45,0.0796,97.57
Train,46,0.0783,97.62
Train,47,0.0776,97.62
Train,48,0.0782,97.67
Train,49,0.0760,97.69
Train,50,0.0768,97.70
Train,51,0.0763,97.69
Train,52,0.0772,97.66
Train,53,0.0778,97.67
Train,54,0.0747,97.76
Train,55,0.0754,97.72
Train,56,0.0747,97.78
Train,57,0.0735,97.81
Train,58,0.0745,97.75
Train,59,0.0725,97.81
Train,60,0.0742,97.71
Train,61,0.0723,97.73
Train,62,0.0705,97.88
Train,63,0.0707,97.85
Train,64,0.0715,97.91
Train,65,0.0706,97.83
Train,66,0.0711,97.89
Train,67,0.0704,97.85
Train,68,0.0689,97.94
Train,69,0.0697,97.81
Train,70,0.0691,97.90
Train,71,0.0666,97.95
Train,72,0.0677,97.90
Train,73,0.0681,97.89
Train,74,0.0661,97.98
Train,75,0.0637,98.07
Train,76,0.0647,97.99
Train,77,0.0653,97.98
Train,78,0.0653,98.02
Train,79,0.0654,98.03
Train,80,0.0626,98.05
Train,81,0.0635,98.04
Train,82,0.0642,98.04
Train,83,0.0639,97.95
Train,84,0.0617,98.11
Train,85,0.0612,98.07
Train,86,0.0583,98.17
Train,87,0.0587,98.17
Train,88,0.0624,98.06
Train,89,0.0597,98.10
Train,90,0.0579,98.16
Train,91,0.0576,98.20
Train,92,0.0587,98.14
Train,93,0.0570,98.27
Train,94,0.0566,98.25
Train,95,0.0569,98.25
Train,96,0.0567,98.24
Train,97,0.0555,98.23
Train,98,0.0556,98.27
Train,99,0.0554,98.29
Train,100,0.0534,98.31
Train,101,0.0531,98.32
Train,102,0.0524,98.42
Train,103,0.0522,98.33
Train,104,0.0528,98.37
Train,105,0.0518,98.40
Train,106,0.0526,98.35
Train,107,0.0502,98.41
Train,108,0.0507,98.39
Train,109,0.0503,98.43
Train,110,0.0486,98.51
Train,111,0.0479,98.51
Train,112,0.0495,98.47
Train,113,0.0476,98.48
Train,114,0.0472,98.48
Train,115,0.0457,98.52
Train,116,0.0464,98.51
Train,117,0.0471,98.52
Train,118,0.0443,98.60
Train,119,0.0456,98.61
Train,120,0.0427,98.65
Train,121,0.0425,98.60
Train,122,0.0426,98.66
Train,123,0.0429,98.67
Train,124,0.0408,98.70
Train,125,0.0406,98.72
Train,126,0.0396,98.72
Train,127,0.0382,98.75
Train,128,0.0385,98.76
Train,129,0.0369,98.84
Train,130,0.0374,98.81
Train,131,0.0369,98.79
Train,132,0.0358,98.88
Train,133,0.0350,98.88
Train,134,0.0342,98.94
Train,135,0.0330,98.92
Train,136,0.0329,98.94
Train,137,0.0312,99.00
Train,138,0.0304,99.05
Train,139,0.0316,98.97
Train,140,0.0304,98.97
Train,141,0.0297,99.03
Train,142,0.0275,99.13
Train,143,0.0291,99.03
Train,144,0.0270,99.11
Train,145,0.0260,99.19
Train,146,0.0260,99.15
Train,147,0.0243,99.22
Train,148,0.0246,99.18
Train,149,0.0241,99.20
Train,150,0.0223,99.25
Train,151,0.0223,99.26
Train,152,0.0217,99.29
Train,153,0.0199,99.35
Train,154,0.0199,99.34
Train,155,0.0202,99.35
Train,156,0.0175,99.41
Train,157,0.0175,99.43
Train,158,0.0174,99.40
Train,159,0.0157,99.49
Train,160,0.0152,99.53
Train,161,0.0149,99.52
Train,162,0.0141,99.56
Train,163,0.0138,99.55
Train,164,0.0126,99.62
Train,165,0.0120,99.63
Train,166,0.0110,99.64
Train,167,0.0102,99.71
Train,168,0.0106,99.69
Train,169,0.0100,99.70
Train,170,0.0087,99.75
Train,171,0.0079,99.78
Train,172,0.0078,99.80
Train,173,0.0071,99.81
Train,174,0.0065,99.84
Train,175,0.0066,99.83
Train,176,0.0058,99.86
Train,177,0.0053,99.89
Train,178,0.0051,99.90
Train,179,0.0048,99.91
Train,180,0.0044,99.93
Train,181,0.0041,99.93
Train,182,0.0039,99.94
Train,183,0.0037,99.95
Train,184,0.0037,99.94
Train,185,0.0033,99.97
Train,186,0.0032,99.97
Train,187,0.0031,99.97
Train,188,0.0029,99.97
Train,189,0.0028,99.97
Train,190,0.0027,99.98
Train,191,0.0027,99.98
Train,192,0.0026,99.98
Train,193,0.0025,99.98
Train,194,0.0025,99.98
Train,195,0.0024,99.98
Train,196,0.0024,99.99
Train,197,0.0023,99.98
Train,198,0.0023,99.98
Train,199,0.0023,99.99
Train,200,0.0023,99.99
Train_Test,-1,8.79199761251482,98.59
ResumeTrain,201,0.0023,99.99
ResumeTrain,202,0.0023,99.99
ResumeTrain,203,0.0023,99.98
ResumeTrain,204,0.0023,99.98
ResumeTrain,205,0.0024,99.98
ResumeTrain,206,0.0024,99.98
ResumeTrain,207,0.0024,99.98
ResumeTrain,208,0.0025,99.98
ResumeTrain,209,0.0025,99.98
ResumeTrain,210,0.0026,99.98
ResumeTrain,211,0.0027,99.98
ResumeTrain_Test,-1,8.87137320292561,98.55
GurobiEdit,1,2.3016,99.99
GurobiEdit,2,2.2834,84.16
GurobiEdit,3,2.1827,81.10
GurobiEdit,4,1.6668,83.94
