Phase,Epoch,Loss,Accuracy
Train,1,1.5476,42.29
Train,2,1.1548,58.63
Train,3,1.0519,62.82
Train,4,0.9835,65.02
Train,5,0.9501,66.32
Train,6,0.9163,67.96
Train,7,0.8971,68.60
Train,8,0.8703,69.70
Train,9,0.8599,69.93
Train,10,0.8496,70.24
Train,11,0.8375,70.64
Train,12,0.8252,71.22
Train,13,0.8177,71.46
Train,14,0.8118,71.65
Train,15,0.8091,71.47
Train,16,0.8015,72.11
Train,17,0.8022,71.77
Train,18,0.7960,72.19
Train,19,0.7984,72.03
Train,20,0.7969,72.14
Train,21,0.7915,72.20
Train,22,0.7876,72.53
Train,23,0.7803,72.69
Train,24,0.7765,72.91
Train,25,0.7776,72.79
Train,26,0.7761,72.72
Train,27,0.7713,73.22
Train,28,0.7654,73.30
Train,29,0.7676,73.30
Train,30,0.7598,73.46
Train,31,0.7619,73.51
Train,32,0.7592,73.46
Train,33,0.7634,73.37
Train,34,0.7586,73.63
Train,35,0.7566,73.79
Train,36,0.7505,73.84
Train,37,0.7563,73.66
Train,38,0.7497,73.86
Train,39,0.7493,73.89
Train,40,0.7511,73.74
Train,41,0.7469,73.78
Train,42,0.7453,74.22
Train,43,0.7485,73.97
Train,44,0.7432,73.97
Train,45,0.7475,74.06
Train,46,0.7381,74.26
Train,47,0.7382,74.42
Train,48,0.7385,74.27
Train,49,0.7341,74.39
Train,50,0.7302,74.41
Train,51,0.7334,74.37
Train,52,0.7314,74.66
Train,53,0.7298,74.77
Train,54,0.7269,74.78
Train,55,0.7336,74.55
Train,56,0.7255,74.85
Train,57,0.7245,74.76
Train,58,0.7220,74.73
Train,59,0.7188,75.11
Train,60,0.7152,75.30
Train,61,0.7203,74.76
Train,62,0.7151,75.16
Train,63,0.7121,75.23
Train,64,0.7084,75.49
Train,65,0.7098,75.42
Train,66,0.7060,75.56
Train,67,0.7067,75.48
Train,68,0.7017,75.63
Train,69,0.7055,75.42
Train,70,0.6966,76.04
Train,71,0.6934,75.81
Train,72,0.6934,75.94
Train,73,0.6899,76.05
Train,74,0.6878,76.00
Train,75,0.6858,76.06
Train,76,0.6844,76.21
Train,77,0.6788,76.42
Train,78,0.6851,76.23
Train,79,0.6791,76.35
Train,80,0.6729,76.47
