Dataset,Run,Training_Type,Method,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,1,AWP,S,0.19079128456115724,95.075,0.28379761366844175,90.76,0.28622518212795256,90.79
CIFAR10,2,AWP,S,0.2004124198913574,94.4575,0.3071590792655945,89.79,0.2952838471412659,90.39
CIFAR10,3,AWP,S,0.19557505993843077,94.6925,0.27694338679313657,91.29,0.28892590618133546,90.8
office31,1,AWP,S,0.06665652735790013,99.00166389351081,0.8646092091831896,77.33333333333333,0.8666930361708781,78.86323268206039
office31,2,AWP,S,0.1897737035652828,97.06045479755963,0.9451805485619439,74.0,0.9216702605860695,76.02131438721136
office31,3,AWP,S,0.014692634668488405,99.55629506378258,0.9437932311164008,75.77777777777777,0.8026241752224748,79.57371225577265
MNIST,1,AWP,S,0.03287010465810696,99.39583333333333,0.1008397366007169,97.38333333333334,0.08500731347352267,97.83
MNIST,4,AWP,S,0.009939833931004007,99.7875,0.06499670907358328,98.425,0.05361702398867346,98.54
MNIST,3,AWP,S,0.0074421437609319884,99.84166666666667,0.03903200038770835,98.9,0.03371077474821359,98.95
FashionMNIST,1,AWP,S,0.06312101040283839,98.40416666666667,0.16103126027186712,94.01666666666667,0.1745237071275711,93.81
FashionMNIST,2,AWP,S,0.056445075114568075,98.65833333333333,0.16245672537883124,94.075,0.17076196205615998,93.95
FashionMNIST,3,AWP,S,0.07561075987915199,97.87708333333333,0.1600973573923111,94.35,0.17472312009036542,93.78
CIFAR10,1,AWP,S,0.19054289262294768,94.9475,0.28032764153480527,90.8,0.28260244088172914,90.92
CIFAR10,2,AWP,S,0.20077326381206512,94.365,0.3068249433517456,90.09,0.296303581571579,90.62
CIFAR10,2,AWP,S,0.20219874408245087,94.3575,0.30551480436325074,89.74,0.29816706433296203,90.39
CIFAR10,3,AWP,S,0.19563157956600188,94.81,0.2725240980148315,91.53,0.2891761274814606,90.6
CIFAR10,1,AWP,S,0.1923105107307434,94.905,0.27844509932994843,91.05,0.2909605001926422,90.55
CIFAR10,2,AWP,S,0.20036549842357634,94.3625,0.3071307162284851,89.92,0.29681858637332914,90.39
CIFAR10,3,AWP,S,0.1955883912563324,94.64,0.2753602556705475,91.59,0.28749192690849307,90.87
CIFAR10,1,AWP,S,0.19229365632534026,94.8225,0.28258986873626707,90.55,0.28662330203056335,90.86
CIFAR10,2,AWP,S,0.20159131050109863,94.35,0.30559396362304686,89.96,0.2957927740454674,90.63
CIFAR10,3,AWP,S,0.19722442326545717,94.6425,0.27508326153755186,91.46,0.2843032504558563,91.15
CIFAR10,1,AWP,S,0.19106778626441956,94.9825,0.2811064107656479,90.88,0.2834519811153412,90.79
CIFAR10,2,AWP,S,0.20043776745796205,94.37,0.30956860675811765,89.86,0.2960304556250572,90.87
CIFAR10,3,AWP,S,0.1968775217294693,94.6475,0.2774884438514709,91.14,0.29048779969215394,90.69
