Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
office31,MisCls_Correct,2,0,4.831284865,0,4.831284865,1000,1,99.38990571,74.44444444,6
office31,MisCls_Correct,3,0,1.0140741737021766,0.0,1.0140741737021766,1000,1,99.94453688297283,74.22222222222223,1
SVHN,MisCls_Correct,1,0,0.163576159,0,0.163576159,1000,1,97.06168416,93.71373968,45
SVHN,MisCls_Correct,2,0,0,0.105090469,0.105090469,1000,1,95.63689105,93.51580097,42
SVHN,MisCls_Correct,3,0,0.093486471,0,0.093486471,1000,1,96.51053664,94.02771142,10
USPS,MisCls_Correct,1,0,1.486405585,0,1.486405585,1000,1,99.96570645,98.90260631,1
USPS,MisCls_Correct,2,0,1.824684601,0,1.824684601,1000,1,99.48559671,98.55967078,18
USPS,MisCls_Correct,3,0,1.19427625,0,1.19427625,1000,1,99.89711934,99.31412894,5
CIFAR10,MisCls_Any,1,0,0.907728173152323,0.01520725396742168,0.9229354268082962,1000,10,89.72,86.1,308
CIFAR10,MisCls_Any,2,0,2.1517314164632415,0.38173808208671467,2.5334694977965504,1000,10,90.1675,85.84,496
CIFAR10,MisCls_Any,3,0,1.175131449494005,0.26201559548908904,1.4371470442515721,1000,10,90.03,86.53,182
MNIST,MisCls_Any,2,0,0.050407497638168715,0.0,0.050407475031463395,1000,10,99.01041666666667,98.30833333333334,199
MNIST,MisCls_Any,3,0,0.08874774799966277,0.0,0.08874774799966277,1000,10,98.65833333333333,97.50833333333333,401
MNIST,MisCls_Any,4,0,0.04015772844147649,0.0,0.04015772844147649,1000,10,98.74374999999999,97.625,243
Caltech101,MisCls_Any,1,0,46.63960549697764,0.0,46.63960549687633,1000,10,98.42489435267,85.54957724827055,79
Caltech101,MisCls_Any,2,0,3.900362439483767,0.0,3.900362439483767,1000,10,99.00115251632732,87.93235972328978,48
Caltech101,MisCls_Any,3,0,13.506335629929595,0.0,13.506335629929602,1000,10,97.08029197080292,86.5488086087625,131
USPS,MisCls_Any,1,0,2.085888678447952,0.0,2.0858886779779153,1000,10,98.73113854595336,96.98216735253772,73
USPS,MisCls_Any,2,0,1.400110413554663,0.0,1.400110413554663,1000,10,98.64540466392319,96.91358024691358,67
USPS,MisCls_Any,3,0,1.431226653356169,0.0,1.431226653356169,1000,10,98.81687242798354,98.35390946502058,70
office31,MisCls_Any,1,0,3.004880294177326,0.0,3.004880294177326,1000,9,98.50249584026622,76.22222222222223,17
office31,MisCls_Any,2,0,2.901535666303855,0.0,2.901535666303856,1000,10,98.72434830837493,73.33333333333333,16
office31,MisCls_Any,3,0,9.398662161033354,0.0,9.398662161033359,1000,10,99.00166389351082,74.0,18
SVHN,MisCls_Any,1,0,0.4744754253380369,1.0629670211597513,1.5374424454493762,1000,10,96.75624946676905,93.44754624257729,408
