Dataset,Run,Training_Type,Method,CMC_Type,Misclassification_Count,Gurobi_Samples,Stage,Checkpoint,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,2,AWP,CMC,Correct,1,100,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N100/Run2_full_checkpoint.pth,0.1991152815103531,94.5625,0.30819834899902343,89.78,0.2957224534392357,90.75
CIFAR10,2,AWP,CMC,Correct,1,100,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N100/Run2_full_checkpoint_Resume.pth,0.18307308793067933,95.305,0.2911467158317566,90.49,0.2824584136009216,90.93
CIFAR10,3,AWP,CMC,Correct,1,100,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.1955883912563324,94.64,0.2753602556705475,91.59,0.28749192690849307,90.87
CIFAR10,3,AWP,CMC,Correct,1,100,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.03822087268829346,99.4025,0.150328268802166,95.15,0.1512305589199066,94.86
CIFAR10,3,AWP,CMC,Correct,1,100,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N100/Run3_full_checkpoint.pth,0.19664716062545776,94.675,0.2739629150390625,91.6,0.2885450989484787,90.88
CIFAR10,3,AWP,CMC,Correct,1,100,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N100/Run3_full_checkpoint_Resume.pth,0.1859163314461708,94.5775,0.2774522932052612,90.96,0.28033982586860656,90.82
CIFAR10,1,AWP,CMC,Any,1,100,Model_init,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint.pth,0.19229365632534026,94.8225,0.28258986873626707,90.55,0.28662330203056335,90.86
CIFAR10,1,AWP,CMC,Any,1,100,Model_init_50,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint_50.pth,0.03473038518726826,99.4225,0.1497331793501973,94.84,0.14887453571558,95.05
CIFAR10,1,AWP,CMC,Any,1,100,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N100/Run1_full_checkpoint.pth,0.1916974126458168,94.8575,0.2784705108165741,91.08,0.284777996635437,90.62
CIFAR10,1,AWP,CMC,Any,1,100,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N100/Run1_full_checkpoint_Resume.pth,0.1763540360569954,95.2825,0.2737263609647751,91.29,0.2755307503461838,91.11
CIFAR10,2,AWP,CMC,Any,1,100,Model_init,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint.pth,0.20159131050109863,94.35,0.30559396362304686,89.96,0.2957927740454674,90.63
CIFAR10,2,AWP,CMC,Any,1,100,Model_init_50,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint_50.pth,0.037838656556606294,99.3475,0.16612305960655213,94.42,0.15659594943523408,94.7
