RunID,Candidate,W2_offset_sum,b2_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,GlobalMisclassified
1,0,86.3217950918973,0.9549766981896337,87.27677179008691,1000,10,85.67,5578
1,1,87.57245226602694,1.1038814368200427,88.67633370284699,1000,10,84.7,5964
1,2,79.79166459033218,0.9476586318786869,80.73932322221087,1000,10,85.7625,5565
1,3,18.280365481760104,1.234966642268299,19.515332124028408,1000,10,95.03,1738
1,4,54.5436249446952,0.3737093744281661,54.91733431912337,1000,10,91.53,3178
1,5,79.22719353423122,0.800380862417175,80.02757439664839,1000,10,86.0625,5427
1,6,14.059467829436251,0.07202713608570122,14.131494965521952,1000,10,95.905,1219
1,7,19.155997922310902,1.197749889550039,20.353747811860913,1000,10,95.785,1347
1,8,17.82874914984417,0.5844924064874076,18.413241556331577,1000,10,96.0375,1255
1,9,72.04643467185318,2.187340749892522,74.23377542174569,1000,10,88.5025,4456
1,10,27.86319886657583,0.12326978274262501,27.986468649318482,1000,10,94.8725,1772
1,11,78.04101415708104,0.6536159261244058,78.69463008320544,1000,10,87.63,4783
1,12,78.18835896846946,1.2237779886137268,79.41213695708318,1000,10,85.4475,5696
1,13,80.43849292767659,0.7696361168893089,81.2081290445659,1000,10,86.58500000000001,5230
1,14,78.25047870763444,3.2274198250710535,81.4778985327055,1000,10,87.18,5001
1,15,71.95248748149879,1.3090371161499734,73.26152459764877,1000,10,88.53999999999999,4453
1,16,33.43680267271505,1.7144489111517345,35.15125158386678,1000,10,93.00500000000001,2584
1,17,62.70239163474947,1.4927755697220133,64.19516720447149,1000,10,88.55499999999999,4421
1,18,76.9879935979795,0.8216900155113258,77.80968361349083,1000,10,86.6725,5220
1,19,75.26382465101582,1.6211360201029728,76.8849606711188,1000,10,88.21,4569
