Phase,Epoch,Loss,Accuracy
Train,1,0.0092,99.81
Train,2,0.0000,100.00
Train,3,0.0000,100.00
Train,4,0.0000,100.00
Train,5,0.0000,100.00
Train,6,0.0000,100.00
Train,7,0.0000,100.00
Train,8,0.0000,100.00
Train,9,0.0000,100.00
Train,10,0.0000,100.00
Train,11,0.0000,100.00
Train,12,0.0000,100.00
Train_Test,-1,0.010041294252005173,100.00
GurobiEdit,1,0.0044,100.00
GurobiEdit,2,0.0000,100.00
GurobiEdit,3,0.0000,100.00
GurobiEdit,4,0.0000,100.00
GurobiEdit,5,0.0000,100.00
GurobiEdit,6,0.0000,100.00
GurobiEdit,7,0.0000,100.00
GurobiEdit,8,0.0000,100.00
GurobiEdit,9,0.0000,100.00
GurobiEdit,10,0.0000,100.00
GurobiEdit,11,0.0000,100.00
GurobiEdit,12,0.0000,100.00
GurobiEdit_Test,-1,0.010041294252005173,100.00
