Phase,Epoch,Loss,Accuracy
Train,1,3.2588,3.75
Train,2,1.7237,48.66
Train,3,0.4185,86.74
Train,4,0.2840,90.81
Train,5,0.2326,92.32
Train,6,0.2027,93.21
Train,7,0.1839,93.72
Train,8,0.1684,94.16
Train,9,0.1563,94.49
Train,10,0.1432,94.94
Train,11,0.1331,95.20
Train,12,0.1235,95.48
Train,13,0.1151,95.71
Train,14,0.1064,96.00
Train,15,0.0994,96.16
Train,16,0.0932,96.31
Train,17,0.0875,96.54
Train,18,0.0812,96.76
Train,19,0.0762,96.91
Train,20,0.0736,96.94
Train,21,0.0704,97.14
Train,22,0.0683,97.13
Train,23,0.0654,97.26
Train,24,0.0642,97.31
Train,25,0.0603,97.48
Train,26,0.0605,97.45
Train,27,0.0564,97.61
Train,28,0.0570,97.54
Train,29,0.0550,97.64
Train,30,0.0523,97.74
Train,31,0.0521,97.75
Train,32,0.0495,97.87
Train,33,0.0484,97.95
Train,34,0.0505,97.83
Train,35,0.0458,98.02
Train,36,0.0465,98.01
Train,37,0.0447,98.05
Train,38,0.0483,97.93
Train,39,0.0459,98.01
Train,40,0.0469,97.99
Train,41,0.0425,98.22
Train,42,0.0407,98.23
Train,43,0.0407,98.24
Train,44,0.0380,98.39
Train,45,0.0370,98.40
Train,46,0.0382,98.37
Train,47,0.0385,98.36
Train,48,0.0418,98.28
Train,49,0.0362,98.44
Train,50,0.0356,98.50
Train,51,0.0370,98.43
Train,52,0.0337,98.56
Train,53,0.0338,98.57
Train,54,0.0341,98.56
Train,55,0.0349,98.56
Train,56,0.0349,98.56
Train,57,0.0367,98.48
Train,58,0.0321,98.66
Train,59,0.0294,98.78
Train,60,0.0340,98.62
Train,61,0.0323,98.68
Train,62,0.0288,98.82
Train,63,0.0304,98.73
Train,64,0.0323,98.74
Train,65,0.0289,98.82
Train,66,0.0294,98.83
Train,67,0.0284,98.83
Train,68,0.0336,98.70
Train,69,0.0251,99.01
Train,70,0.0290,98.85
Train,71,0.0317,98.82
Train,72,0.0251,98.95
Train,73,0.0278,98.90
Train,74,0.0243,99.02
Train,75,0.0249,99.01
Train,76,0.0245,99.05
Train,77,0.0272,98.95
Train,78,0.0259,99.01
Train,79,0.0222,99.14
Train,80,0.0237,99.09
Train,81,0.0337,98.78
Train,82,0.0231,99.10
Train,83,0.0228,99.12
Train,84,0.0254,99.01
Train,85,0.0188,99.24
Train,86,0.0188,99.26
Train,87,0.0259,99.04
Train,88,0.0242,99.11
Train,89,0.0209,99.23
Train,90,0.0203,99.24
Train,91,0.0157,99.39
Train,92,0.0179,99.33
Train,93,0.0194,99.31
Train,94,0.0212,99.23
Train,95,0.0224,99.20
Train,96,0.0177,99.36
Train,97,0.0236,99.18
Train,98,0.0184,99.33
Train,99,0.0141,99.48
Train,100,0.0151,99.45
Train,101,0.0155,99.45
Train,102,0.0189,99.35
Train,103,0.0159,99.46
Train,104,0.0157,99.44
Train,105,0.0152,99.49
Train,106,0.0132,99.55
Train,107,0.0147,99.46
Train,108,0.0172,99.43
Train,109,0.0220,99.27
Train,110,0.0136,99.50
Train,111,0.0075,99.73
Train,112,0.0068,99.77
Train,113,0.0075,99.74
Train,114,0.0154,99.52
Train,115,0.0175,99.39
Train,116,0.0074,99.74
Train,117,0.0073,99.75
Train,118,0.0102,99.66
Train,119,0.0190,99.42
Train,120,0.0130,99.58
Train,121,0.0127,99.60
Train,122,0.0090,99.68
Train,123,0.0082,99.73
Train,124,0.0071,99.76
Train,125,0.0056,99.81
Train,126,0.0054,99.83
Train,127,0.0053,99.84
Train,128,0.0033,99.89
Train,129,0.0120,99.69
Train,130,0.0147,99.55
Train,131,0.0076,99.74
Train,132,0.0074,99.76
Train,133,0.0088,99.73
Train,134,0.0048,99.85
Train,135,0.0063,99.80
Train,136,0.0044,99.86
Train,137,0.0060,99.80
Train,138,0.0075,99.79
Train,139,0.0070,99.81
Train,140,0.0080,99.74
Train,141,0.0051,99.84
Train,142,0.0016,99.96
Train,143,0.0029,99.92
Train,144,0.0017,99.94
Train,145,0.0024,99.94
Train,146,0.0039,99.90
Train,147,0.0061,99.81
Train,148,0.0019,99.94
Train,149,0.0015,99.95
Train,150,0.0029,99.93
Train,151,0.0028,99.91
Train,152,0.0039,99.88
Train,153,0.0029,99.93
Train,154,0.0019,99.94
Train,155,0.0004,99.99
Train,156,0.0001,100.00
Train,157,0.0001,100.00
Train,158,0.0001,100.00
Train,159,0.0001,100.00
Train,160,0.0001,100.00
Train,161,0.0001,100.00
Train,162,0.0000,100.00
Train,163,0.0000,100.00
Train,164,0.0000,100.00
Train,165,0.0000,100.00
Train,166,0.0000,100.00
Train,167,0.0000,100.00
Train,168,0.0000,100.00
Train,169,0.0000,100.00
Train,170,0.0000,100.00
Train,171,0.0000,100.00
Train,172,0.0000,100.00
Train,173,0.0000,100.00
Train,174,0.0000,100.00
Train,175,0.0000,100.00
Train,176,0.0000,100.00
Train,177,0.0000,100.00
Train,178,0.0000,100.00
Train,179,0.0000,100.00
Train,180,0.0000,100.00
Train,181,0.0000,100.00
Train,182,0.0000,100.00
Train,183,0.0000,100.00
Train,184,0.0000,100.00
Train,185,0.0000,100.00
Train,186,0.0000,100.00
Train,187,0.0000,100.00
Train,188,0.0000,100.00
Train,189,0.0000,100.00
Train,190,0.0000,100.00
Train,191,0.0000,100.00
Train,192,0.0000,100.00
Train,193,0.0000,100.00
Train,194,0.0000,100.00
Train,195,0.0000,100.00
Train,196,0.0000,100.00
Train,197,0.0000,100.00
Train,198,0.0000,100.00
Train,199,0.0000,100.00
Train,200,0.0000,100.00
Train,201,0.0000,100.00
Train,202,0.0000,100.00
Train,203,0.0000,100.00
Train,204,0.0000,100.00
Train,205,0.0000,100.00
Train,206,0.0000,100.00
Train,207,0.0000,100.00
Train,208,0.0000,100.00
Train,209,0.0000,100.00
Train,210,0.0000,100.00
Train,211,0.0000,100.00
Train,212,0.0000,100.00
Train,213,0.0000,100.00
Train,214,0.0000,100.00
Train,215,0.0000,100.00
Train,216,0.0000,100.00
Train,217,0.0000,100.00
Train,218,0.0000,100.00
Train,219,0.0000,100.00
Train,220,0.0000,100.00
Train,221,0.0000,100.00
Train,222,0.0000,100.00
Train,223,0.0000,100.00
Train,224,0.0000,100.00
Train,225,0.0000,100.00
Train,226,0.0000,100.00
Train,227,0.0000,100.00
Train,228,0.0000,100.00
Train,229,0.0000,100.00
Train,230,0.0000,100.00
Train,231,0.0000,100.00
Train,232,0.0000,100.00
Train,233,0.0000,100.00
Train,234,0.0000,100.00
Train,235,0.0000,100.00
Train,236,0.0000,100.00
Train,237,0.0000,100.00
Train,238,0.0000,100.00
Train,239,0.0000,100.00
Train,240,0.0000,100.00
Train,241,0.0000,100.00
Train,242,0.0000,100.00
Train,243,0.0000,100.00
Train,244,0.0000,100.00
Train,245,0.0000,100.00
Train,246,0.0000,100.00
Train,247,0.0000,100.00
Train,248,0.0000,100.00
Train,249,0.0000,100.00
Train,250,0.0000,100.00
Train,251,0.0000,100.00
Train,252,0.0000,100.00
Train,253,0.0000,100.00
Train,254,0.0000,100.00
Train,255,0.0000,100.00
Train,256,0.0000,100.00
Train,257,0.0000,100.00
Train,258,0.0000,100.00
Train,259,0.0000,100.00
Train,260,0.0000,100.00
Train,261,0.0000,100.00
Train,262,0.0000,100.00
Train,263,0.0000,100.00
Train,264,0.0000,100.00
Train,265,0.0000,100.00
Train,266,0.0000,100.00
Train,267,0.0000,100.00
Train,268,0.0000,100.00
Train,269,0.0000,100.00
Train,270,0.0000,100.00
Train,271,0.0000,100.00
Train,272,0.0000,100.00
Train,273,0.0000,100.00
Train,274,0.0000,100.00
Train,275,0.0000,100.00
Train,276,0.0000,100.00
Train,277,0.0000,100.00
Train,278,0.0000,100.00
Train,279,0.0000,100.00
Train,280,0.0000,100.00
Train,281,0.0000,100.00
Train,282,0.0000,100.00
Train,283,0.0000,100.00
Train,284,0.0000,100.00
Train,285,0.0000,100.00
Train,286,0.0000,100.00
Train,287,0.0000,100.00
Train,288,0.0000,100.00
Train,289,0.0000,100.00
Train,290,0.0000,100.00
