Phase,Epoch,Loss,Accuracy
Train,1,0.6990,74.31
Train,2,0.4669,83.10
Train,3,0.4379,84.28
Train,4,0.4185,84.86
Train,5,0.4035,85.55
Train,6,0.4011,85.56
Train,7,0.3926,85.80
Train,8,0.3870,86.05
Train,9,0.3827,86.33
Train,10,0.3758,86.47
Train,11,0.3737,86.55
Train,12,0.3614,87.15
Train,13,0.3728,86.67
Train,14,0.3641,86.96
Train,15,0.3530,87.29
Train,16,0.3520,87.48
Train,17,0.3488,87.68
Train,18,0.3475,87.63
Train,19,0.3472,87.71
Train,20,0.3501,87.50
Train,21,0.3456,87.56
Train,22,0.3463,87.81
Train,23,0.3451,87.89
Train,24,0.3436,87.73
Train,25,0.3390,87.83
Train,26,0.3425,87.81
Train,27,0.3414,87.92
Train,28,0.3387,87.89
Train,29,0.3383,88.03
Train,30,0.3404,87.87
Train,31,0.3388,87.87
Train,32,0.3328,88.16
Train,33,0.3383,88.01
Train,34,0.3386,87.95
Train,35,0.3341,88.07
Train,36,0.3335,88.22
Train,37,0.3338,88.14
Train,38,0.3333,88.09
Train,39,0.3302,88.14
Train,40,0.3308,88.17
Train,41,0.3297,88.13
Train,42,0.3302,88.25
Train,43,0.3275,88.36
Train,44,0.3290,88.26
Train,45,0.3304,88.31
Train,46,0.3271,88.39
Train,47,0.3269,88.44
Train,48,0.3255,88.51
Train,49,0.3263,88.33
Train,50,0.3263,88.23
Train,51,0.3260,88.34
Train,52,0.3222,88.44
Train,53,0.3233,88.55
Train,54,0.3236,88.41
Train,55,0.3243,88.41
Train,56,0.3198,88.50
Train,57,0.3224,88.53
Train,58,0.3208,88.45
Train,59,0.3195,88.58
Train,60,0.3178,88.81
Train,61,0.3184,88.64
Train,62,0.3188,88.68
Train,63,0.3141,88.77
Train,64,0.3159,88.69
Train,65,0.3158,88.68
Train,66,0.3177,88.60
Train,67,0.3141,88.81
Train,68,0.3163,88.63
Train,69,0.3108,88.92
Train,70,0.3185,88.50
Train,71,0.3124,88.79
Train,72,0.3130,88.75
Train,73,0.3163,88.62
Train,74,0.3092,89.02
Train,75,0.3103,88.79
Train,76,0.3086,88.94
Train,77,0.3100,88.89
Train,78,0.3105,88.89
Train,79,0.3104,88.85
Train,80,0.3071,88.97
Train,81,0.3062,89.08
Train,82,0.3066,88.98
Train,83,0.3049,88.93
Train,84,0.3089,88.84
Train,85,0.3030,89.10
Train,86,0.3044,89.14
Train,87,0.3052,88.93
Train,88,0.3027,89.12
Train,89,0.2990,89.18
Train,90,0.2998,89.05
Train,91,0.3013,89.08
Train,92,0.2987,89.20
Train,93,0.2961,89.36
Train,94,0.2975,89.32
Train,95,0.2968,89.33
Train,96,0.2947,89.22
Train,97,0.2927,89.34
Train,98,0.2951,89.32
Train,99,0.2947,89.48
Train,100,0.2911,89.50
Train,101,0.2929,89.50
Train,102,0.2929,89.42
Train,103,0.2880,89.64
Train,104,0.2891,89.60
Train,105,0.2874,89.62
Train,106,0.2858,89.73
Train,107,0.2881,89.64
Train,108,0.2859,89.61
Train,109,0.2823,89.78
Train,110,0.2860,89.67
Train,111,0.2839,89.90
Train,112,0.2797,89.73
Train,113,0.2816,89.83
Train,114,0.2794,89.90
Train,115,0.2796,89.89
Train,116,0.2781,89.91
Train,117,0.2781,89.81
Train,118,0.2765,90.04
Train,119,0.2751,90.08
Train,120,0.2753,90.11
Train,121,0.2732,90.13
Train,122,0.2725,90.14
Train,123,0.2714,90.23
Train,124,0.2705,90.23
Train,125,0.2695,90.23
Train,126,0.2671,90.31
Train,127,0.2667,90.41
Train,128,0.2647,90.45
Train,129,0.2643,90.34
Train,130,0.2643,90.38
Train,131,0.2615,90.58
Train,132,0.2611,90.43
Train,133,0.2594,90.61
Train,134,0.2580,90.75
Train,135,0.2573,90.69
Train,136,0.2570,90.68
Train,137,0.2563,90.83
Train,138,0.2556,90.75
Train,139,0.2522,90.80
Train,140,0.2525,90.80
Train,141,0.2516,90.92
Train,142,0.2498,90.94
Train,143,0.2490,90.91
Train,144,0.2462,90.99
Train,145,0.2460,91.06
Train,146,0.2433,91.20
Train,147,0.2432,91.17
Train,148,0.2416,91.18
Train,149,0.2413,91.25
Train,150,0.2382,91.31
Train,151,0.2384,91.29
Train,152,0.2376,91.39
Train,153,0.2353,91.45
Train,154,0.2343,91.52
Train,155,0.2324,91.54
Train,156,0.2317,91.59
Train,157,0.2302,91.55
Train,158,0.2300,91.56
Train,159,0.2270,91.73
Train,160,0.2261,91.81
Train,161,0.2246,91.88
Train,162,0.2237,91.84
Train,163,0.2225,91.79
Train,164,0.2212,91.92
Train,165,0.2205,92.03
Train,166,0.2193,92.06
Train,167,0.2168,92.17
Train,168,0.2174,92.16
Train,169,0.2150,92.20
Train,170,0.2142,92.16
Train,171,0.2120,92.31
Train,172,0.2119,92.39
