DatasetSize,N_sample,Tol,RunTime,Objective Value,W2_offsets_sum,b2_offsets_sum,Avg_cross_Entropy_loss,Avg_cross_Entropy_loss_pred,Avg_cross_Entropy_loss_full,Avg_cross_Entropy_loss_pred_full,misclassified,misclassified_full
60000,1000,5e-06,0.3268599510192871,0.031192230951788247,32.46563495349359,0.41168021159030366,0.00269281305372715,2.3025583395732863,0.002122464356943965,2.3409343990314184,0,1176
60000,2000,5e-06,0.8956451416015625,0.07888908640639514,32.75181015647103,1.7999074238647887,0.002574399346485734,2.302553745052531,0.002163392025977373,2.3793056438303397,0,484
60000,3000,5e-06,1.5403029918670654,0.14646032084532123,2856.331457874444,602.2866935409199,0.00234557525254786,2.302548952982951,0.0021948518697172403,2.417676452571294,0,239
60000,4000,5e-06,2.5993809700012207,0.22108555101069768,25.710225947095175,0.39153366894418895,0.0023871050216257572,2.3025449539877663,0.002236708765849471,2.4560478944263426,0,181
60000,5000,5e-06,3.381875991821289,0.3147906837668799,1563.8313376384262,0.3915370678447213,0.002303234301507473,2.302540938895266,0.0022694969084113836,2.4944192037819635,0,176
60000,6000,5e-06,4.438992023468018,0.42634735868746176,588.5583900323506,0.391531603597004,0.002314133569598198,2.3025359004360286,0.002308974275365472,2.5327893908973804,0,101
60000,7000,5e-06,7.76406717300415,0.5191225490553801,40.302884494512995,0.3915236899679091,0.0023453151807188988,2.3025337030473336,0.002351178089156747,2.5711623795373395,0,93
60000,8000,5e-06,9.292278051376343,0.6533260010460467,46.56262734653114,0.3915325061590943,0.002396024763584137,2.302528797564107,0.002397021511569619,2.6095324116355934,0,94
60000,9000,5e-06,9.591624975204468,0.7690183993313741,25.76826848718551,0.3915251687973879,0.0022928654216229916,2.302527851630106,0.002421478508040309,2.6479068464758377,0,79
60000,10000,5e-06,11.868505954742432,0.8573580385891129,29.554767424569043,0.3915259662523558,0.0022154226899147034,2.3025263388129877,0.002446782076731324,2.6862805160550565,0,68
60000,11000,5e-06,13.799782037734985,0.9954761069122897,840.5071613109875,0.3915358549202351,0.0021699299104511738,2.30252389561875,0.0024753608740866184,2.7246530570487524,0,69
60000,12000,5e-06,15.233267068862915,1.1181934001527203,1155.4278886930765,0.4745709745971016,0.0022555748000741005,2.302523382119939,0.0025286483578383923,2.763027814830895,0,70
60000,13000,5e-06,17.927579879760742,1.2287177384951513,27.049745835167954,0.3915324908144625,0.0021906415931880474,2.3025207750446133,0.0025521654170006514,2.8014000434118853,0,67
60000,14000,5e-06,20.987360954284668,1.3791822140026504,451.89674966640825,0.39153725468020506,0.0021638439502567053,2.3025193629086207,0.0025824231561273336,2.8397735603053467,0,47
60000,15000,5e-06,26.198445081710815,1.522195926147366,33.148740417411254,0.41162829278128255,0.002183230360969901,2.3025170061904388,0.002623331965878606,2.8781459540932284,0,46
60000,16000,5e-06,23.665149211883545,1.6716784134432672,44.48819015085515,0.39153174667255347,0.0021956302225589752,2.3025142723879526,0.00266301934607327,2.9165178152784965,0,43
60000,17000,5e-06,27.270246982574463,1.7772890266467338,27.807516561821938,0.3915305886483841,0.0021780135575681925,2.3025146717067626,0.002694617258384824,2.954893571503148,0,37
60000,18000,5e-06,27.719092845916748,1.9054842565935766,27.583341249380332,0.8422565539640636,0.002138004871085286,2.302513888985298,0.0027189129032194614,2.993267813355196,0,34
60000,19000,5e-06,31.034825801849365,2.1738176276823378,42.47803164340671,0.4116413011086746,0.0021640537306666374,2.3025073046705327,0.0027627928648144007,3.0316343931665486,0,28
60000,20000,5e-06,34.723634004592896,2.3254355695833517,50.971483599256004,0.3915424155024017,0.002137228846549988,2.3025064687072763,0.0027899136766791344,3.0700084783725194,0,33
60000,21000,5e-06,38.68795084953308,2.5500703393963637,28.789232803739715,0.3915229160310356,0.0021387713495641947,2.3025050743365707,0.0028260694816708565,3.1083817663075823,0,27
60000,22000,5e-06,44.708481788635254,2.687561302667259,29.01852325831274,0.39152595124822664,0.0021504599135369062,2.3025044149184484,0.0028660004027187824,3.1467559490443313,0,23
60000,23000,5e-06,47.31993579864502,2.822090270246152,38.302661605134944,0.41161382401931157,0.002113864291459322,2.302504167841036,0.0028878122102469206,3.1851306929449885,0,20
60000,24000,5e-06,47.21602392196655,2.996181056054784,27.813981725066075,0.4116108962830115,0.0021431639324873686,2.302502365051119,0.002934760181233287,3.2235032578845226,0,22
60000,25000,5e-06,54.69733715057373,3.133984927795758,42.54223897428572,0.39152811963829826,0.0021094344556331635,2.302502455001028,0.002956424606963992,3.2618784680264006,0,24
60000,26000,5e-06,55.91174006462097,3.280554850578907,25.660136175640318,0.411612391839155,0.0020920811221003532,2.3025014036174976,0.0029840609058737755,3.300252018037111,0,23
60000,27000,5e-06,63.45711302757263,3.5536388975310977,32.020801833166615,0.8422570188683667,0.0020782845094799995,2.3024983575491627,0.0030127183999866247,3.3386226506734857,0,18
60000,28000,5e-06,72.25589609146118,3.689795285632219,57.56604592297748,0.4116291962593156,0.0020564005244523287,2.302497769423209,0.0030371411703526974,3.3769967820145457,0,17
60000,29000,5e-06,76.6592469215393,3.8281265179335673,25.740129794915006,0.4745818366253661,0.0020299034658819437,2.3024980617747044,0.003058604896068573,3.415372191796485,0,20
60000,30000,5e-06,74.63203120231628,3.96091468678887,2385.511337193834,0.3915206701764364,0.002031905809417367,2.3024982407054004,0.0030934347305446863,3.453747441793821,0,18
60000,31000,5e-06,82.1843512058258,4.092882815954607,399.3802204189689,0.3915209593649025,0.0020464935805648565,2.3024984654981053,0.003134834347292781,3.4921227560235244,0,15
60000,32000,5e-06,86.26167297363281,4.22855814268009,25.72863881461824,0.41161713273955214,0.0020505874417722225,2.30249836197952,0.0031711221672594547,3.5304975541979924,0,23
60000,33000,5e-06,92.14703297615051,4.541176561466763,88.13687416337562,0.3915070272759873,0.0020782516803592443,2.3024947864930225,0.003220513230189681,3.568866967207874,0,18
60000,34000,5e-06,93.33364510536194,4.86530915163626,500.8176885466763,0.4745756488341816,0.0020693603437393904,2.3024933876510376,0.0032501108944416046,3.6072396627488894,0,16
60000,35000,5e-06,111.29977583885193,5.049637131167941,469.41200073512664,0.39151699058514144,0.0020694860722869635,2.3024914706364923,0.0032846727408468723,3.6456114805400874,0,13
60000,36000,5e-06,120.02950596809387,5.197306572121889,4001.014286932106,0.3915197548169399,0.002060917904600501,2.3024914303609543,0.0033140205778181553,3.6839862810453066,0,10
60000,37000,5e-06,120.25736379623413,5.340226326642484,46.15454386655287,0.4745680076631328,0.0020498796366155148,2.302491548121003,0.0033415607176721096,3.722361323465189,0,12
60000,38000,5e-06,134.7632350921631,6.795073369694107,38.548746195283826,0.4116745888425839,0.002073414158076048,2.3024664882084305,0.0033906265161931515,3.7606951994175115,0,30
60000,39000,5e-06,141.26425695419312,6.984786438667071,28.114005492392327,0.39154489815604104,0.0020669433288276196,2.302466849020655,0.003420974826440215,3.7990702126912095,0,22
