Run,Phase,Epoch,Train_loss,Train_acc
1,Train,1,1.384179603,51.26472556
1,Train,2,0.494098105,84.68542255
1,Train,3,0.430265456,86.74802408
1,Train,4,0.404523559,87.59435958
1,Train,5,0.390872526,88.10898617
1,Train,6,0.383084292,88.23457144
1,Train,7,0.379699404,88.33558568
1,Train,8,0.377033614,88.43933003
1,Train,9,0.369139165,88.79014975
1,Train,10,0.367037256,88.73691251
1,Train,11,0.363729184,88.86932307
1,Train,12,0.363822796,88.89252904
1,Train,13,0.363995105,88.85976767
1,Train,14,0.354977319,89.22560301
1,Train,15,0.350258191,89.34299794
1,Train,16,0.356188856,89.0918274
1,Train,17,0.355591822,89.22150784
1,Train,18,0.352236925,89.29385588
1,Train,19,0.355828521,89.21195244
1,Train,20,0.354803895,89.26382462
1,Train,21,0.35048191,89.35664851
1,Train,22,0.347211,89.51089998
1,Train,23,0.352301502,89.25426922
1,Train,24,0.350550003,89.37848943
1,Train,25,0.350386156,89.37166414
1,Train,26,0.346289139,89.50816987
1,Train,27,0.350251697,89.46039286
1,Train,28,0.347289025,89.44947241
1,Train,29,0.34623978,89.59143836
1,Train,30,0.34721789,89.56550227
1,Train,31,0.351375241,89.21604761
1,Train,32,0.344824029,89.62146962
1,Train,33,0.349124446,89.40579057
1,Train,34,0.346033404,89.58734319
1,Train,35,0.347740971,89.47540849
1,Train,36,0.345905279,89.53547101
1,Train,37,0.346134209,89.61191422
1,Train,38,0.344362988,89.61191422
1,Train,39,0.344320333,89.5040747
1,Train,40,0.344788302,89.65013582
1,Train,41,0.343148768,89.74432477
1,Train,42,0.345894264,89.6828972
1,Train,43,0.342213107,89.70883329
1,Train,44,0.341492961,89.67607191
1,Train,45,0.342246798,89.56004204
1,Train,46,0.341941665,89.71429351
1,Train,47,0.339006755,89.8808305
1,Train,48,0.337948352,89.84124384
1,Train,49,0.337831132,89.83987878
1,Train,50,0.336723148,89.95317854
1,Train,51,0.337229309,89.84670407
1,Train,52,0.338991173,89.73886455
1,Train,53,0.33627689,89.86991004
1,Train,54,0.332229913,90.09377943
1,Train,55,0.336775424,89.89448107
1,Train,56,0.33492264,89.87537027
1,Train,57,0.331687319,90.01051094
1,Train,58,0.332351772,90.01051094
1,Train,59,0.332880892,90.00914588
1,Train,60,0.32775973,90.14838172
1,Train,61,0.329141662,90.09104932
1,Train,62,0.328220957,90.12517575
1,Train,63,0.325953269,90.24666585
1,Train,64,0.325932555,90.22209482
1,Train,65,0.323879401,90.23301527
1,Train,66,0.324981708,90.28898262
1,Train,67,0.322970382,90.22618999
1,Train,68,0.323934482,90.20707919
1,Train,69,0.32271822,90.26441159
1,Train,70,0.31833082,90.38999686
1,Train,71,0.318125312,90.4814557
1,Train,72,0.317996221,90.43367869
1,Train,73,0.318633099,90.49783638
1,Train,74,0.314796629,90.54697845
1,Train,75,0.315339295,90.58929522
1,Train,76,0.318359438,90.40637755
1,Train,77,0.313786072,90.62342165
1,Train,78,0.311849581,90.78995864
1,Train,79,0.314326586,90.55243867
