Run,Phase,TrainingType,Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc
1,Train,SAP,1,2.64082972915626,47.733384556281216,1.4656909229570312,70.17678708685627,-,-
1,Train,SAP,2,1.0931921336182788,78.19823280829812,0.8663394856141403,82.4750192159877,-,-
1,Train,SAP,3,0.44127520790860697,91.20245870149827,0.7929821603578572,82.93620292083013,-,-
1,Train,SAP,4,0.218636378143097,95.52439492892816,0.6255545511463805,86.2413528055342,-,-
1,Train,SAP,5,0.1365770010243347,97.08029197080292,0.5387635645410082,87.54803996925442,-,-
1,Train,SAP,6,0.0930627334885802,98.36726853630427,0.5330089035627935,87.39431206764027,-,-
1,Train,SAP,7,0.06479947175259239,98.78985785631963,0.5211930079793673,88.08608762490393,-,-
1,Train,SAP,8,0.03892020284386775,99.40453323088744,0.4564625875341443,89.4696387394312,-,-
1,Train,SAP,9,0.03456984392075908,99.38532462543219,0.4927040971214271,88.7009992313605,-,-
1,Train,SAP,10,0.027391866255163048,99.55820207452939,0.4686008692933082,89.62336664104535,-,-
1,Train,SAP,11,0.021986760811857377,99.76949673453707,0.4912856864663475,89.39277478862414,-,-
1,Train,SAP,12,0.025342482757794618,99.55820207452939,0.5653138007914259,87.93235972328978,-,-
1,Train,SAP,13,0.02469620094891706,99.61582789089512,0.4960374141041817,89.08531898539584,-,-
1,Train,SAP,14,0.037344736942701455,99.46215904725317,0.5892075051673095,87.24058416602614,-,-
1,Train,SAP,15,0.03938564863713012,99.27007299270073,0.5823032137845499,87.62490392006148,-,-
1,Train,SAP,16,0.03679128945090928,99.38532462543219,0.6394740207482997,86.47194465795542,-,-
1,Train,SAP,17,0.03140502210500781,99.46215904725317,0.5670620702854218,87.3174481168332,-,-
1,Train,SAP,18,0.04420978659221137,99.212447176335,0.6572982606110803,86.01076095311299,-,-
1,Train_Test,SAP,-1,0.4564625875341443,89.4696387394312,-,-
2,Train,SAP,1,2.6450839956845242,47.57971571263926,1.5787106043187404,68.1783243658724,-,-
2,Train,SAP,2,1.0941156993614385,78.52477910103727,0.8860408704066441,80.8608762490392,-,-
2,Train,SAP,3,0.485858937439743,90.22281982328083,0.5569902428244738,87.16372021521906,-,-
2,Train,SAP,4,0.24550635260215567,95.0633883980023,0.5708280036442102,86.70253651037663,-,-
2,Train,SAP,5,0.141552787011295,97.27237802535537,0.5397181884886025,86.7794004611837,-,-
2,Train,SAP,6,0.12720476180612128,97.54129850172878,0.5362748450540196,88.08608762490393,-,-
2,Train,SAP,7,0.07285398674523172,98.52093737994622,0.4998899928704305,88.47040737893927,-,-
2,Train,SAP,8,0.06503290125094582,98.61698040722244,0.47534338368258966,88.23981552651806,-,-
2,Train,SAP,9,0.051014572613375504,98.98194391087208,0.47985216753011845,89.62336664104535,-,-
2,Train,SAP,10,0.0623502047143968,98.78985785631963,0.5082944302399465,88.08608762490393,-,-
2,Train,SAP,11,0.055687860494330985,98.80906646177488,0.5786170465821582,86.39508070714835,-,-
2,Train,SAP,12,0.039160021886435206,99.27007299270073,0.4636241146273837,90.00768639508071,-,-
2,Train,SAP,13,0.04218657244928181,99.19323857087976,0.4801871802924139,88.93159108378171,-,-
2,Train,SAP,14,0.042395992705918435,99.11640414905878,0.5150032884152828,88.3935434281322,-,-
2,Train,SAP,15,0.024017223948327126,99.67345370726085,0.40760690436557473,90.69946195234435,-,-
2,Train,SAP,16,0.03279328193841216,99.32769880906646,0.4789977854348255,88.47040737893927,-,-
2,Train,SAP,17,0.02055158143708814,99.71187091817134,0.44758699766770405,90.16141429669484,-,-
