Run,Phase,Epoch,Train_loss,Train_acc
1,GurobiComplete_Train,-1,-1.0,95.4
1,GurobiComplete_Val,-1,-1.0,78.43
1,Gurobi_Complete_Eval_Train,-1,0.1717733615303039,95.254
1,Gurobi_Complete_Eval_Val,-1,0.7341682271003723,78.43
1,GurobiEdit,1,0.2078060571275785,93.528
1,GurobiEdit,2,0.2077005330254049,93.482
1,GurobiEdit,3,0.2072638010849123,93.568
1,GurobiEdit,4,0.2085669934177947,93.49
1,GurobiEdit,5,0.2060523682733631,93.488
1,GurobiEdit,6,0.2072220217922459,93.538
1,GurobiEdit,7,0.2089713916535039,93.468
1,GurobiEdit,8,0.2069752112869411,93.444
1,GurobiEdit,9,0.209233554685131,93.398
1,GurobiEdit,10,0.2063083912977172,93.498
1,GurobiEdit,11,0.2037544049265439,93.614
1,GurobiEdit,12,0.20241580670104,93.592
1,GurobiEdit,13,0.198777346736025,93.692
1,GurobiEdit,14,0.1977767792275494,93.706
1,GurobiEdit,15,0.1964886171643234,93.808
1,GurobiEdit,16,0.1899409043981367,94.054
1,GurobiEdit,17,0.1874434101345289,94.046
1,GurobiEdit,18,0.1819153980011373,94.218
1,GurobiEdit,19,0.1756552653268094,94.432
1,GurobiEdit,20,0.1704944889620899,94.534
1,GurobiEdit,21,0.1694680901287157,94.6
1,GurobiEdit,22,0.170382532841333,94.426
1,GurobiEdit,23,0.1619087689606201,94.74
1,GurobiEdit,24,0.1630272013385353,94.63
1,GurobiEdit,25,0.1566189726304901,94.92
1,GurobiEdit,26,0.1587664636847613,94.684
1,GurobiEdit,27,0.1580993172276736,94.696
1,GurobiEdit,28,0.1616683526683951,94.574
1,GurobiEdit,29,0.1584463481841337,94.59
1,GurobiEdit,30,0.163309896626817,94.454
1,GurobiEdit,31,0.1663354524289784,94.182
1,GurobiEdit,32,0.1725096285790967,94.118
1,GurobiEdit,33,0.1769896695471328,93.916
1,GurobiEdit,34,0.1763361150451252,93.856
1,GurobiEdit,35,0.1863272721352784,93.424
1,GurobiEdit_Test,-1,0.8412835019111633,77.43
2,GurobiComplete_Train,-1,-1.0,94.1
2,GurobiComplete_Val,-1,-1.0,78.03999999999999
2,Gurobi_Complete_Eval_Train,-1,0.1827377432966232,94.948
2,Gurobi_Complete_Eval_Val,-1,0.7266627035140991,78.04
2,GurobiEdit,1,0.2243855207148568,92.922
2,GurobiEdit,2,0.2245434342271379,92.86
2,GurobiEdit,3,0.2261449551719533,92.832
2,GurobiEdit,4,0.2242790654282588,92.862
2,GurobiEdit,5,0.2225148078206631,93.0
2,GurobiEdit,6,0.2241931562038029,92.8
2,GurobiEdit,7,0.2238762324861705,92.836
2,GurobiEdit,8,0.2238411726549153,92.826
2,GurobiEdit,9,0.2238630507084186,92.866
2,GurobiEdit,10,0.223787948374858,92.746
2,GurobiEdit,11,0.2197316653235717,93.022
2,GurobiEdit,12,0.2182074169845075,92.988
2,GurobiEdit,13,0.2187760822436846,92.962
2,GurobiEdit,14,0.2131271355921197,93.15
2,GurobiEdit,15,0.2095675194335867,93.188
2,GurobiEdit,16,0.2060091039999519,93.32
2,GurobiEdit,17,0.2015381823996525,93.582
2,GurobiEdit,18,0.1971330773037717,93.706
2,GurobiEdit,19,0.1913147416642255,93.818
2,GurobiEdit,20,0.1885749295477748,93.868
2,GurobiEdit,21,0.1841124438197182,94.026
2,GurobiEdit,22,0.1814552699132343,94.054
2,GurobiEdit,23,0.180802904864978,94.072
2,GurobiEdit,24,0.1775315168940121,94.152
2,GurobiEdit,25,0.1788368718579525,93.942
2,GurobiEdit,26,0.1752412648552366,94.168
2,GurobiEdit,27,0.1789568868058416,93.924
2,GurobiEdit,28,0.1788425483428837,93.884
2,GurobiEdit,29,0.1817661328407962,93.87
2,GurobiEdit,30,0.178905316430818,93.894
2,GurobiEdit,31,0.184680096276314,93.524
2,GurobiEdit,32,0.1864281487329613,93.502
2,GurobiEdit,33,0.1925256404206347,93.168
2,GurobiEdit,34,0.1958185033610714,93.22
2,GurobiEdit,35,0.1978686793571543,93.07
2,GurobiEdit,36,0.2032115936488904,92.742
2,GurobiEdit_Test,-1,0.8058162488937378,78.04
3,GurobiComplete_Train,-1,-1.0,95.8
3,GurobiComplete_Val,-1,-1.0,79.28
3,Gurobi_Complete_Eval_Train,-1,0.1280123832893371,96.97
3,Gurobi_Complete_Eval_Val,-1,0.7079924348831177,79.28
3,GurobiEdit,1,0.1635089454853245,95.048
3,GurobiEdit,2,0.1622715616584434,95.152
3,GurobiEdit,3,0.1667605886126265,94.912
3,GurobiEdit,4,0.1660879861296671,94.938
3,GurobiEdit,5,0.1653402716378726,95.054
3,GurobiEdit,6,0.1654886345538641,94.914
3,GurobiEdit,7,0.1672231453277952,94.814
3,GurobiEdit,8,0.167074878026,94.844
3,GurobiEdit,9,0.1679392523749176,94.906
3,GurobiEdit,10,0.1655277418082251,94.93
3,GurobiEdit,11,0.1639987790952329,95.056
3,GurobiEdit,12,0.1635068331409217,94.85
3,GurobiEdit_Test,-1,0.7246333936691284,79.38
4,GurobiComplete_Train,-1,-1.0,96.5
4,GurobiComplete_Val,-1,-1.0,79.23
4,Gurobi_Complete_Eval_Train,-1,0.1481788173675537,96.086
4,Gurobi_Complete_Eval_Val,-1,0.707955706501007,79.23
4,GurobiEdit,1,0.1847600857334216,94.27
4,GurobiEdit,2,0.185684495755588,94.266
