Epoch,Train Loss,Train Acc,Test Acc,Method
121,0.57209241,0.70352757,0.68709844,Train
122,0.57155079,0.70393556,0.68740439,Train
123,0.57100964,0.70443273,0.68791431,Train
124,0.57046735,0.70486623,0.68806732,Train
125,0.56992453,0.70542717,0.68832231,Train
126,0.56938154,0.70607734,0.68786335,Train
127,0.56884003,0.70680404,0.68832231,Train
128,0.56830019,0.70731395,0.68873024,Train
129,0.56776178,0.70763266,0.68893421,Train
130,0.56722587,0.70795143,0.68954617,Train
131,0.56668991,0.70844859,0.68939316,Train
132,0.56615400,0.70892030,0.68949515,Train
133,0.56561923,0.70936650,0.69020909,Train
134,0.56508529,0.70972347,0.69066805,Train
135,0.56455165,0.71001673,0.69158590,Train
136,0.56401813,0.71041191,0.69173890,Train
137,0.56348389,0.71052665,0.69235086,Train
138,0.56295127,0.71089637,0.69224888,Train
139,0.56242102,0.71136808,0.69240183,Train
140,0.56189096,0.71152103,0.69291180,Train
141,0.56136274,0.71203101,0.69280982,Train
142,0.56083488,0.71242625,0.69337070,Train
143,0.56030852,0.71277046,0.69306475,Train
144,0.55978519,0.71298718,0.69347274,Train
145,0.55926508,0.71336961,0.69413567,Train
146,0.55874532,0.71404529,0.69454360,Train
147,0.55823028,0.71441501,0.69520652,Train
148,0.55771959,0.71493775,0.69607341,Train
149,0.55721158,0.71524370,0.69673634,Train
150,0.55670631,0.71570265,0.69739926,Train
151,0.55620468,0.71600860,0.69780725,Train
152,0.55570638,0.71642935,0.69852114,Train
153,0.55521172,0.71656954,0.69796020,Train
154,0.55471879,0.71735996,0.69887811,Train
155,0.55422682,0.71766597,0.69826621,Train
156,0.55373889,0.71846914,0.69954103,Train
157,0.55325943,0.71770418,0.69801122,Train
158,0.55279136,0.71931052,0.70061195,Train
159,0.55233836,0.71811217,0.69836819,Train
160,0.55188864,0.71971852,0.70081592,Train
161,0.55140775,0.71931052,0.70015299,Train
162,0.55090553,0.71980774,0.70091790,Train
163,0.55043721,0.72043246,0.70040798,Train
164,0.55001545,0.72015196,0.69959205,Train
165,0.54959434,0.72117186,0.70076489,Train
166,0.54913908,0.72127384,0.70030594,Train
167,0.54867256,0.72165632,0.70056093,Train
168,0.54823750,0.72184753,0.70101988,Train
169,0.54782593,0.72202605,0.70101988,Train
170,0.54740375,0.72240847,0.70132583,Train
171,0.54696202,0.72286743,0.70188677,Train
172,0.54652131,0.72298217,0.70203978,Train
173,0.54610169,0.72303319,0.70275372,Train
174,0.54569501,0.72314793,0.70178479,Train
175,0.54528201,0.72358137,0.70244771,Train
176,0.54485708,0.72381085,0.70254970,Train
177,0.54443073,0.72424430,0.70285571,Train
178,0.54401606,0.72421885,0.70311064,Train
179,0.54361129,0.72435904,0.70249873,Train
180,0.54321039,0.72476703,0.70295769,Train
181,0.54280508,0.72481799,0.70290667,Train
182,0.54239368,0.72532797,0.70326364,Train
183,0.54198009,0.72542995,0.70300865,Train
184,0.54156828,0.72565943,0.70351863,Train
185,0.54116154,0.72606736,0.70351863,Train
186,0.54076034,0.72632235,0.70362061,Train
187,0.54036444,0.72659010,0.70356959,Train
188,0.53997123,0.72636062,0.70397758,Train
189,0.53958142,0.72708732,0.70372260,Train
190,0.53919542,0.72661561,0.70372260,Train
191,0.53881329,0.72760999,0.70448750,Train
192,0.53844118,0.72701079,0.70336562,Train
193,0.53807986,0.72799248,0.70540541,Train
194,0.53772265,0.72767371,0.70331466,Train
195,0.53734863,0.72840041,0.70489544,Train
196,0.53694272,0.72859162,0.70377356,Train
197,0.53651923,0.72889763,0.70428354,Train
198,0.53612280,0.72935659,0.70489544,Train
199,0.53577155,0.72931832,0.70443654,Train
