Run,Phase,TrainingType,Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc
1,GurobiEdit,SAM_C1Correct_1000,1,0.005806851572145714,100.0,0.28409782333799183,92.85165257494235,0.3080315431000286,92.39280774550484
1,GurobiEdit,SAM_C1Correct_1000,2,0.004964583528376658,100.0,0.2976992727700423,92.85165257494235,0.3155224079729061,91.97786998616874
1,GurobiEdit,SAM_C1Correct_1000,3,0.004827821125887746,100.0,0.2946238425158703,93.08224442736356,0.2966232412748482,92.577224527432
1,GurobiEdit,SAM_C1Correct_1000,4,0.0051313677954093265,100.0,0.32273837094475083,92.08301306687164,0.332325806845548,91.88566159520516
1,GurobiEdit,SAM_C1Correct_1000,5,0.005786253159374364,99.98079139454475,0.3229952558508568,92.23674096848578,0.3374470299553794,91.47072383586907
1,GurobiEdit,SAM_C1Correct_1000,6,0.005335355726744911,99.98079139454475,0.29709446503509473,92.00614911606456,0.34075868558422,91.97786998616874
1,GurobiEdit,SAM_C1Correct_1000,7,0.005346717839300678,100.0,0.30455774841951827,92.39046887009992,0.330366054373768,92.02397418165053
1,GurobiEdit,SAM_C1Correct_1000,8,0.005397718341198344,100.0,0.3197881267402467,92.6979246733282,0.3483286148023913,91.65514061779622
1,GurobiEdit,SAM_C1Correct_1000,9,0.005199145366426306,100.0,0.3230762289970151,92.62106072252114,0.33938900501896235,91.47072383586907
1,GurobiEdit,SAM_C1Correct_1000,10,0.00498156277448556,100.0,0.2984115806430418,92.77478862413528,0.32415222493719537,92.1622867680959
1,GurobiEdit,SAM_C1Correct_1000,11,0.005506020564974451,99.98079139454475,0.31997927164316725,91.85242121445042,0.33358243060392295,92.02397418165053
1,GurobiEdit,SAM_C1Correct_1000,12,0.0049556463962546525,100.0,0.3029523475623928,92.92851652574943,0.3422651963335075,91.97786998616874
1,GurobiEdit,SAM_C1Correct_1000,13,0.005419549373681286,100.0,0.3491050762730686,92.39046887009992,0.36107400311831234,91.7473490087598
1,GurobiEdit,SAM_C1Correct_1000,14,0.005206778739790426,99.98079139454475,0.33444570514626176,92.31360491929286,0.33839965082701584,92.02397418165053
