Run,Phase,TrainingType,Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc
1,Train,RWP,1,0.4217453890790542,89.69751602564102,0.21412098182317538,93.01282051282051,-,-
1,Train,RWP,2,0.17740626857639888,93.9423076923077,0.1759221650277957,94.01842948717949,-,-
1,Train,RWP,3,0.15227425017943366,94.70653044871794,0.1679610679164911,94.12259615384616,-,-
1,Train,RWP,4,0.13640433143919858,95.09515224358974,0.15761389277684382,94.58733974358974,-,-
1,Train,RWP,5,0.12483410988814937,95.4667467948718,0.15575467160879036,94.5713141025641,-,-
1,Train,RWP,6,0.11445309781015683,95.75120192307692,0.1525578658359173,94.79567307692308,-,-
1,Train,RWP,7,0.10659339484066153,95.9795673076923,0.14947228429791254,94.97195512820512,-,-
1,Train,RWP,8,0.09937964918044133,96.21995192307692,0.15660878956699983,94.73958333333333,-,-
1,Train,RWP,9,0.09085271639319567,96.46033653846153,0.16723834480612706,94.48317307692308,-,-
1,Train,RWP,10,0.08555530577730865,96.60957532051282,0.15611885537703832,94.71955128205128,-,-
1,Train,RWP,11,0.07626275619109854,96.9511217948718,0.16537179289719997,94.63541666666667,-,-
1,Train,RWP,12,0.07424035387782332,97.02023237179488,0.17630997428145165,94.57532051282051,-,-
1,Train,RWP,13,0.06627255904082305,97.24859775641026,0.17626385755645924,94.63541666666667,-,-
1,Train,RWP,14,0.06125173047184944,97.41286057692308,0.18430887145491748,94.55128205128206,-,-
1,Train,RWP,15,0.05886398232303178,97.51602564102564,0.17766969079772632,94.81570512820512,-,-
1,Train,RWP,16,0.05397320045038867,97.68229166666667,0.193890487211637,94.57932692307692,-,-
1,Train,RWP,17,0.0500435382563573,97.87960737179488,0.19221752589711777,94.62740384615384,-,-
1,Train_Test,RWP,-1,0.14947228429791254,94.97195512820512,-,-
2,Train,RWP,1,0.4196500508257976,89.70953525641026,0.2132126943041117,92.97676282051282,-,-
2,Train,RWP,2,0.17684154230623672,93.94030448717949,0.18018745600413053,93.60977564102564,-,-
2,Train,RWP,3,0.14875919796908513,94.75961538461539,0.15439681011514786,94.67147435897436,-,-
2,Train,RWP,4,0.13331470356728786,95.21834935897436,0.15467872426677973,94.6113782051282,-,-
2,Train,RWP,5,0.1241343823572,95.44571314102564,0.15967668319741884,94.57932692307692,-,-
2,Train,RWP,6,0.11403113838571768,95.75821314102564,0.15797215581704407,94.53125,-,-
2,Train,RWP,7,0.1062557137141434,96.00060096153847,0.16249705786124255,94.39102564102564,-,-
2,Train,RWP,8,0.09719719231271973,96.2479967948718,0.16402466564606397,94.59935897435898,-,-
