Epoch,Train Loss,Train Acc,Test Acc,Method
139,0.53200018,0.73216128,0.70254970,Train
140,0.52965981,0.73260748,0.70117289,Train
141,0.52959675,0.73188084,0.70137686,Train
142,0.53073770,0.73249274,0.70015299,Train
143,0.53056180,0.73349994,0.70285571,Train
144,0.52863443,0.73390788,0.70377356,Train
145,0.52753347,0.73400986,0.70214176,Train
146,0.52807194,0.73365289,0.70183581,Train
147,0.52843708,0.73463458,0.70188677,Train
148,0.52747929,0.73481303,0.70413053,Train
149,0.52611208,0.73520827,0.70372260,Train
150,0.52577013,0.73561621,0.70188677,Train
151,0.52617395,0.73562896,0.70219278,Train
152,0.52614444,0.73574370,0.70183581,Train
153,0.52532291,0.73615164,0.70407957,Train
154,0.52428579,0.73649585,0.70387560,Train
155,0.52377462,0.73675084,0.70178479,Train
156,0.52380681,0.73664886,0.70275372,Train
157,0.52392799,0.73682731,0.70122385,Train
158,0.52379578,0.73720980,0.70285571,Train
159,0.52322972,0.73760504,0.70209080,Train
160,0.52246118,0.73817873,0.70356959,Train
161,0.52171928,0.73865044,0.70433450,Train
162,0.52119994,0.73848468,0.70423251,Train
163,0.52091312,0.73856115,0.70392656,Train
164,0.52079469,0.73849744,0.70214176,Train
165,0.52082062,0.73885441,0.70254970,Train
166,0.52100921,0.73811495,0.70142782,Train
167,0.52147841,0.73777074,0.70147884,Train
168,0.52208972,0.73752850,0.69984704,Train
169,0.52260613,0.73785996,0.70086688,Train
170,0.52190244,0.73909664,0.70198876,Train
171,0.52004987,0.74052447,0.70525241,Train
172,0.51809967,0.74079221,0.70504844,Train
173,0.51761365,0.74044800,0.70224375,Train
174,0.51837647,0.73949182,0.70239675,Train
175,0.51896685,0.74033326,0.70224375,Train
176,0.51845545,0.74118739,0.70402855,Train
177,0.51701403,0.74237305,0.70448750,Train
178,0.51595354,0.74202883,0.70356959,Train
179,0.51589334,0.74181211,0.70387560,Train
180,0.51637262,0.74173564,0.70214176,Train
181,0.51662606,0.74144238,0.70326364,Train
182,0.51615012,0.74248779,0.70305967,Train
183,0.51520205,0.74309975,0.70474249,Train
184,0.51426893,0.74378818,0.70438552,Train
185,0.51377314,0.74349493,0.70300865,Train
186,0.51372516,0.74338019,0.70453852,Train
187,0.51391649,0.74348217,0.70188677,Train
188,0.51417768,0.74287027,0.70305967,Train
189,0.51432574,0.74353319,0.70168281,Train
190,0.51431298,0.74324000,0.70305967,Train
191,0.51392710,0.74456584,0.70163184,Train
192,0.51322764,0.74451482,0.70311064,Train
193,0.51228511,0.74512678,0.70295769,Train
194,0.51142073,0.74548376,0.70397758,Train
195,0.51081723,0.74567497,0.70346761,Train
196,0.51051974,0.74585348,0.70260072,Train
197,0.51046067,0.74545825,0.70280468,Train
198,0.51058173,0.74539453,0.70168281,Train
199,0.51092339,0.74521601,0.70265168,Train
200,0.51155221,0.74461681,0.70101988,Train
201,0.51264113,0.74261528,0.70045894,Train
202,0.51372761,0.74366069,0.69928610,Train
203,0.51416308,0.74383914,0.70168281,Train
204,0.51231194,0.74645263,0.70168281,Train
205,0.50939053,0.74757457,0.70402855,Train
206,0.50777215,0.74723035,0.70254970,Train
207,0.50852442,0.74647814,0.70219278,Train
208,0.50995052,0.74612117,0.70203978,Train
209,0.50977862,0.74790603,0.70158082,Train
210,0.50807005,0.74830121,0.70305967,Train
211,0.50657564,0.74840319,0.70356959,Train
212,0.50660473,0.74850523,0.70219278,Train
213,0.50749624,0.74763829,0.70326364,Train
214,0.50783449,0.74864542,0.70183581,Train
215,0.50714892,0.74898964,0.70290667,Train
216,0.50586206,0.74927014,0.70300865,Train
217,0.50499982,0.74958885,0.70183581,Train
218,0.50492865,0.74938488,0.70244771,Train
219,0.50534195,0.74941039,0.70147884,Train
220,0.50574934,0.74891317,0.70249873,Train
221,0.50572735,0.74949962,0.70193779,Train
222,0.50526178,0.74994582,0.70198876,Train
223,0.50444269,0.75115693,0.70183581,Train
224,0.50362897,0.75080001,0.70203978,Train
225,0.50304210,0.75087649,0.70239675,Train
226,0.50274658,0.75136095,0.70132583,Train
227,0.50268435,0.75099123,0.70142782,Train
228,0.50279987,0.75134820,0.70193779,Train
229,0.50310558,0.75064701,0.70168281,Train
230,0.50365669,0.75007331,0.70005101,Train
231,0.50464618,0.74870920,0.70076489,Train
232,0.50588101,0.74896419,0.69872516,Train
233,0.50714505,0.74781680,0.70096892,Train
234,0.50674641,0.75063425,0.69954103,Train
235,0.50446510,0.75236809,0.70076489,Train
236,0.50135976,0.75252104,0.70183581,Train
237,0.50026554,0.75266129,0.70132583,Train
238,0.50148225,0.75081271,0.70132583,Train
239,0.50283450,0.75165415,0.69959205,Train
240,0.50252169,0.75234258,0.70061195,Train
241,0.50058025,0.75350273,0.70137686,Train
242,0.49917182,0.75384694,0.70122385,Train
243,0.49935862,0.75262308,0.70142782,Train
244,0.50034481,0.75345170,0.70071393,Train
245,0.50083387,0.75254655,0.70045894,Train
246,0.50010914,0.75447160,0.70086688,Train
247,0.49882969,0.75419116,0.69999999,Train
248,0.49787241,0.75425488,0.70096892,Train
249,0.49771768,0.75479037,0.70056093,Train
250,0.49813759,0.75393617,0.70086688,Train
251,0.49861971,0.75507081,0.70066291,Train
252,0.49881735,0.75370669,0.70091790,Train
253,0.49850893,0.75575924,0.70173383,Train
254,0.49785790,0.75494331,0.70076489,Train
255,0.49702874,0.75629473,0.70107090,Train
256,0.49632347,0.75578475,0.69994903,Train
257,0.49585876,0.75582302,0.70005101,Train
258,0.49563947,0.75648594,0.70035696,Train
259,0.49561089,0.75589949,0.69984704,Train
260,0.49574003,0.75670266,0.70112187,Train
261,0.49608833,0.75499433,0.70081592,Train
262,0.49674040,0.75479037,0.69852114,Train
263,0.49796429,0.75203663,0.69994903,Train
264,0.49972051,0.75152665,0.69785821,Train
265,0.50193399,0.74965262,0.70030594,Train
266,0.50239414,0.75300550,0.69898009,Train
267,0.50013161,0.75567001,0.70101988,Train
268,0.49560541,0.75730187,0.70061195,Train
269,0.49345833,0.75730187,0.69979602,Train
270,0.49505407,0.75453538,0.70071393,Train
271,0.49715215,0.75581026,0.69999999,Train
