Dataset,Run,Training_Type,Method,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
Food101,1,SAM,S,0.14555697391430536,96.28333333333333,0.9694766132036845,70.2,0.7343296009063721,76.4
Caltech101,1,SAM,S,0.0032150559960977187,100.0,0.29229558075990797,93.0053804765565,0.3269876235569606,92.25449515905947
Food101,2,SAM,S,0.4203506936232249,88.11666666666666,0.9329673911730448,70.0,0.7029775123596191,77.76
Caltech101,2,SAM,S,0.0031688835588507456,100.0,0.27334784156858327,92.54419677171407,0.33736648935774827,91.97786998616874
Food101,3,SAM,S,0.08654595025380453,98.05,0.962961139678955,71.53333333333333,0.7607827976226806,77.48
Caltech101,3,SAM,S,0.004030642585733729,100.0,0.31302263832248056,92.23674096848578,0.3493670664552501,91.70124481327801
USPS,1,AWP,S,0.0033926581240093672,99.94855967078189,0.020361596103936473,99.38271604938272,0.10796785186888028,97.30941704035874
USPS,2,AWP,S,0.0017839229560459725,99.98285322359396,0.019148160629383248,99.58847736625515,0.11929975971987905,97.20976581963129
USPS,3,AWP,S,0.0027139272595262626,99.96570644718793,0.018249346957694028,99.519890260631,0.106484754161383,97.15994020926756
