Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified,Solve_Time
Food101,MisCls_Correct,1,0,35.46622384131028,0.0698273701304646,35.536051211440736,1000,10,92.75,66.8,290,3600.1131360530853
Caltech101,MisCls_Correct,1,0,126.95538426292498,0.0,126.955384262925,1000,10,94.42950441797926,85.54957724827055,290,3600.105062007904
Food101,MisCls_Correct,2,0,7.315396272791862,0.084914194305757,7.400310467097619,1000,10,86.78333333333333,67.86666666666666,163,3600.109838962555
Caltech101,MisCls_Correct,2,0,27.911601618865777,0.0,27.911601618865777,1000,10,97.75259316173646,88.08608762490393,117,3600.6450378894806
Food101,MisCls_Correct,3,0,13.363592154436498,0.0,13.363592154436496,1000,10,96.2,69.46666666666667,148,3600.0706729888916
Caltech101,MisCls_Correct,3,0,13.200995769449886,0.0,13.200995769449886,1000,10,98.23280829811756,88.23981552651806,92,3600.3869960308075
USPS,MisCls_Correct,1,0,1.3899009596807317,0.0,1.3899009596807317,1000,10,98.5082304526749,97.87379972565158,88,3600.0583469867706
USPS,MisCls_Correct,2,0,1.7438040345127208,0.0,1.7438040345127208,1000,10,99.46844993141289,99.24554183813443,30,3600.286765098572
USPS,MisCls_Correct,3,0,1.3307435502776346,0.0,1.3307435495883757,1000,10,99.22839506172839,99.039780521262,47,3600.236885070801
