Run,Phase,Method,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
1,Train,CMC,1,2.411313280006128,50.518632347291586,1.2772596223275539,73.86625672559569
1,Train,CMC,2,0.8219031115616757,82.46254321936227,0.6497477370441006,85.7033051498847
1,Train,CMC,3,0.32358552012706826,93.14252785247791,0.6639015812492663,84.39661798616449
1,Train,CMC,4,0.16780722677204873,96.13907030349597,0.5148336412263411,88.08608762490393
1,Train,CMC,5,0.09491400189263506,98.07913945447561,0.4690457336220899,88.93159108378171
1,Train,CMC,6,0.06297974882681677,98.94352669996158,0.47503053528084194,88.85472713297463
1,Train,CMC,7,0.04740724982865201,99.13561275451403,0.4902544895059599,88.3935434281322
1,Train,CMC,8,0.05366929434811228,98.80906646177488,0.5604065298850861,87.47117601844735
1,Train,CMC,9,0.06545183044555454,98.71302343449865,0.5672917352054414,87.00999231360493
1,Train,CMC,10,0.04519149056847201,99.02036112178256,0.5147166638123265,88.85472713297463
1,Train,CMC,11,0.03422211613106124,99.28928159815598,0.5610318598978158,87.70176787086857
1,Train,CMC,12,0.04173407941753833,99.15482135996926,0.5355473271271158,88.00922367409684
1,Train,CMC,13,0.04604388865430845,98.94352669996158,0.5157894049352357,88.47040737893927
1,Train,CMC,14,0.027104125341023404,99.42374183634269,0.5350390350722424,87.70176787086857
1,Train,CMC,15,0.03093211209984279,99.32769880906646,0.5641028668837397,87.24058416602614
1,Train_Test,CMC,-1,0.4690457336220899,88.93159108378171,-,-
2,Train,CMC,1,2.3361649220706493,52.11294660007683,1.214127143926569,74.4043043812452
2,Train,CMC,2,0.8179507207102571,82.63542066845947,0.6071077764354973,85.85703305149885
2,Train,CMC,3,0.3143531924650713,93.27698809066462,0.49024344723010227,88.08608762490393
2,Train,CMC,4,0.16039896155336153,96.40799077986938,0.44618341132002004,89.08531898539584
2,Train,CMC,5,0.08183273963310236,98.38647714175951,0.4305904966698162,89.4696387394312
2,Train,CMC,6,0.05655687525754143,98.98194391087208,0.42467013400027975,89.23904688700999
2,Train,CMC,7,0.04015684999279861,99.46215904725317,0.41600367537972377,90.00768639508071
2,Train,CMC,8,0.0344290988108406,99.42374183634269,0.41368678466436226,90.16141429669484
2,Train,CMC,9,0.026469218690359703,99.55820207452939,0.44269971747658604,89.85395849346656
2,Train,CMC,10,0.02432690126581426,99.57741067998464,0.4297764487306857,89.93082244427363
2,Train,CMC,11,0.02988778823198168,99.46215904725317,0.43161335676839774,89.70023059185242
2,Train,CMC,12,0.028001765633413306,99.46215904725317,0.4557608497729217,89.16218293620292
2,Train,CMC,13,0.02856397793622562,99.46215904725317,0.4799759256940544,88.16295157571099
2,Train,CMC,14,0.04215649110293644,99.11640414905878,0.5991724871104722,86.39508070714835
2,Train,CMC,15,0.06577738971975089,98.7322320399539,0.5814763496327089,86.93312836279785
2,Train,CMC,16,0.0630670763206514,98.38647714175951,0.5278040300095476,87.62490392006148
2,Train,CMC,17,0.05583827299111597,98.96273530541683,0.4973556982792862,88.23981552651806
2,Train,CMC,18,0.03888140909196638,99.15482135996926,0.48624899236629965,88.7009992313605
2,Train_Test,CMC,-1,0.41368678466436226,90.16141429669484,-,-
3,Train,CMC,1,2.301169613387687,53.11179408374952,1.13083766040025,77.32513451191392
3,Train,CMC,2,0.7472268390509248,84.34498655397618,0.5837702705345184,86.39508070714835
3,Train,CMC,3,0.2777965411635264,93.94928928159815,0.5601177741068313,87.00999231360493
