Run,Phase,Method,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
5,Train,CMC,1,0.3595541581607018,90.10416666666667,0.22426061110618786,92.29967948717949
5,Train,CMC,2,0.17350751505925868,94.05749198717949,0.2001754504365799,93.21314102564102
5,Train,CMC,3,0.14615938648677024,94.78665865384616,0.18001440012684236,93.67788461538461
5,Train,CMC,4,0.1358267355662508,95.07211538461539,0.1888955237582708,93.60977564102564
5,Train,CMC,5,0.12455766338090866,95.44170673076923,0.167978584785492,94.2548076923077
5,Train,CMC,6,0.11287340590587029,95.75721153846153,0.1592732313542794,94.4110576923077
5,Train,CMC,7,0.10746286800370003,95.8613782051282,0.15318830653260915,94.70352564102564
5,Train,CMC,8,0.09704849596541279,96.2489983974359,0.1719274894358256,94.22275641025641
5,Train,CMC,9,0.09082313979474398,96.40124198717949,0.1712676600863536,94.34294871794872
5,Train,CMC,10,0.08341374921684082,96.70372596153847,0.17329166407386462,94.35496794871794
5,Train,CMC,11,0.0768637409624763,96.9511217948718,0.1652337868578541,94.61939102564102
5,Train,CMC,12,0.07164464687618116,97.05528846153847,0.17335209517906874,94.6474358974359
5,Train,CMC,13,0.0679789078899492,97.17247596153847,0.19683940958900328,94.1786858974359
5,Train,CMC,14,0.06003512659181769,97.49599358974359,0.17494325124873564,94.8798076923077
5,Train,CMC,15,0.0559729156203759,97.58613782051282,0.19297324141057637,94.50721153846153
5,Train,CMC,16,0.054966043904184914,97.63421474358974,0.19668038516090466,94.35897435897436
5,Train,CMC,17,0.048747484548351705,97.88261217948718,0.19644186170055317,94.43509615384616
5,Train_Test,CMC,-1,0.15318830653260915,94.70352564102564,-,-
