GurobiEdit,1,0.0074,99.76
GurobiEdit,2,0.0083,99.73
GurobiEdit,3,0.0034,99.89
GurobiEdit,4,0.0049,99.85
GurobiEdit,5,0.0022,99.93
GurobiEdit,6,0.0063,99.81
GurobiEdit,7,0.0083,99.74
GurobiEdit,8,0.0073,99.78
GurobiEdit,9,0.0050,99.84
GurobiEdit,10,0.0048,99.85
GurobiEdit,11,0.0013,99.97
GurobiEdit,12,0.0005,99.99
GurobiEdit,13,0.0002,100.00
GurobiEdit,14,0.0001,100.00
GurobiEdit,15,0.0001,100.00
GurobiEdit,16,0.0001,100.00
GurobiEdit,17,0.0000,100.00
GurobiEdit,18,0.0000,100.00
GurobiEdit,19,0.0000,100.00
GurobiEdit,20,0.0000,100.00
GurobiEdit,21,0.0000,100.00
GurobiEdit,22,0.0000,100.00
GurobiEdit,23,0.0000,100.00
GurobiEdit,24,0.0000,100.00
GurobiEdit,25,0.0000,100.00
GurobiEdit,26,0.0000,100.00
GurobiEdit,27,0.0000,100.00
GurobiEdit,28,0.0000,100.00
GurobiEdit,29,0.0000,100.00
GurobiEdit,30,0.0000,100.00
GurobiEdit,31,0.0000,100.00
GurobiEdit,32,0.0000,100.00
GurobiEdit,33,0.0000,100.00
GurobiEdit,34,0.0000,100.00
GurobiEdit,35,0.0000,100.00
GurobiEdit,36,0.0000,100.00
GurobiEdit,37,0.0000,100.00
GurobiEdit_Test,-1,404.18412389250517,93.04
