Dataset,Row,N_Sample,Col,Seed,Mismatch,FlipTry,Flipped,Flip_Percentage,Tr_Acc,Val_Acc,Tr_loss,Val_loss,F1
cleve.csv,303,242,13,0,1,1,2,0.66,0.8419117647058824,0.7741935483870968,0.378104418516159,0.4261068701744079,0.8313725490196079
cleve.csv,303,242,13,10,1,1,2,0.66,0.8419117647058824,0.935483870967742,0.429729700088501,0.3311469554901123,0.8377358490566038
cleve.csv,303,242,13,30,1,1,2,0.66,0.8492647058823529,0.935483870967742,0.3776753842830658,0.2529060840606689,0.8326530612244898
cleve.csv,303,242,13,40,1,1,1,0.33,0.8602941176470589,0.7741935483870968,0.4115804433822632,0.4656460881233215,0.8492063492063492
cleve.csv,303,242,13,50,1,1,1,0.33,0.8566176470588235,0.7741935483870968,0.4257104992866516,0.4910537004470825,0.8482490272373541
cleve.csv,303,242,13,60,1,1,2,0.66,0.8382352941176471,0.7741935483870968,0.4392749369144439,0.4656565487384796,0.8
cleve.csv,303,242,13,70,1,1,2,0.66,0.8492647058823529,0.7741935483870968,0.3935881555080414,0.4920670986175537,0.8240343347639485
cleve.csv,303,242,13,80,1,1,2,0.66,0.8419117647058824,0.7419354838709677,0.3925929963588714,0.6153103709220886,0.8244897959183674
cleve.csv,303,242,13,90,1,1,1,0.33,0.8382352941176471,0.967741935483871,0.4534412622451782,0.3939587473869324,0.8320610687022901
fri_c2_100_10.csv,100,80,10,0,1,1,1,1.0,0.7888888888888889,0.8,0.5079632997512817,0.55915367603302,0.8155339805825242
fri_c2_100_10.csv,100,80,10,10,1,1,4,4.0,0.4777777777777778,0.8,0.7030216455459595,0.6014471650123596,0.25396825396825395
fri_c2_100_10.csv,100,80,10,20,1,1,2,2.0,0.8888888888888888,0.7,0.4258412718772888,0.4979985356330871,0.8913043478260869
fri_c2_100_10.csv,100,80,10,30,1,1,5,5.0,0.8222222222222222,0.9,0.4418786764144897,0.3161060810089111,0.8297872340425532
fri_c2_100_10.csv,100,80,10,40,1,1,1,1.0,0.5222222222222223,0.8,0.6877791285514832,0.6174343824386597,0.6861313868613139
fri_c2_100_10.csv,100,80,10,50,1,1,1,1.0,0.7777777777777778,0.5,0.5593718886375427,0.6393327116966248,0.7872340425531915
