Dataset,N_samples,Threshold,Flip_Count,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
AP_Breast_Colon.csv,630,3e-05,1,1,8.023349930754692,0.0,0.0001833112461046561,8.023349930754692,5.0260936651058685e-05
AP_Breast_Kidney.csv,604,3e-05,1,1,843.3152383224709,0.0,0.01932624372177625,845.8903614584246,0.00019142251971815405
AP_Breast_Lung.csv,470,3e-05,1,1,2.5756507135635807,0.0,5.884646013305263e-05,2.5756507135635807,2.9111145404714378e-05
AP_Breast_Omentum.csv,421,3e-05,1,1,3523.4352964789828,0.0,0.20334243403827731,8900.09499542136,0.002343997448508217
AP_Breast_Ovary.csv,542,3e-05,1,1,4.392582855032028,0.0,0.00014189109682388176,6.2104314168844805,6.216917719625847e-05
AP_Breast_Prostate.csv,413,3e-05,1,1,1.0139110224856482,0.0,2.316504883560621e-05,1.0139110224856482,1.5994978470601495e-05
AP_Breast_Uterus.csv,468,3e-05,1,1,32.15585771190357,0.0,0.0007346719758711318,32.15585771190357,7.999633175836962e-05
AP_Colon_Kidney.csv,546,3e-05,1,1,1.0005929482005862,0.0,2.2860767853973958e-05,1.0005929482005862,1.584338467752744e-05
AP_Colon_Lung.csv,412,3e-05,1,1,839.253871219745,0.0,0.019174618365047063,839.253871219745,0.00015385825763725158
AP_Colon_Omentum.csv,363,3e-05,1,1,33.059877919378,0.0,0.0007553263252937884,33.059877931783824,8.061098732126126e-05
AP_Colon_Ovary.csv,484,3e-05,1,1,170.63648043792233,0.0,0.0040310999454921575,176.43721351424625,0.00016136943908517942
AP_Colon_Prostate.csv,355,3e-05,1,1,1.1346788369949288,0.0,2.592425778519874e-05,1.1346788390003637,1.732556784128647e-05
AP_Colon_Uterus.csv,410,3e-05,1,1,572.695212644176,0.0,0.028631832636549823,1253.1866826691491,0.0008105952090708968
AP_Endometrium_Breast.csv,405,3e-05,1,1,0.6131009896733776,0.0,1.4007653582978308e-05,0.6131009896733776,1.0924650297505778e-05
AP_Endometrium_Colon.csv,347,3e-05,1,1,1.0638583269025284,0.0,2.430620591977263e-05,1.0638583269025284,1.6554712302330188e-05
AP_Endometrium_Kidney.csv,321,3e-05,1,1,3.627306248276268,0.0,8.287386616729347e-05,3.627306248276268,3.5001980988269565e-05
AP_Endometrium_Lung.csv,187,3e-05,1,1,0.5789661634757135,0.0,1.3227767677482088e-05,0.5789661634757135,1.043598641459198e-05
AP_Endometrium_Omentum.csv,138,3e-05,1,1,0.7183500065404704,0.0,1.6412301093021783e-05,0.7183500065404704,1.2368751396651945e-05
AP_Endometrium_Ovary.csv,259,3e-05,1,1,1432.4611711608563,0.0,0.04905090859155732,2146.9092181438723,0.00043604109943573555
AP_Endometrium_Prostate.csv,130,3e-05,1,1,1.9427987667605817,0.0,4.43875520747694e-05,1.9427987667605817,2.4660705039147857e-05
AP_Endometrium_Uterus.csv,185,3e-05,1,1,0.7165038608761098,0.0,1.6370121795702664e-05,0.7165038608761098,1.2344191502977608e-05
AP_Lung_Kidney.csv,386,3e-05,1,1,1.0004177217408112,0.0,2.285676441638628e-05,1.0004177217408112,1.5841383432801948e-05
AP_Lung_Uterus.csv,250,3e-05,1,1,2.4054771831299444,0.0,5.495846793689471e-05,2.4054771831299444,2.799703500566686e-05
AP_Omentum_Kidney.csv,337,3e-05,1,1,27.066691660564583,0.0,0.0006183986762449355,27.066691660564583,7.618886770455191e-05
AP_Omentum_Lung.csv,203,3e-05,1,1,3.40979802781026,0.0,7.790440786424777e-05,3.40979802781026,3.390194068697561e-05
AP_Omentum_Prostate.csv,146,3e-05,1,1,61834.02967365715,0.0,1.5045488083998753,65852.59679485414,0.0009486618811767045
AP_Omentum_Uterus.csv,201,3e-05,1,7,0.6976906683755736,0.0,1.5940292635782712e-05,0.6976906683755736,1.2092396382223924e-05
AP_Ovary_Kidney.csv,458,3e-05,1,1,2461.9225835688617,0.0,0.21257788545254935,9304.321468372633,0.0022716105072067005
AP_Ovary_Lung.csv,324,3e-05,1,1,1.2852150514350889,0.0,2.9363591844343916e-05,1.2852150514350889,1.888249530757058e-05
AP_Ovary_Uterus.csv,322,3e-05,1,1,292.6130599625757,0.0,0.036797569688856425,1610.592827711557,0.0018073584096032214
AP_Prostate_Kidney.csv,329,3e-05,1,1,0.9332712103545024,0.0,2.132265325583181e-05,0.9332712103545024,1.5061309604824658e-05
AP_Prostate_Lung.csv,195,3e-05,1,1,1955.0299026235707,0.0,0.04475304998061778,1958.7962446016595,0.00023088060777887165
AP_Prostate_Ovary.csv,267,3e-05,1,1,0.9995851671150627,0.0,5.501093485945133e-05,2.407773607863325,3.995853469085375e-05
AP_Prostate_Uterus.csv,193,3e-05,1,1,1.3699700973714513,0.0,3.130000932270941e-05,1.369970108045668,1.9714543493920544e-05
AP_Uterus_Kidney.csv,384,3e-05,1,1,47038.183745807975,8.840297025163283e-08,1.3027158497771834,57018.57002889754,0.006932558911775244
anthracyclineTaxaneChemotherapy.csv,159,3e-05,1,1,0.09594040260341258,0.0,3.9085165951729405e-07,0.09594040260341258,3.732215467788791e-07
arcene.csv,200,3e-05,1,1,1.0012566555986464,0.0,2.501328176068966e-05,1.0012566555986464,1.733196740549836e-05
Australian.csv,690,3e-05,1,1,0.033668450844315044,0.0,0.00039609942169782403,0.033668450844315044,0.00038965327765860813
CastMetal1.csv,327,3e-05,1,1,1.573727816814953,0.0,0.01598694807549593,2.8296898093627796,0.00998700866193114
