N,Layer1_Size,Layer2_Size,Fraction,Solutions,Avg time
3,1,1,10,No,0.0586548646291097
3,1,1,4,No,0.04284135500590006
3,1,1,2,No,0.05426867802937826
3,1,1,1,No,0.05659635861714681
3,2,1,10,No,0.0420536994934082
3,2,1,4,No,0.04159990946451823
3,2,1,2,No,0.05460937817891439
3,2,1,1,No,0.05208031336466471
3,2,2,10,No,0.0435183048248291
3,2,2,4,No,0.04068533579508463
3,2,2,2,No,0.046351353327433266
3,2,2,1,No,0.05641802151997884
3,3,1,10,No,0.04110002517700195
3,3,1,4,No,0.04379145304361979
3,3,1,2,No,0.05552101135253906
3,3,1,1,No,0.058330376942952476
3,3,2,10,No,0.04161564509073893
3,3,2,4,No,0.043126583099365234
3,3,2,2,No,0.053751230239868164
3,3,2,1,No,0.04803935686747233
3,3,3,10,No,0.04175567626953125
3,3,3,4,No,0.03968509038289388
3,3,3,2,No,0.04593531290690104
3,3,3,1,No,0.052763938903808594
3,4,1,10,No,0.04120389620463053
3,4,1,4,No,0.03704690933227539
3,4,1,2,No,0.05557767550150553
3,4,1,1,No,0.058417558670043945
3,4,2,10,No,0.041640679041544594
3,4,2,4,No,0.04253943761189779
3,4,2,2,No,0.05176663398742676
3,4,2,1,No,0.05963468551635742
3,4,3,10,No,0.04048299789428711
3,4,3,4,No,0.04211115837097168
3,4,3,2,No,0.05019895235697428
3,4,3,1,No,0.06679701805114746
3,4,4,10,No,0.03774611155192057
3,4,4,4,No,0.04149198532104492
3,4,4,2,No,0.04954751332600912
3,4,4,1,No,0.05816030502319336
5,1,1,10,No,0.09371094703674317
5,1,1,4,No,0.08703055381774902
5,1,1,2,No,0.1156470775604248
5,1,1,1,No,0.1084810733795166
5,2,1,10,No,0.09551787376403809
5,2,1,4,No,0.08225388526916504
5,2,1,2,No,0.09959678649902344
5,2,1,1,No,0.10725622177124024
5,2,2,10,No,0.10625362396240234
5,2,2,4,No,0.09841022491455079
5,2,2,2,No,0.10739579200744628
5,2,2,1,No,0.11767864227294922
5,3,1,10,No,0.09484524726867676
5,3,1,4,No,0.08720817565917968
5,3,1,2,No,0.09926896095275879
5,3,1,1,No,0.1217989444732666
5,3,2,10,No,0.09238805770874023
5,3,2,4,No,0.09117059707641602
5,3,2,2,No,0.09909501075744628
5,3,2,1,No,0.1028738021850586
5,3,3,10,No,0.09386301040649414
5,3,3,4,No,0.09166922569274902
5,3,3,2,No,0.09682583808898926
5,3,3,1,No,0.09413442611694336
5,4,1,10,No,0.10320978164672852
5,4,1,4,No,0.0897836685180664
5,4,1,2,No,0.10220208168029785
5,4,1,1,No,0.09505338668823242
5,4,2,10,No,0.09602136611938476
5,4,2,4,No,0.0991055965423584
5,4,2,2,No,0.09242215156555175
5,4,2,1,No,0.11220288276672363
5,4,3,10,No,0.09881339073181153
5,4,3,4,No,0.0997729778289795
5,4,3,2,No,0.2140369415283203
5,4,3,1,No,0.13636412620544433
5,4,4,10,No,0.0985107421875
5,4,4,4,No,0.09986424446105957
5,4,4,2,No,0.09416074752807617
5,4,4,1,No,0.11107439994812011
10,1,1,10,No,0.20345966815948485
10,1,1,4,No,0.18910439014434816
10,1,1,2,No,0.24593379497528076
10,1,1,1,No,0.24493401050567626
10,2,1,10,No,0.18754432201385499
10,2,1,4,No,0.19115569591522216
10,2,1,2,No,0.25277206897735593
10,2,1,1,No,0.25103416442871096
10,2,2,10,No,0.1782296657562256
10,2,2,4,No,0.18064398765563966
10,2,2,2,No,0.2344001293182373
10,2,2,1,No,0.21403088569641113
10,3,1,10,No,0.20814838409423828
10,3,1,4,No,0.1799617052078247
10,3,1,2,No,0.21544961929321288
10,3,1,1,No,0.22105512619018555
10,3,2,10,No,0.19614672660827637
10,3,2,4,No,0.2088115930557251
10,3,2,2,No,0.23983628749847413
10,3,2,1,No,0.24476051330566406
10,3,3,10,No,0.1764528274536133
10,3,3,4,No,0.21094887256622313
10,3,3,2,No,0.23805508613586426
10,3,3,1,No,0.2526805877685547
10,4,1,10,No,0.19000511169433593
10,4,1,4,No,0.1739582300186157
10,4,1,2,No,0.2570246458053589
10,4,1,1,No,0.2538212060928345
10,4,2,10,No,0.2045891523361206
10,4,2,4,No,0.18202674388885498
10,4,2,2,No,0.2588846206665039
10,4,2,1,No,0.28545918464660647
10,4,3,10,No,0.3191424131393433
10,4,3,4,No,0.22009172439575195
10,4,3,2,No,0.2255174398422241
10,4,3,1,No,0.23003456592559815
10,4,4,10,No,0.216664719581604
10,4,4,4,No,0.20045750141143798
10,4,4,2,No,0.23987047672271727
10,4,4,1,No,0.2264251232147217
15,1,1,10,No,0.4386807680130005
15,1,1,4,No,0.4284984827041626
15,1,1,2,No,0.5010124206542969
15,1,1,1,No,0.6224190950393677
15,2,1,10,No,0.4853743314743042
15,2,1,4,No,0.397745156288147
15,2,1,2,No,0.47960083484649657
15,2,1,1,No,0.48629858493804934
15,2,2,10,No,0.4648513555526733
15,2,2,4,No,0.4111252069473267
15,2,2,2,No,0.5196350574493408
15,2,2,1,No,0.5157533407211303
15,3,1,10,No,0.3965052843093872
15,3,1,4,No,0.3663670539855957
15,3,1,2,No,0.5910227537155152
15,3,1,1,No,0.6247519016265869
15,3,2,10,No,0.4473997116088867
15,3,2,4,No,0.5033196926116943
15,3,2,2,No,0.5632570505142211
15,3,2,1,No,0.5674737453460693
15,3,3,10,No,0.4356318712234497
15,3,3,4,No,0.4278806924819946
15,3,3,2,No,0.6087779998779297
15,3,3,1,No,0.5244418621063233
15,4,1,10,No,0.45023925304412843
15,4,1,4,No,0.46953325271606444
15,4,1,2,No,0.625519871711731
15,4,1,1,No,0.5298559427261352
15,4,2,10,No,0.45174691677093504
15,4,2,4,No,0.439401912689209
15,4,2,2,No,0.5359055757522583
15,4,2,1,No,0.6550900936126709
15,4,3,10,No,0.3253593921661377
15,4,3,4,No,0.4518479108810425
15,4,3,2,No,0.5476318597793579
15,4,3,1,No,0.5961593627929688
15,4,4,10,No,0.5102431058883667
15,4,4,4,No,0.37474076747894286
15,4,4,2,No,0.47357707023620604
15,4,4,1,No,0.47671549320220946
20,1,1,10,No,0.9983699798583985
20,1,1,4,No,0.8755485773086548
20,1,1,2,No,1.17252459526062
20,1,1,1,No,1.0962684392929076
20,2,1,10,No,1.0095847129821778
20,2,1,4,No,0.9822814226150512
20,2,1,2,No,0.9855813980102539
20,2,1,1,No,1.0673354625701905
20,2,2,10,No,1.0391901731491089
20,2,2,4,No,1.031102442741394
20,2,2,2,No,0.9744456052780152
20,2,2,1,No,1.0572155237197876
